wfo_id,data_type,description,contributor,creator,source,Licence,bibliographic_Citation,doi
wfo-0000825428,Ecology,"Found within middle and upper montane forest at an elevation of 1040–3450m. A semi-scandent species, typically found at the edge of montane forest. It has been collected in flower and fruit throughout the year.",Moonlight P.W. & Fuentes A.F.,,218,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://journals.rbge.org.uk/ejb/article/view/407
wfo-0000823421,Ecology,"Found within lower and middle montane forest at an elevation of 550–2371m. It is a semi-scandent herb, typically collected on the edge of montane forest patches. Begonia bangii has been collected flowering and fruiting throughout the year, with a possible peak in July and August, which is the dry season.",Moonlight P.W. & Fuentes A.F.,,238,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://journals.rbge.org.uk/ejb/article/view/407
wfo-0000824942,Ecology,"Found in lower montane forest at an elevation of 750–1450 m, where it is typically collected within wet gullies and around small streams. Begonia oblanceolata has been collected in flower and fruit from March to July.<br//> ",Moonlight P.W. & Fuentes A.F.,,248,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://journals.rbge.org.uk/ejb/article/view/407
wfo-0000824699,Ecology,"It grows in submontane forests, in a shady locality, with humus, humus-sandy or humus-clay soils (Araújo et al. 1972), but in home gardens there is a widely cultivated or hybrid species similar in habit and form of leaf blades to Begonia maculata.","Jacques E.d.L., Ribeiro, M.A.M. & Tozin L.R.d.S.",,4684,CC0 1.0 Universal (CC0 1.0),"Jacques E.d.L., Ribeiro, M.A.M. & Tozin L.R.d.S. 2023, Re-establishment of Begonia corallina Carrière (Begoniaceae) based on morphoanatomical evidence, Phytotaxa. Vol.609(2) , pp.103-114.",
wfo-0000824825,Ecology,Clinging to sheer spray-soaked rock faces or epiphytic (on a Ficus) near a waterfall at 100% humidity; in tight groups.,"Sosef, M.S.M.",,2062,CC0 1.0 Universal (CC0 1.0),"Sosef, M.S.M. 1994, Refuge Begonias. Taxonomy, phylogeny and historical biogeography of Begonia sect. Loasibegonia and sect. Scutobegonia in relation to glacial rain forest refuges in Africa. 1st edn (https://www.researchgate.net/publication/40208226_Refuge_Begonias_Taxonomy_phylogeny_and_historical_biogeography_of_Begonia_sect_Loasibegonia_and_sect_Scutobegonia_in_relation_to_glacial_rain_forest_refuges_in_Africa/references)",https://www.researchgate.net/publication/40208226_Refuge_Begonias_Taxonomy_phylogeny_and_historical_biogeography_of_Begonia_sect_Loasibegonia_and_sect_Scutobegonia_in_relation_to_glacial_rain_forest_refuges_in_Africa/references
wfo-0000825213,Ecology,"On granite rocks in primary, deeply shaded forest.","Sosef, M.S.M.",,2081,CC0 1.0 Universal (CC0 1.0),"Sosef, M.S.M. 1994, Refuge Begonias. Taxonomy, phylogeny and historical biogeography of Begonia sect. Loasibegonia and sect. Scutobegonia in relation to glacial rain forest refuges in Africa. 1st edn (https://www.researchgate.net/publication/40208226_Refuge_Begonias_Taxonomy_phylogeny_and_historical_biogeography_of_Begonia_sect_Loasibegonia_and_sect_Scutobegonia_in_relation_to_glacial_rain_forest_refuges_in_Africa/references)",https://www.researchgate.net/publication/40208226_Refuge_Begonias_Taxonomy_phylogeny_and_historical_biogeography_of_Begonia_sect_Loasibegonia_and_sect_Scutobegonia_in_relation_to_glacial_rain_forest_refuges_in_Africa/references
wfo-0000825971,Ecology,"Terrestrial growing in soil or mud; on level marshy sites or on slopes or stream banks, in shade of primary, often swampy forest; found in hygrophilous coastal evergreen Guineo-Congolian rain forest ('foret biafreenne a Caesalpiniaceae"") with Sacoglottis gahonensis and Lophira alata; at elevations near sea-level.","Sosef, M.S.M.",,2200,CC0 1.0 Universal (CC0 1.0),"Sosef, M.S.M. 1994, Refuge Begonias. Taxonomy, phylogeny and historical biogeography of Begonia sect. Loasibegonia and sect. Scutobegonia in relation to glacial rain forest refuges in Africa. 1st edn (https://www.researchgate.net/publication/40208226_Refuge_Begonias_Taxonomy_phylogeny_and_historical_biogeography_of_Begonia_sect_Loasibegonia_and_sect_Scutobegonia_in_relation_to_glacial_rain_forest_refuges_in_Africa/references)",https://www.researchgate.net/publication/40208226_Refuge_Begonias_Taxonomy_phylogeny_and_historical_biogeography_of_Begonia_sect_Loasibegonia_and_sect_Scutobegonia_in_relation_to_glacial_rain_forest_refuges_in_Africa/references
wfo-1200063279,Ecology,"It grows in the valley in submontane forests, on stoney walls covered by a thick layer of leaf litter, close to the Cachoeira do Barata, in a shady and very humid place, at an altitude approximately of 190 meters.",Eliane de Lima Jacques,,4945,CC0 1.0 Universal (CC0 1.0),"Eliane de Lima Jacques 2023, Begonia piraquara (Begoniaceae) a new species from Atlantic Coastal Forest in the State of Rio de Janeiro, Brazil, Phytotaxa. Vol.612(1) , pp.99-103.",
wfo-1000057712,Ecology,"The new species lives within the limits of the Ilhabela State Park, and was found in two areas to the south of the island, namely Enseada das Enchovas and Baía dos Castelhanos, it grows in Ombrophilous Dense Submontane Forest at an elevation between 165–250 msl, on rocks inside the primary forest. The species has been observed on rocky outcrops along the slope in the surrounding area of Cachoeira do Gato. It also grows over walls of large round rocks protruding from the soil of the interior of the rainforest. At Bonete Beach Trail, the habitat where B. schizostyla was found, it is located on humid slopes, whose water courses are intermittent and receive water seasonally in times of higher rainfalls.Flowering and fruiting from December to February.",Miranda M.D.,,5258,CC0 1.0 Universal (CC0 1.0),"Miranda M.D. 2023, A new insular species of Begonia (Begoniaceae) from São Paulo State, Brazil, Phytotaxa. Vol.630(2) , pp.142-148.",
wfo-1000052031,Ecology,"It has been collected growing next to a small river in a steep-sided valley in tall, broadleaved montane rainforest at an elevation of 1305 m (Fig. 3). The upper slopes of the Sierra del Merendón have a bedrock of metamorphic rocks (schist and gneiss; Martin et al., 2021).",Moonlight P.W. & Kelly D.L.,,6160,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Kelly D.L. 2024, Two New Critically Endangered Species of Begonia sect. Gireoudia (Begoniaceae) from Mesoamerica, Novon. Vol.32.",
