wfo_id,data_type,description,contributor,creator,source,Licence,bibliographic_Citation,doi
wfo-1200002469,Diagnostic,"This subspecies can be distinguished from the other subspecies of Begonia micranthera in Bolivia by its reniform to reniform-orbicular leaf blades, which have pale grey veins on the leaf blades (vs concolorous, elliptic to ovate leaf blades).",Moonlight P.W. & Fuentes A.F.,,167,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://journals.rbge.org.uk/ejb/article/view/407
wfo-1200002469,Diagnostic,"Begonia micranthera subsp. albonervia Tebbitt is distinguished from other infraspecific taxa of Begonia micranthera Griseb. by its narrowly reniform to reniform-orbicular leaf blades (versus leaf blades narrowly to broadly ovate, or elliptic), leaf blade upper surface usually with conspicuous greyish white veins (versus concolorous green), and inflorescences held on conspicuous, 10–45 cm long, erect peduncles (versus peduncles less conspicuous, because usually ascending and [1–]6–10[–25] cm long).","Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",,4,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",
wfo-0000824813,Diagnostic,"In Lindau’s original description of Begonia hieronymi (1894), this taxon was described as having 3-locular ovaries and 4 branched styles. Examination of the herbarium material cited by Lindau, however, found that they have 4-locular ovaries with 4 styles, and that each style is bifid. Observation of living material from the type location and its vicinity, indicates that the majority of these populations are composed of plants with 4-locular ovaries and 4 styles, but that a few populations are composed of plants with 3-locular ovaries and 3-styles. Furthermore, some individuals have female flowers with 5 tepals, whereas others have 6 tepals. These populations of var. hieronymi uniquely share with Begonia micranthera subsp. rhacophylla var. rhacophylla a dioecious breeding system, bright pink tepals, 6 female tepals, 4-locular ovaries and 4 styles, and for this reason are recognised here as belonging to subsp. rhacophylla.","Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",,9,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",
wfo-0000824816,Diagnostic,"Begonia micranthera subsp. rhacophylla was previously recognised at the rank of variety. Irmscher (1949) originally described the taxon as a variety of Begonia hieronymi Lindau, whereas Smith and Wasshausen (1984) treated it as a variety of B. micranthera. Begonia micranthera subsp. rhacophylla is distinguished by its dioecious breeding system, coriaceous leaf blades, usually 4 ovary locules and styles (occasionally 3), tepals that are usually bright pink (occasionally white), and female flowers with 6 (versus 5) tepals. Irmscher (1949) described his Begonia hieronymi var. rhacophylla as a narrow endemic of the Cerro Abra del Paraguay in Jujuy Province, Argentina. In contrast, we consider Begonia micranthera subsp. rhacophylla as occurring in Bolivia as well as Argentina. In fact, the taxon is widespread, being found along the eastern Andes for a distance of about 900 km","Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",,13,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",
wfo-1200002470,Diagnostic,"Begonia micranthera subsp. micranthera var. flava Andrada& Bulacio is distinguished from other infraspecific taxa of Begonia micranthera Griseb. by its tepals pale yellow (versus white to pink), its combination of pubescent leaves and stems and 3-locular ovaries, and its unique chromosome number n = 13 and 2n = 26 (versus n = 14 and 2n = 28 in other B. micranthera taxa we sampled).","Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",,18,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",
wfo-1200002776,Diagnostic,"Begonia micranthera subsp. rhacophylla (Irmsch.) Tebbitt has two varieties, of which only the type variety is found within Bolivia. This taxon differs in its dioecious breeding system, its coriaceous leaves, and pistillate flowers that usually have four styles and locules (vs three) and six tepals (vs five; Tebbitt et al., 2018a).",Moonlight P.W. & Fuentes A.F.,,170,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://journals.rbge.org.uk/ejb/article/view/407
wfo-0000824810,Diagnostic,"Begonia micranthera is a widespread and common species that encompasses a large amount of morphological variation. It is the most common tuberous species of Bolivian Begonia with distinct leaf apices and can be distinguished from other such species by the combination of its small, inconspicuous bracts; its concolorous upper leaf surfaces; and its spreading tepals.",Moonlight P.W. & Fuentes A.F.,,164,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://journals.rbge.org.uk/ejb/article/view/407
wfo-1200023981,Diagnostic,"Begonia micranthera is a widespread and common species that encompasses a large amount of morphological variation. It is the most common tuberous species of Bolivian Begonia with distinct leaf apices and can be distinguished from other such species by the combination of its small, inconspicuous bracts; its concolorous upper leaf surfaces; and its spreading tepals.",Moonlight P.W. & Fuentes A.F.,,163,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://journals.rbge.org.uk/ejb/article/view/407
wfo-1000039768,Diagnostic,"Begonia speculum is most similar to B. lutea and B. cremnophila, sharing with both species its compact habit and subsymmetrical leaves but differing from both in having a true tuber (B. lutea and B. cremnophila have short, fleshy rhizomes), in its two- or three-locular ovaries (those of B. lutea and B. cremnophila are always three-locular) and in possessing bracteoles. Begonia speculum further shares its entire placentae with B. lutea but differs in its glabrous petioles, irregularly crenate leaf margins (those of B. lutea are irregularly biserrate) and white tepals (those of B. lutea are yellow). Begonia speculum can be further distinguished from B. cremnophila by its caulescent habit.",Moonlight P.W. & Tebbitt M.C.,,39,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Tebbitt M.C. 2017, Two new Peruvian species of Begonia (Begonaiceae) and an amended description of Begonia thyrsoidea, Edinburgh J. Bot. Vol.74(2) , pp.111-122.",
wfo-1000039768,Diagnostic,"Identification notes The only tuberous species of Begonia in northern Peru with subsymmetric, ovate leaves. It is also unusual among tuberous Peruvian begonias in its crenate leaf margins and stamens held on a short column.",Moonlight P.W. et al.,,5226,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
