wfo_id,data_type,description,contributor,creator,source,Licence,bibliographic_Citation,doi
wfo-1200002469,Distribution,Endemic to Bolivia.,Moonlight P.W. & Fuentes A.F.,,167,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://journals.rbge.org.uk/ejb/article/view/407
wfo-1200002469,Distribution,"Locally common in Bolivia’s Chuquisaca Department, and occasionally in south-western Cochabamba and western Santa Cruz Departments, occurring along the eastern Andes for a distance of about 400 km.","Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",,4,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",
wfo-0000824813,Distribution,"A narrow endemic of Tafi del Valle Department, Tucumán Province, Argentina. Begonia micranthera subsp. rhacophylla var. hieronymi occurs approximately 350 km to the south of the known distribution range of subsp. rhacophylla var. rhacophylla.","Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",,9,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",
wfo-0000824816,Distribution,"Eastern Andes of Bolivia (Santa Cruz, Chuquisaca and Tarija) and Argentina (Jujuy and Salta).","Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",,13,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",
wfo-0000824814,Distribution,". Endemic to the mountains of north-western Argentina. This taxon is found in the eastern sector of the Cordillera Oriental, east of the Quebrada de Humahuaca, Jujuy Province, where it occurs from 2500 to 3500 m.","Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",,23,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",
wfo-1200002470,Distribution,"Endemic to the vicinity of Park Nacional Calilegua, Jujuy Province, Argentina, where it occurs in a narrow altitudinal strip between 1300 and 1500 m.","Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",,18,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",
wfo-1200002776,Distribution,Bolivia and Argentina.,Moonlight P.W. & Fuentes A.F.,,170,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://journals.rbge.org.uk/ejb/article/view/407
wfo-0000824810,Distribution,Bolivia and Argentina.,Moonlight P.W. & Fuentes A.F.,,164,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://journals.rbge.org.uk/ejb/article/view/407
wfo-0000824810,Distribution,"Eastern Andes of Bolivia (La Paz, Cochabamba, Santa Cruz, Chuquisaca and Tarija) and Argentina (Jujuy, Salta, Tucumán and Catamarca).","Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",,29,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",
wfo-1200023981,Distribution,Bolivia and Argentina.,Moonlight P.W. & Fuentes A.F.,,163,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Fuentes A.F. 2022, An updated checklist and key to the species of Bolivian Begonia, including one new species, Edinburgh J. Bot. Vol.79(407) , pp.1-66 (https://journals.rbge.org.uk/ejb/article/view/407)",https://journals.rbge.org.uk/ejb/article/view/407
wfo-1200023981,Distribution,"Eastern Andes of Bolivia (La Paz, Cochabamba, Santa Cruz, Chuquisaca and Tarija) and Argentina (Jujuy, Salta, Tucumán and Catamarca).","Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",,32,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",
wfo-1000039768,Distribution,Known only from the Peruvian region of San Martín (Rioja Province).,Moonlight P.W. & Tebbitt M.C.,,39,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Tebbitt M.C. 2017, Two new Peruvian species of Begonia (Begonaiceae) and an amended description of Begonia thyrsoidea, Edinburgh J. Bot. Vol.74(2) , pp.111-122.",
wfo-1000039768,Distribution,"Endemic to Peru and Rioja Province, San Martín Region (Fig. 90B). Found in lower montane forest at an elevation of 1300–1800 m a.s.l. ",Moonlight P.W. et al.,,5226,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0001146119,Distribution,"Eastern Andes of Bolivia (La Paz, Cochabamba, Santa Cruz, Chuquisaca and Tarija) and Argentina (Jujuy, Salta, Tucumán and Catamarca).","Tebbitt M.C., Andrada A.R., Bulacio E., Parada G.A. & Ayarde H.",,36,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. & Dickson J.H. 2018, An infraspecific taxonomic revision of Begonia micranthera (Begoniaceae), Edinburgh J. Bot. Vol.75(2) , pp.227-254.",
wfo-1000039598,Distribution,Endemic to Peru and Cusco Region (Fig. 90A) where it is found in middle and possibly lower montane Forest at an elevation of ca 1150–2445 m a.s.l.,Moonlight P.W. et al.,,5215,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000825740,Distribution,Known only from the Peruvian region of San Martín (Rioja Province).,Moonlight P.W. & Tebbitt M.C.,,50,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Tebbitt M.C. 2017, Two new Peruvian species of Begonia (Begonaiceae) and an amended description of Begonia thyrsoidea, Edinburgh J. Bot. Vol.74(2) , pp.111-122.",
wfo-0000825740,Distribution,Endemic to Peru and known from Cuzco and Puno Regions (Fig. 90A). Found in lower montane forests at 1400–1555 m a.s.l.,Moonlight P.W. et al.,,5232,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1200023730,Distribution,"Colombia, Ecuador, Guyana, Perú, Trinidad and Tobago, Venezuela.",Moonlight P.W. & Jara-Munoz O.A.,,59,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Jara-Munoz O.A. 2017, A revision and recircumscription of Begonia Section Pilderia including one new species, Phytotaxa. Vol.307(1) , pp.1-22.",
wfo-0000823546,Distribution,"Colombia, Ecuador, Perú, Venezuela. Begonia buddleiifolia is known from the northern slopes of the Cordillera Oriental in Venezuela; the eastern slopes of the Cordillera Oriental in Colombia and the north of the Cordillera Occidental and Cordillera Central in Colombia; and the eastern slopes of the Andes and Amazonia in Ecuador and Perú.",Moonlight P.W. & Jara-Munoz O.A.,,54,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Jara-Munoz O.A. 2017, A revision and recircumscription of Begonia Section Pilderia including one new species, Phytotaxa. Vol.307(1) , pp.1-22.",
