wfo_id,data_type,description,contributor,creator,source,Licence,bibliographic_Citation,doi
wfo-1000039598,Threat status,dd,Moonlight P.W. et al.,,5215,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000825740,Threat status,en,Moonlight P.W. et al.,,5232,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823546,Threat status,lc,Moonlight P.W. et al.,,5158,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0001347788,Threat status,cr,Moonlight P.W. et al.,,5151,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823284,Threat status,lc,Moonlight P.W. et al.,,5115,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039736,Threat status,dd,Moonlight P.W. et al.,,5131,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000003272,Threat status,dd,Moonlight P.W. et al.,,4823,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000003299,Threat status,dd,Moonlight P.W. et al.,,4845,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1200023946,Threat status,lc,Moonlight P.W. et al.,,4792,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1200007314,Threat status,vu,Moonlight P.W. et al.,,4798,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823371,Threat status,lc,Moonlight P.W. et al.,,5082,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823238,Threat status,lc,Moonlight P.W. et al.,,5076,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0001345033,Threat status,vu,Moonlight P.W. et al.,,4778,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0001345034,Threat status,vu,Moonlight P.W. et al.,,5238,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0001345088,Threat status,vu,Tebbitt M.C.,,1188,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. 2015, Two new yellow-flowered tuberous species of Begonia (Begoniaceae) from Bolivia, Brittonia. Vol.61 , pp.221-226 (https://link.springer.com/article/10.1007/s12228-015-9376-2)",https://link.springer.com/article/10.1007/s12228-015-9376-2
wfo-0001345086,Threat status,vu,Tebbitt M.C.,,1182,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. 2015, Two new yellow-flowered tuberous species of Begonia (Begoniaceae) from Bolivia, Brittonia. Vol.61 , pp.221-226 (https://link.springer.com/article/10.1007/s12228-015-9376-2)",https://link.springer.com/article/10.1007/s12228-015-9376-2
wfo-0001345882,Threat status,lc,Tebbitt M.C.,,1194,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. 2015, A New Tuberous Begonia Species (Begoniaceae) from Bolivia, Novon. Vol.24(3) , pp.319-323 (http://www.bioone.org/doi/full/10.3417/2014005)",http://www.bioone.org/doi/full/10.3417/2014005
wfo-0000825921,Threat status,dd,Tebbitt M.C.,,1231,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. 2013, A new species and a new synonym of Begonia from Bolivia, Brittonia. Vol.65(2) , pp.142-147 (https://www.jstor.org/stable/24692566)",https://www.jstor.org/stable/24692566
wfo-0000823301,Threat status,lc,Moonlight P.W. et al.,,4878,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823761,Threat status,lc,Ardi W.H. & Thomas D.C.,,1748,CC0 1.0 Universal (CC0 1.0),"Ardi W.H. & Thomas D.C. 2022, SYNOPSIS OF BEGONIA (BEGONIACEAE) FROM THE NORTHERN ARM OF SULAWESI AND SANGIHE ISLAND, INDONESIA, INCLUDING THREE NEW SPECIES, Phytotaxa. Vol.79(405) , pp.1-50 (https://doi.org/10.24823/EJB.2022.405)",https://doi.org/10.24823/EJB.2022.405
wfo-0000824009,Threat status,lc,Moonlight P.W. et al.,,4936,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039681,Threat status,lc,Tebbitt M.C.,,1153,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. 2015, Two New Species of Andean Tuberous Begonia in the B. octopetala Group (Begoniaceae), Novon. Vol.23(4) , pp.479-489 (http://www.bioone.org/doi/full/10.3417/2013027)",http://www.bioone.org/doi/full/10.3417/2013027
wfo-0000825158,Threat status,lc,Tebbitt M.C.,,1169,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. 2015, Two New Species of Andean Tuberous Begonia in the B. octopetala Group (Begoniaceae), Novon. Vol.23(4) , pp.479-489 (http://www.bioone.org/doi/full/10.3417/2013027)",http://www.bioone.org/doi/full/10.3417/2013027
wfo-0000823314,Threat status,en,Moonlight P.W. et al.,,5042,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000825824,Threat status,en,Moonlight P.W. et al.,,5048,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000825033,Threat status,lc,Moonlight P.W. et al.,,5165,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000825107,Threat status,lc,Moonlight P.W. et al.,,5189,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
