wfo_id,data_type,description,contributor,creator,source,Licence,bibliographic_Citation,doi
wfo-1000039768,Threats,"Assessed by Moonlight& Tebbitt (2016) as Vulnerable (VU D2), based upon its AOO of &lt; 8 km2 . A further population has been identified 50 km to the SW of the type locality and one further collection has been made at the type locality (P.W. Moonlight 1261), where the population appeared stable. The AOO of the species is now 12 km2 and remains within the criteria required for an assessment as Vulnerable (VU D2).",Moonlight P.W. et al.,,5226,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039598,Threats,Assessed by Moonlight& Tebbitt (2016) as Data Deficient (DD).,Moonlight P.W. et al.,,5215,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000825740,Threats,"Assessed by León& Monsalve (2006) and Moonlight& Tebbitt (2016) as Data Deficient (DD). The latter authors noted that they were unable to locate the species at its type locality during fieldwork in either 2014 or 2015, and that the area has undergone widespread deforestation. We consider it appropriate to reassess B. thyrsoidea as Endangered (EN B1ab(iii)).",Moonlight P.W. et al.,,5232,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823546,Threats,Assessed by Moonlight& Jara-Muñoz (2017) as Least Concern (LC).,Moonlight P.W. et al.,,5158,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0001347788,Threats,"Assessed by Moonlight et al. (2017a) as Critically Endangered (CR B2ab(iii)) because its single known locality was under threat from a tourist development in Parque Nacional Yanachaga-Chemillén. The proposed development has been cancelled, but the species remains vulnerable because of its extremely limited range and the fact that the locality is frequently visited by tourists. Accordingly, we recommend B. elachista remains categorised as Critically Endangered (CR B2ab(iii)).",Moonlight P.W. et al.,,5151,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823284,Threats,Assessed as Least Concern (LC) by Moonlight et al. (2017b),Moonlight P.W. et al.,,5115,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039583,Threats,Assessed as Least Concern (LC) by Moonlight et al. (2017b).,Moonlight P.W. et al.,,5120,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000824774,Threats,Assessed by Moonlight et al. (2017b) as Least Concern (LC),Moonlight P.W. et al.,,5125,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039736,Threats,Assessed by Moonlight et al. (2017b) as Data Deficient (DD).,Moonlight P.W. et al.,,5131,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000003272,Threats,Assessed by Moonlight& Reynel (2018) as Data Deficient (DD).,Moonlight P.W. et al.,,4823,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000003299,Threats,Recently assessed by Moonlight& Reynel (2018) as Data Deficient (DD).,Moonlight P.W. et al.,,4845,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000824637,Threats,Recently assessed by Moonlight& Reynel (2018) as Least Concern (LC). A recent record from Bolivia (Moonlight& Fuentes 2022) increases its known EOO to  189000 km2 .,Moonlight P.W. et al.,,4850,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1200023946,Threats,"Widespread and common throughout its Peruvian and Bolivian range with a total EOO of  350000 km2 , which includes several protected areas. This variety is frequently collected in disturbed grasslands and pastures. We assess B. veitchii var. veitchii as Least Concern (LC).",Moonlight P.W. et al.,,4792,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1200007314,Threats,"Known from a small area surrounding and partially protected by the Historic Sanctuary of Machu Picchu. Its EOO is 44 km2 , but it is well collected and frequently observed (e.g., 48 observations on iNaturalist, October 2020). This reflects how well visited Machu Picchu is, not the rarity of the variety, which is vulnerable because it is known only from one locality. We assess B. veitchii var. machupicchuensis as Vulnerable (VU D2).",Moonlight P.W. et al.,,4798,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823371,Threats,Assessed by Tebbitt et al. (2018a) as Least Concern (LC).,Moonlight P.W. et al.,,5082,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000823238,Threats,Assessed as Least Concern (LC) by Tebbitt (2017).,Moonlight P.W. et al.,,5076,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0000825861,Threats,"Assessed by León& Monsalve (2006) as Data Deficient (DD) and reassessed by Tebbitt (2016) as Vulnerable (VU D2). Known from five fragments of highly threatened northwest Peruvian relict montane forest on the western slopes of the Andes. The most distant sites are approximately 200 km apart and none of the five sites are protected. Given the species low EOO (ca 2500 km2 ), its few known localities and fragmented distribution, and the threats to its habitat, we reassess B. velata as Endangered (EN B1ab(iii)).",Moonlight P.W. et al.,,5070,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0001345033,Threats,"Assessed by Tebbitt (2016) as Data Deficient (DD). We have since visited the type locality and observed a stable population of ca 5 k plants growing along a 1 km stretch of the main 34H road through Sandia Province. It is likely that the population would decline rapidly if the road were improved, or the quantity of traffic increased, which would be grounds for reassessing the species as Critically Endangered. Accordingly, we assess B. heliantha as Vulnerable (VU D2) under IUCN criteria.",Moonlight P.W. et al.,,4778,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-0001345034,Threats,"Assessed by Tebbitt (2016) as Vulnerable (VU D2) based upon the species’ single known locality and pressures from land use change. Since then, we have collected the species from an additional population along the road to Atalaya, Ucayali Region. The species is highly abundant along a 15 km stretch of road, and the population appeared stable in 2016. We assess the species as Vulnerable (VU B1ab(iii)) due to its EOO of &lt; 10000 km2 , two known localities, and the pressures of land use change at the type locality.",Moonlight P.W. et al.,,5238,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. et al. 2023, The genus Begonia (Begoniaceae) in Peru, Eur. J. Taxon. Vol.881 , pp.1-334 (https://doi.org/10.5852/ejt.2023.881.2175)",https://doi.org/10.5852/ejt.2023.881.2175
wfo-1000039760,Threats,"The known extent of occurrence of Begonia pseudodendron is &lt; 1000 km2 and includes no protected governmental areas in either Colombia or Ecuador; however, it has been collected in a private reserve managed by the Ecominga Foundation, which protects forest remnants around the Chical area in Ecuador. The species’ range appears to include a large extent of original vegetation, but there has been significant and recent deforestation due to farming and road-building in the border region.",Moonlight P.W. & Pérez Á,,151,CC0 1.0 Universal (CC0 1.0),"Moonlight P.W. & Pérez Á 2022, A new species of Begonia sect. Ruizopavonia from Colombia and Ecuador, Edinburgh J. Bot. Vol.79(401) , pp.1-9 (https://journals.rbge.org.uk/ejb/article/view/401)",https://journals.rbge.org.uk/ejb/article/view/401
wfo-0001345088,Threats,"Begonia chrysantha is currently known from a single location measuring less than 10 km2 . At this location less than 250 individuals were observed, though the population appears stable. Given the current paucity of herbarium collections from this part of Bolivia other than from along the roadsides it is likely that future exploration will uncover additional populations of this species. However, this species inhabits a precise microhabitat (moss covered ledges on moist, shaded cliff faces), which is patchy in distribution, so the species is likely to have a fragmented distribution reflecting this. Begonia chrysantha is assessed as Vulnerable (V), according to IUCN criteria (2012).",Tebbitt M.C.,,1188,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. 2015, Two new yellow-flowered tuberous species of Begonia (Begoniaceae) from Bolivia, Brittonia. Vol.61 , pp.221-226 (https://link.springer.com/article/10.1007/s12228-015-9376-2)",https://link.springer.com/article/10.1007/s12228-015-9376-2
wfo-0001345086,Threats,"Begonia germaineana is currently known from a single location measuring less than 10 km2 . At this location fewer than 500 individuals were observed, though the population appears stable. The population occurs on a road bank and is, therefore, vulnerable to anthropomorphic disturbance, such as those associated with road repairs. Given that most collections of Begonia in this part of Bolivia have been made next to roads it is likely that future, larger scale, exploration will uncover additional populations of this species. Begonia germaineana is assessed as Vulnerable (V), according to IUCN criteria (2012).",Tebbitt M.C.,,1182,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. 2015, Two new yellow-flowered tuberous species of Begonia (Begoniaceae) from Bolivia, Brittonia. Vol.61 , pp.221-226 (https://link.springer.com/article/10.1007/s12228-015-9376-2)",https://link.springer.com/article/10.1007/s12228-015-9376-2
wfo-0001345882,Threats,"Begonia phantasma is widely distributed over an area measuring approximately 180 miles long by 25 miles wide and is often locally common. The species is, therefore, assessed as Least Concern (LC), according to IUCN Red List criteria (IUCN, 2013).",Tebbitt M.C.,,1194,CC0 1.0 Universal (CC0 1.0),"Tebbitt M.C. 2015, A New Tuberous Begonia Species (Begoniaceae) from Bolivia, Novon. Vol.24(3) , pp.319-323 (http://www.bioone.org/doi/full/10.3417/2014005)",http://www.bioone.org/doi/full/10.3417/2014005
