wfoid,Id,speciesplus_url
wfo-1000053142,97884,https://speciesplus.net/species#/taxon_concepts/97884/legal
wfo-1000053199,97438,https://speciesplus.net/species#/taxon_concepts/97438/legal
wfo-1000053143,97977,https://speciesplus.net/species#/taxon_concepts/97977/legal
wfo-0000836739,79763,https://speciesplus.net/species#/taxon_concepts/79763/legal
wfo-0000836745,76713,https://speciesplus.net/species#/taxon_concepts/76713/legal
wfo-0000315469,76072,https://speciesplus.net/species#/taxon_concepts/76072/legal
wfo-0000315470,77838,https://speciesplus.net/species#/taxon_concepts/77838/legal
wfo-0000914542,75812,https://speciesplus.net/species#/taxon_concepts/75812/legal
wfo-0000559367,69447,https://speciesplus.net/species#/taxon_concepts/69447/legal
wfo-0000315471,26836,https://speciesplus.net/species#/taxon_concepts/26836/legal
wfo-0000836753,76026,https://speciesplus.net/species#/taxon_concepts/76026/legal
wfo-0000559389,74670,https://speciesplus.net/species#/taxon_concepts/74670/legal
wfo-0001319260,72091,https://speciesplus.net/species#/taxon_concepts/72091/legal
wfo-0000315475,72552,https://speciesplus.net/species#/taxon_concepts/72552/legal
wfo-0000315476,82069,https://speciesplus.net/species#/taxon_concepts/82069/legal
wfo-1000052535,72582,https://speciesplus.net/species#/taxon_concepts/72582/legal
wfo-0000315477,63431,https://speciesplus.net/species#/taxon_concepts/63431/legal
wfo-0000315478,73240,https://speciesplus.net/species#/taxon_concepts/73240/legal
wfo-1000053144,97573,https://speciesplus.net/species#/taxon_concepts/97573/legal
wfo-0001339687,74009,https://speciesplus.net/species#/taxon_concepts/74009/legal
wfo-0000315480,20430,https://speciesplus.net/species#/taxon_concepts/20430/legal
wfo-0000914543,77254,https://speciesplus.net/species#/taxon_concepts/77254/legal
wfo-1000053145,97214,https://speciesplus.net/species#/taxon_concepts/97214/legal
wfo-0000315481,81732,https://speciesplus.net/species#/taxon_concepts/81732/legal
wfo-0000315482,80254,https://speciesplus.net/species#/taxon_concepts/80254/legal
wfo-0000836738,82440,https://speciesplus.net/species#/taxon_concepts/82440/legal
wfo-0000315484,63432,https://speciesplus.net/species#/taxon_concepts/63432/legal
wfo-1000053146,97959,https://speciesplus.net/species#/taxon_concepts/97959/legal
wfo-0000315487,78907,https://speciesplus.net/species#/taxon_concepts/78907/legal
wfo-0000559409,72134,https://speciesplus.net/species#/taxon_concepts/72134/legal
wfo-0000559420,70264,https://speciesplus.net/species#/taxon_concepts/70264/legal
wfo-0000559431,63433,https://speciesplus.net/species#/taxon_concepts/63433/legal
wfo-0000837653,68971,https://speciesplus.net/species#/taxon_concepts/68971/legal
wfo-1000053147,97206,https://speciesplus.net/species#/taxon_concepts/97206/legal
wfo-0000836740,76740,https://speciesplus.net/species#/taxon_concepts/76740/legal
wfo-1000053148,97131,https://speciesplus.net/species#/taxon_concepts/97131/legal
wfo-0000315491,69058,https://speciesplus.net/species#/taxon_concepts/69058/legal
wfo-0001341138,74292,https://speciesplus.net/species#/taxon_concepts/74292/legal
wfo-0000559454,75219,https://speciesplus.net/species#/taxon_concepts/75219/legal
wfo-0000800422,68949,https://speciesplus.net/species#/taxon_concepts/68949/legal
wfo-0000914544,76481,https://speciesplus.net/species#/taxon_concepts/76481/legal
wfo-0000315492,63435,https://speciesplus.net/species#/taxon_concepts/63435/legal
wfo-0001329936,78380,https://speciesplus.net/species#/taxon_concepts/78380/legal
wfo-0000315493,69777,https://speciesplus.net/species#/taxon_concepts/69777/legal
wfo-0001346532,98016,https://speciesplus.net/species#/taxon_concepts/98016/legal
wfo-1000053157,97194,https://speciesplus.net/species#/taxon_concepts/97194/legal
wfo-0000836825,77920,https://speciesplus.net/species#/taxon_concepts/77920/legal
wfo-0001346534,97189,https://speciesplus.net/species#/taxon_concepts/97189/legal
wfo-0000800424,71777,https://speciesplus.net/species#/taxon_concepts/71777/legal
wfo-0001346537,97407,https://speciesplus.net/species#/taxon_concepts/97407/legal
wfo-0000559465,69736,https://speciesplus.net/species#/taxon_concepts/69736/legal
wfo-0000559486,63436,https://speciesplus.net/species#/taxon_concepts/63436/legal
wfo-0000559497,76039,https://speciesplus.net/species#/taxon_concepts/76039/legal
wfo-0000559508,69405,https://speciesplus.net/species#/taxon_concepts/69405/legal
wfo-0000559518,81466,https://speciesplus.net/species#/taxon_concepts/81466/legal
wfo-0000914545,82294,https://speciesplus.net/species#/taxon_concepts/82294/legal
wfo-0000800425,72632,https://speciesplus.net/species#/taxon_concepts/72632/legal
wfo-0001343075,79377,https://speciesplus.net/species#/taxon_concepts/79377/legal
wfo-0000559529,78401,https://speciesplus.net/species#/taxon_concepts/78401/legal
wfo-1000053151,97253,https://speciesplus.net/species#/taxon_concepts/97253/legal
wfo-1000053141,97972,https://speciesplus.net/species#/taxon_concepts/97972/legal
wfo-0000315500,63437,https://speciesplus.net/species#/taxon_concepts/63437/legal
wfo-0000559557,72469,https://speciesplus.net/species#/taxon_concepts/72469/legal
wfo-0000315501,63438,https://speciesplus.net/species#/taxon_concepts/63438/legal
wfo-0000315502,71655,https://speciesplus.net/species#/taxon_concepts/71655/legal
wfo-0000559568,80968,https://speciesplus.net/species#/taxon_concepts/80968/legal
wfo-1000053152,97595,https://speciesplus.net/species#/taxon_concepts/97595/legal
wfo-0000315507,78024,https://speciesplus.net/species#/taxon_concepts/78024/legal
wfo-0000559579,74461,https://speciesplus.net/species#/taxon_concepts/74461/legal
wfo-0000914546,77713,https://speciesplus.net/species#/taxon_concepts/77713/legal
wfo-0001346538,97231,https://speciesplus.net/species#/taxon_concepts/97231/legal
wfo-0000559590,75913,https://speciesplus.net/species#/taxon_concepts/75913/legal
wfo-0000315509,82246,https://speciesplus.net/species#/taxon_concepts/82246/legal
wfo-0000559601,81225,https://speciesplus.net/species#/taxon_concepts/81225/legal
wfo-1000052779,97790,https://speciesplus.net/species#/taxon_concepts/97790/legal
wfo-0000559623,63440,https://speciesplus.net/species#/taxon_concepts/63440/legal
wfo-0000559632,82643,https://speciesplus.net/species#/taxon_concepts/82643/legal
wfo-0000559643,82189,https://speciesplus.net/species#/taxon_concepts/82189/legal
wfo-0001333088,78868,https://speciesplus.net/species#/taxon_concepts/78868/legal
wfo-1000053153,97774,https://speciesplus.net/species#/taxon_concepts/97774/legal
wfo-0000315513,70331,https://speciesplus.net/species#/taxon_concepts/70331/legal
wfo-0000559666,71673,https://speciesplus.net/species#/taxon_concepts/71673/legal
wfo-0000559677,73470,https://speciesplus.net/species#/taxon_concepts/73470/legal
wfo-0000559686,67871,https://speciesplus.net/species#/taxon_concepts/67871/legal
wfo-0001346539,97665,https://speciesplus.net/species#/taxon_concepts/97665/legal
wfo-0000800426,75697,https://speciesplus.net/species#/taxon_concepts/75697/legal
wfo-0000559696,78372,https://speciesplus.net/species#/taxon_concepts/78372/legal
wfo-0000315515,70653,https://speciesplus.net/species#/taxon_concepts/70653/legal
wfo-0000315516,81725,https://speciesplus.net/species#/taxon_concepts/81725/legal
wfo-0000315519,74848,https://speciesplus.net/species#/taxon_concepts/74848/legal
wfo-0001329228,82215,https://speciesplus.net/species#/taxon_concepts/82215/legal
wfo-0001333089,82343,https://speciesplus.net/species#/taxon_concepts/82343/legal
wfo-0001319261,77293,https://speciesplus.net/species#/taxon_concepts/77293/legal
wfo-0001331055,97655,https://speciesplus.net/species#/taxon_concepts/97655/legal
wfo-0000315521,72138,https://speciesplus.net/species#/taxon_concepts/72138/legal
wfo-0000315522,78466,https://speciesplus.net/species#/taxon_concepts/78466/legal
wfo-0001343076,71885,https://speciesplus.net/species#/taxon_concepts/71885/legal
wfo-0000315525,78698,https://speciesplus.net/species#/taxon_concepts/78698/legal
wfo-0001346540,97697,https://speciesplus.net/species#/taxon_concepts/97697/legal
wfo-0000559706,67872,https://speciesplus.net/species#/taxon_concepts/67872/legal
wfo-0000559715,80857,https://speciesplus.net/species#/taxon_concepts/80857/legal
wfo-0000559723,73008,https://speciesplus.net/species#/taxon_concepts/73008/legal
wfo-0000559733,63441,https://speciesplus.net/species#/taxon_concepts/63441/legal
wfo-0000914547,71237,https://speciesplus.net/species#/taxon_concepts/71237/legal
wfo-0000559742,63442,https://speciesplus.net/species#/taxon_concepts/63442/legal
wfo-0000315527,63443,https://speciesplus.net/species#/taxon_concepts/63443/legal
wfo-0000800427,69399,https://speciesplus.net/species#/taxon_concepts/69399/legal
wfo-0000800428,78711,https://speciesplus.net/species#/taxon_concepts/78711/legal
wfo-0000315529,63444,https://speciesplus.net/species#/taxon_concepts/63444/legal
wfo-0000559763,73618,https://speciesplus.net/species#/taxon_concepts/73618/legal
wfo-0000800429,70939,https://speciesplus.net/species#/taxon_concepts/70939/legal
wfo-0001346541,97175,https://speciesplus.net/species#/taxon_concepts/97175/legal
wfo-0000559796,82386,https://speciesplus.net/species#/taxon_concepts/82386/legal
wfo-0000315531,71173,https://speciesplus.net/species#/taxon_concepts/71173/legal
wfo-0000800431,80480,https://speciesplus.net/species#/taxon_concepts/80480/legal
wfo-0001345496,97377,https://speciesplus.net/species#/taxon_concepts/97377/legal
wfo-0000315534,69488,https://speciesplus.net/species#/taxon_concepts/69488/legal
wfo-0000559806,78151,https://speciesplus.net/species#/taxon_concepts/78151/legal
wfo-0000559817,75228,https://speciesplus.net/species#/taxon_concepts/75228/legal
wfo-1000053180,98031,https://speciesplus.net/species#/taxon_concepts/98031/legal
wfo-0000315535,63445,https://speciesplus.net/species#/taxon_concepts/63445/legal
wfo-1000053154,97150,https://speciesplus.net/species#/taxon_concepts/97150/legal
