wfoid,Id,speciesplus_url
wfo-0000754662,23356,https://speciesplus.net/species#/taxon_concepts/23356/legal
wfo-0000532976,51804,https://speciesplus.net/species#/taxon_concepts/51804/legal
wfo-0000262045,20895,https://speciesplus.net/species#/taxon_concepts/20895/legal
wfo-0000262046,20879,https://speciesplus.net/species#/taxon_concepts/20879/legal
wfo-0000262056,24774,https://speciesplus.net/species#/taxon_concepts/24774/legal
wfo-0000262098,26458,https://speciesplus.net/species#/taxon_concepts/26458/legal
wfo-0000260165,25968,https://speciesplus.net/species#/taxon_concepts/25968/legal
wfo-0000547441,25138,https://speciesplus.net/species#/taxon_concepts/25138/legal
wfo-0000547443,14624,https://speciesplus.net/species#/taxon_concepts/14624/legal
wfo-0000547453,14702,https://speciesplus.net/species#/taxon_concepts/14702/legal
wfo-0000547463,21277,https://speciesplus.net/species#/taxon_concepts/21277/legal
wfo-0000547477,18189,https://speciesplus.net/species#/taxon_concepts/18189/legal
wfo-0000547483,28657,https://speciesplus.net/species#/taxon_concepts/28657/legal
wfo-0000547487,45112,https://speciesplus.net/species#/taxon_concepts/45112/legal
wfo-0000555029,24757,https://speciesplus.net/species#/taxon_concepts/24757/legal
wfo-0000558175,25895,https://speciesplus.net/species#/taxon_concepts/25895/legal
wfo-0000623439,19242,https://speciesplus.net/species#/taxon_concepts/19242/legal
wfo-0000651930,14591,https://speciesplus.net/species#/taxon_concepts/14591/legal
wfo-0001430580,64444,https://speciesplus.net/species#/taxon_concepts/64444/legal
wfo-0000651940,64447,https://speciesplus.net/species#/taxon_concepts/64447/legal
wfo-0000651951,93931,https://speciesplus.net/species#/taxon_concepts/93931/legal
wfo-0000651956,24066,https://speciesplus.net/species#/taxon_concepts/24066/legal
wfo-0000651961,64452,https://speciesplus.net/species#/taxon_concepts/64452/legal
wfo-0000651972,22794,https://speciesplus.net/species#/taxon_concepts/22794/legal
wfo-0000651977,24864,https://speciesplus.net/species#/taxon_concepts/24864/legal
wfo-0000651996,25526,https://speciesplus.net/species#/taxon_concepts/25526/legal
wfo-0000652003,18039,https://speciesplus.net/species#/taxon_concepts/18039/legal
wfo-0000652019,14252,https://speciesplus.net/species#/taxon_concepts/14252/legal
wfo-0000661287,98421,https://speciesplus.net/species#/taxon_concepts/98421/legal
wfo-0000661523,18004,https://speciesplus.net/species#/taxon_concepts/18004/legal
wfo-0000680640,27568,https://speciesplus.net/species#/taxon_concepts/27568/legal
wfo-0000680662,14439,https://speciesplus.net/species#/taxon_concepts/14439/legal
wfo-0001287026,25367,https://speciesplus.net/species#/taxon_concepts/25367/legal
wfo-0001289649,14450,https://speciesplus.net/species#/taxon_concepts/14450/legal
wfo-0000375387,26732,https://speciesplus.net/species#/taxon_concepts/26732/legal
wfo-0000375390,17592,https://speciesplus.net/species#/taxon_concepts/17592/legal
wfo-0001289713,22677,https://speciesplus.net/species#/taxon_concepts/22677/legal
wfo-0001288606,27815,https://speciesplus.net/species#/taxon_concepts/27815/legal
wfo-0001288308,26931,https://speciesplus.net/species#/taxon_concepts/26931/legal
wfo-0001288307,23835,https://speciesplus.net/species#/taxon_concepts/23835/legal
wfo-0001287012,15492,https://speciesplus.net/species#/taxon_concepts/15492/legal
wfo-0001288304,20271,https://speciesplus.net/species#/taxon_concepts/20271/legal
wfo-0001288303,20139,https://speciesplus.net/species#/taxon_concepts/20139/legal
wfo-0001287042,25762,https://speciesplus.net/species#/taxon_concepts/25762/legal
wfo-0001287043,20244,https://speciesplus.net/species#/taxon_concepts/20244/legal
wfo-0001287398,67963,https://speciesplus.net/species#/taxon_concepts/67963/legal
wfo-0001246595,29634,https://speciesplus.net/species#/taxon_concepts/29634/legal
wfo-0001246599,44177,https://speciesplus.net/species#/taxon_concepts/44177/legal
wfo-0001246606,46037,https://speciesplus.net/species#/taxon_concepts/46037/legal
wfo-0001256485,25351,https://speciesplus.net/species#/taxon_concepts/25351/legal
wfo-0001287160,20415,https://speciesplus.net/species#/taxon_concepts/20415/legal
wfo-0001256487,17824,https://speciesplus.net/species#/taxon_concepts/17824/legal
wfo-0001287161,27661,https://speciesplus.net/species#/taxon_concepts/27661/legal
wfo-0001246608,29372,https://speciesplus.net/species#/taxon_concepts/29372/legal
wfo-0001289550,29522,https://speciesplus.net/species#/taxon_concepts/29522/legal
wfo-0001287165,25178,https://speciesplus.net/species#/taxon_concepts/25178/legal
wfo-0001256493,22530,https://speciesplus.net/species#/taxon_concepts/22530/legal
wfo-0001262057,50438,https://speciesplus.net/species#/taxon_concepts/50438/legal
wfo-0001287168,18383,https://speciesplus.net/species#/taxon_concepts/18383/legal
wfo-0000750397,93908,https://speciesplus.net/species#/taxon_concepts/93908/legal
wfo-0001287054,18270,https://speciesplus.net/species#/taxon_concepts/18270/legal
wfo-0001256570,15036,https://speciesplus.net/species#/taxon_concepts/15036/legal
wfo-0001256572,25161,https://speciesplus.net/species#/taxon_concepts/25161/legal
wfo-0001256573,14615,https://speciesplus.net/species#/taxon_concepts/14615/legal
wfo-0001256574,20310,https://speciesplus.net/species#/taxon_concepts/20310/legal
wfo-0001256575,29201,https://speciesplus.net/species#/taxon_concepts/29201/legal
wfo-0001256579,19620,https://speciesplus.net/species#/taxon_concepts/19620/legal
wfo-0001256580,18695,https://speciesplus.net/species#/taxon_concepts/18695/legal
wfo-0001289790,15894,https://speciesplus.net/species#/taxon_concepts/15894/legal
wfo-0001256582,17168,https://speciesplus.net/species#/taxon_concepts/17168/legal
wfo-0001256587,20657,https://speciesplus.net/species#/taxon_concepts/20657/legal
wfo-0001256590,15151,https://speciesplus.net/species#/taxon_concepts/15151/legal
wfo-0001287969,27816,https://speciesplus.net/species#/taxon_concepts/27816/legal
wfo-0001289792,16975,https://speciesplus.net/species#/taxon_concepts/16975/legal
wfo-0001256603,28936,https://speciesplus.net/species#/taxon_concepts/28936/legal
wfo-0001256605,22260,https://speciesplus.net/species#/taxon_concepts/22260/legal
wfo-0000416273,18804,https://speciesplus.net/species#/taxon_concepts/18804/legal
wfo-0000416270,17078,https://speciesplus.net/species#/taxon_concepts/17078/legal
wfo-0000416268,18813,https://speciesplus.net/species#/taxon_concepts/18813/legal
wfo-0000044406,28010,https://speciesplus.net/species#/taxon_concepts/28010/legal
wfo-0000691255,27947,https://speciesplus.net/species#/taxon_concepts/27947/legal
wfo-0000396772,28405,https://speciesplus.net/species#/taxon_concepts/28405/legal
wfo-0000631499,27663,https://speciesplus.net/species#/taxon_concepts/27663/legal
wfo-0000960633,19248,https://speciesplus.net/species#/taxon_concepts/19248/legal
wfo-0000961116,14735,https://speciesplus.net/species#/taxon_concepts/14735/legal
wfo-0000961211,22857,https://speciesplus.net/species#/taxon_concepts/22857/legal
