WFO_ID,Distribution,Country_code,scientificName,Rank,ScientificAuthorship,Family,NamePublishedIn,Catalogue of the Plants of Madagascar record,Citation
wfo-0000292500,Endemic to Madagascar,MG,Asteropeia amblyocarpa,species,Tul.,Asteropeiaceae,"Annales des Sciences Naturelles; Botanique, série 4 8: 81. 1857. (Ann. Sci. Nat., Bot., sér. 4,) ",http://www.tropicos.org/Name/31600155?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000292533,Endemic to Madagascar,MG,Asteropeia densiflora,species,Baker,Asteropeiaceae,"Journal of Botany, British and Foreign 20: 49. 1882. (J. Bot.) ",http://www.tropicos.org/Name/31600161?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000292544,Endemic to Madagascar,MG,Asteropeia labatii,species,"G.E. Schatz, Lowry & A.-E. Wolf",Asteropeiaceae,"Adansonia, série 3, 21(2): 260, f. 2, 3A(map), 5(A–C). 1999. (Adansonia, sér. 3,) ",http://www.tropicos.org/Name/50136175?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000292555,Endemic to Madagascar,MG,Asteropeia matrambody,species,"(Capuron) G.E. Schatz, Lowry & A.-E. Wolf",Asteropeiaceae,"Adansonia, série 3, 21(2): 262. 1999. (Adansonia, sér. 3,) ",http://www.tropicos.org/Name/50136176?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000292566,Endemic to Madagascar,MG,Asteropeia mcphersonii,species,"G.E. Schatz, Lowry & A.-E. Wolf",Asteropeiaceae,"Adansonia, série 3, 21(2): 263, f. 3A(map), 4. 1999. (Adansonia, sér. 3,) ",http://www.tropicos.org/Name/50136177?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000292575,Endemic to Madagascar,MG,Asteropeia micraster,species,Hallier f.,Asteropeiaceae,Beihefte zum Botanischen Centralblatt 39(2): 30. 1923. (Beih. Bot. Centralbl.) ,http://www.tropicos.org/Name/31600159?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000292585,Endemic to Madagascar,MG,Asteropeia multiflora,species,Thouars,Asteropeiaceae,"Histoire des Végétaux Recueillis dans les Isles Australes d'Afrique 51–52, t. 15. 1805. (Hist. Vég. Isles Austral. Afriq.) ",http://www.tropicos.org/Name/31600157?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000292596,Endemic to Madagascar,MG,Asteropeia rhopaloides,species,(Baker) Baill.,Asteropeiaceae,Bulletin Mensuel de la Société Linnéenne de Paris 1: 561. 1886. (Bull. Mens. Soc. Linn. Paris) ,http://www.tropicos.org/Name/31600162?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000316678,Endemic to Madagascar,MG,Barbeuia madagascariensis,species,Steud.,Barbeuiaceae,Nomenclator Botanicus. Editio secunda 1: 186. 1841. (Nomencl. Bot. (ed. 2)) ,http://www.tropicos.org/Name/24800055?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000627027,Endemic to Madagascar,MG,Leptolaena masoalensis,species,G.E. Schatz & Lowry,Sarcolaenaceae,"Adansonia, série 3, 23(2): 183, f. 6(map), 7. 2001. (Adansonia, sér. 3,) ",http://www.tropicos.org/Name/50195243?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000627048,Endemic to Madagascar,MG,Leptolaena pauciflora,species,Baker,Sarcolaenaceae,"Journal of the Linnean Society, Botany 20: 96–97. 1883. (J. Linn. Soc., Bot.) ",http://www.tropicos.org/Name/28800011?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
wfo-0000627065,Endemic to Madagascar,MG,Leptolaena multiflora,species,Thouars,Sarcolaenaceae,"Histoire des Végétaux Recueillis dans les Isles Australes d'Afrique 41, t. 11. 1805[1805]. (Hist. Vég. Isles Austral. Afriq.) ",http://www.tropicos.org/Name/28800008?projectid=17,"Catalogue of the Plants of Madagascar. Missouri Botanical Garden, St. Louis, U.S.A. & Antananarivo, Madagascar"
