TaxonID,Locality,LocalityID,countryCode,establishmentMeans,Source,occurenceStatus,licence
wfo-0000510976,Hungary,HUN,HU,uncertain,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",rare,https://creativecommons.org/licenses/by/4.0/
wfo-0000511042,Hungary,HUN,HU,introduced,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",rare,https://creativecommons.org/licenses/by/4.0/
wfo-0000919689,Hungary,HUN,HU,introduced,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",rare,https://creativecommons.org/licenses/by/4.0/
wfo-0000514040,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0001078629,Hungary,HUN,HU,introduced,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000514884,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",rare,https://creativecommons.org/licenses/by/4.0/
wfo-0000514908,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",rare,https://creativecommons.org/licenses/by/4.0/
wfo-0000515004,Hungary,HUN,HU,introduced,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000515184,Hungary,HUN,HU,introduced,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000515176,Hungary,HUN,HU,native,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000522249,Hungary,HUN,HU,introduced,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
wfo-0000522287,Hungary,HUN,HU,introduced,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",rare,https://creativecommons.org/licenses/by/4.0/
wfo-0000524599,Hungary,HUN,HU,introduced,"Bartha, D. (2021). An Annotated And Updated Checklist Of The Hungarian Dendroflora. Acta Botanica Hungarica 63(3–4), pp. 227–284, 2021. https://doi.org/10.1556/034.63.2021.3-4.1",present,https://creativecommons.org/licenses/by/4.0/
