"multimediaID","taxonID","identifier","title","description"
"media-ID_374","taxon-1-APTANDRA","fotg-a-14-374.jpg","Fig. 1","Transverse section."
"media-ID_375","taxon-1-APTANDRA","fotg-a-14-375.jpg","Fig. 2","Tangential section."
"media-ID_376","taxon-1-APTANDRA","fotg-a-14-376.jpg","Fig. 3","Transverse section."
"media-ID_377","taxon-1-APTANDRA","fotg-a-14-377.jpg","Fig. 4","Tangential section."
"media-ID_363","taxon-2-CATHEDRA","fotg-a-14-363.gif","Fig. 1",""
"media-ID_364","taxon-1-Cathedra_acuminata","fotg-a-14-364.gif","Fig. 2",""
"media-ID_365","taxon-2-Dulacia_guianensis","fotg-a-14-365.gif","Fig. 3",""
"media-ID_378","taxon-5-HEISTERIA","fotg-a-14-378.jpg","Fig. 5","Transverse section."
"media-ID_379","taxon-5-HEISTERIA","fotg-a-14-379.jpg","Fig. 6","Tangential section."
"media-ID_380","taxon-5-HEISTERIA","fotg-a-14-380.jpg","Fig. 7","Transverse section."
"media-ID_381","taxon-5-HEISTERIA","fotg-a-14-381.jpg","Fig. 8","Tangential section."
"media-ID_382","taxon-5-HEISTERIA","fotg-a-14-382.jpg","Fig. 9","Transverse section."
"media-ID_383","taxon-5-HEISTERIA","fotg-a-14-383.jpg","Fig. 10","Tangential section."
"media-ID_384","taxon-5-HEISTERIA","fotg-a-14-384.jpg","Fig. 11","Transverse section."
"media-ID_385","taxon-5-HEISTERIA","fotg-a-14-385.jpg","Fig. 12","Tangential section."
"media-ID_366","taxon-2-Heisteria_cauliflora","fotg-a-14-366.gif","Fig. 4",""
"media-ID_386","taxon-6-MABUREA","fotg-a-14-386.jpg","Fig. 13","Transverse section."
"media-ID_387","taxon-6-MABUREA","fotg-a-14-387.jpg","Fig. 14","Transverse section."
"media-ID_388","taxon-6-MABUREA","fotg-a-14-388.jpg","Fig. 15","Tangential section."
"media-ID_389","taxon-6-MABUREA","fotg-a-14-389.jpg","Fig. 16","Transverse section."
"media-ID_367","taxon-1-Maburea_trinervis","fotg-a-14-367.gif","Fig. 5",""
"media-ID_368","taxon-7-MINQUARTIA","fotg-a-14-368.gif","Fig. 6",""
"media-ID_369","taxon-1-Ptychopetalum_olacoides","fotg-a-14-369.gif","Fig. 7",""
"media-ID_370","taxon-1-Schoepfia_lucida","fotg-a-14-370.gif","Fig. 8",""
"media-ID_390","taxon-10-XIMENIA","fotg-a-14-390.jpg","Fig. 17","Transverse section."
"media-ID_391","taxon-10-XIMENIA","fotg-a-14-391.jpg","Fig. 18","Transverse section."
"media-ID_392","taxon-10-XIMENIA","fotg-a-14-392.jpg","Fig. 19","Radial section."
"media-ID_393","taxon-10-XIMENIA","fotg-a-14-393.jpg","Fig. 20","Tangential section."
"media-ID_371","taxon-Ximenia_americana","fotg-a-14-371.gif","Fig. 9",""
"media-ID_394","taxon-1-AGONANDRA","fotg-a-14-394.jpg","Fig. 21","Transverse section."
"media-ID_395","taxon-1-AGONANDRA","fotg-a-14-395.jpg","Fig. 22","Tangential section."
"media-ID_372","taxon-2-Agonandra_silvatica","fotg-a-14-372.gif","Fig. 10",""
"media-ID_373","taxon-2-LANGSDORFFIA","fotg-a-14-373.gif","Fig. 11",""
