"taxonID","scientificName","namePublishedIn","taxonomicStatus"
"taxon-1-Aptandra_liriosmoides","Aptandra benthamiana","Ann. Mag. Nat. Hist. ser. 3 4 360 1859","synonym"
"taxon-1-Cathedra_acuminata","Diplocrater acuminatus","Hooker's J. Bot. Kew Gard. Misc. 3 367 1851","synonym"
"taxon-1-Cathedra_acuminata","Cathedra crassifolia","Ann. Mag. Nat. Hist. ser. 3 4 361 1859","synonym"
"taxon-1-Cathedra_acuminata","Cathedra aestuaria","Repert. Spec. Nov. Regni Veg. 39 279 1936","synonym"
"taxon-1-Cathedra_acuminata","Cathedra inaequilatera","Repert. Spec. Nov. Regni Veg. 39 280 1936","synonym"
"taxon-1-Cathedra_acuminata","Cathedra oblonga","Repert. Spec. Nov. Regni Veg. 39 280 1936","synonym"
"taxon-1-Cathedra_acuminata","Cathedra caurensis","Bol. Soc. Venez. Ci. Nat. 6 5 1939","synonym"
"taxon-1-Cathedra_acuminata","Cathedra guianensis","Kew. Bull 1955 469 1955","synonym"
"taxon-3-CHAUNOCHITON","Heisteria","Martius Fl. Bras. 12 2 29 1872","synonym"
"taxon-1-Chaunochiton_kappleri","Heisteria kappleri","Martius Fl. Bras. 12 2 14 t. 4 1872","synonym"
"taxon-1-Chaunochiton_kappleri","Chaunochiton breviflorum","Arch. Jard. Bot. Rio de Janeiro 3 41 1922","synonym"
"taxon-4-DULACIA","Liriosma","Nov. Gen. Sp. Pl. 3 33 1843","synonym"
"taxon-1-Dulacia_crassa","Liriosma crassa","Brittonia 13 114 f. 1 1961","synonym"
"taxon-2-Dulacia_guianensis","Liriosma guianensis","Martius Fl. Bras. 12 2 25 1872","synonym"
"taxon-2-Dulacia_guianensis","Olax schomburgkii","Ri. Schomburgk Reis. Br.-Guiana 3 1177 1948 nom. nud., based on Ri. Schomburgk 1345 (B).","synonym"
"taxon-2-Dulacia_guianensis","Liriosma cerifera","Brittonia 2 146 1936","synonym"
"taxon-3-Heisteria_densifrons","Heisteria microcarpa","Martius Fl. Bras. 12 2 21 1872","synonym"
"taxon-3-Heisteria_densifrons","Heisteria microcalyx","Ann Sci. Nat. Bot. Ser. 4 11 159 1881","synonym"
"taxon-5-Heisteria_ovata","Heisteria surinamensis","Rec. Trav. Bot. Neerl. 34 497 f. 8 1937","synonym"
"taxon-7-MINQUARTIA","Secretania","A. de Candolle Prodr. 15 2 227 1866","synonym"
"taxon-1-Minquartia_guianensis","Secretania loranthacea","A. de Candolle Prodr. 15 2 228 1866","synonym"
"taxon-10-XIMENIA","Heymassoli","Hist. Pl. Guiane 1 324 1775","synonym"
"taxon-1-Ximenia_americana","Heymassoli inermis","Hist. Pl. Guiane 1 325 1775","synonym"
"taxon-1-Ximenia_americana","Heymassoli spinosa","Hist. Pl. Guiane 1 324","synonym"
"taxon-1-Agonandra_brasiliensis","Agonandra granatensis","Descr. S. Amer. Pl. 14 1920","synonym"
"taxon-1-Helosis_cayennensis","Cynomorium cayennense","Nov. Gen. & Sp. Pl. 12 1788","synonym"
"taxon-1-Helosis_cayennensis","Helosis guyanensis","Mem. Mus. Hist. Nat. 8 416, 432 t.20 1822 nom. illeg. superfl.","synonym"
"taxon-1-Langsdorffia_hypogaea","Thonningia mexicana","Forhandl. Skand. Naturf. 4. Moede 1844 180 1847","synonym"
