"taxonID","vernacularName","language","region","doubtful"
"taxon-3-Cheiloclinium_cognatum","monkey syrup","","Guyana",""
"taxon-3-Cheiloclinium_cognatum","bofroe- tiki","Sran.","Suriname",""
"taxon-3-Cheiloclinium_cognatum","manara-tiki","","Suriname",""
"taxon-3-Cheiloclinium_cognatum","eu-pohnh'tan","Wayampi","French Guiana",""
"taxon-3-Cheiloclinium_cognatum","tabu miln","","French Guiana",""
"taxon-3-Cheiloclinium_cognatum","tatumik","","French Guiana",""
"taxon-1-Cuervea_kappleriana","akyma","","Guyana",""
"taxon-1-Hylenaea_comosa","karoshiri","Arow.","Guyana",""
"taxon-1-Peritassa_compta","attakari","","Guyana",""
"taxon-2-Peritassa_huanucana","tpsatii","Wayampi","",""
"taxon-3-Peritassa_laevigata","krere","Kar.","Suriname",""
"taxon-1-Prionostemma_aspera","koni-koni-tete","","Suriname",""
"taxon-1-Dendrobangia_boliviana","jakanta","Sranan","Suriname",""
"taxon-1-Dendrobangia_boliviana","rode bast jakanta","","Suriname",""
"taxon-1-Dendrobangia_boliviana","wayaballi kharemeru","Arow.","Suriname",""
"taxon-1-Dendrobangia_boliviana","taapoutiki","Paramakka","French Guiana",""
"taxon-1-Discophora_guianensis","witte jakanta","Sranan","Suriname",""
"taxon-1-Discophora_guianensis","witte bast jakanta","","Suriname",""
"taxon-1-Discophora_guianensis","paramaloe","Kar.","Suriname",""
"taxon-1-Discophora_guianensis","mulei blanc","Oyampi","French Guiana",""
"taxon-1-Discophora_guianensis","kanegma","Palikur","French Guiana",""
"taxon-1-Discophora_guianensis","awalapuna","Oyampi","French Guiana",""
"taxon-1-Discophora_guianensis","yowassipouta","","French Guiana",""
"taxon-3-Emmotum_fagifolium","candlewood","Arow.","Guyana",""
"taxon-3-Emmotum_fagifolium","manobodin","","Guyana",""
"taxon-3-Emmotum_fagifolium","harrariro-manobodin","","Guyana",""
"taxon-3-Emmotum_fagifolium","bois d'agouti","","French Guiana",""
"taxon-1-Poraqueiba_guianensis","jakanta","Sranan","Suriname",""
"taxon-1-Poraqueiba_guianensis","gewone jakanta","","Suriname",""
"taxon-1-Poraqueiba_guianensis","marisiballi","Arow.","Suriname",""
"taxon-1-Poraqueiba_guianensis","boliquin","Paramakka","French Guiana",""
"taxon-1-Poraqueiba_guianensis","nion-oudou","","French Guiana",""
"taxon-1-Poraqueiba_guianensis","gris-gris","","French Guiana",""
"taxon-1-Poraqueiba_guianensis","minquart","","French Guiana",""
