"taxonID","description"
"taxon-10-ARISTOLOCHIACEAE","Woody or herbaceous vines or less often perennial herbs or shrubs, sometimes arising from tubers or from fleshy roots; nodes 3-lacunar. Leaves alternate, simple and mostly entire, sometimes lobed; stipules wanting, a pseudostipule present in the leaf axil in some South American species. Flowers solitary, or in terminal or lateral racemes or cymes , perfect, actinomorphic or zygomorphic, mostly epigynous, otherwise hemi-epigynous or perigynous, often smelling like rotting meat; calyx synsepalous, tubular at least below , actinomorphic and 3-lobed to zygomorphic and 3-lobed to 1-lobed or not lobed , often large and colourful ; petals wanting, much reduced or well developed (Saruma); stamens 4-many , anthers dithecal and tetrasporangiate, extrorse; gynoecium of 4-6 carpels; ovary 4- to 6-locular , or with 4-6 incomplete partitions, placentation axile or parietal; ovules numerous , crassinucellar and mostly anatropous; endosperm development cellular. Fruits usually capsular, rarely follicular or indehiscent; seeds with abundant, oily endosperm; embryo very small, sometimes undifferentiated, basal."
"taxon-1-ARISTOLOCHIA","Aromatic woody or herbaceous vines, roots often tuberous; stem of several species with thick, fissured cork . Leaves: with or without axillar pseudostipules; petioles long, twisting; blades entire, 3-lobed in 2 species , base usually cordate , venation prominent beneath, main veins pedate at base, tertiary veins forming a tight net. Flowers solitary or in racemose or cymose inflorescences, axillary or cauliflorous ; flowers resupinate, as a result of twisting of the inferior ovary; perianth composed of 3 sepals, zygomorphic, slightly curved to tightly S-shaped , its 3 parts easy to distinguish: the basal, inflated utricle , the narrow or trumpet-shaped median tube , the distal part, usually 1- to 3-lobed , very variable in shape, size and colour ; ovary 6-celled , long and narrow, barely thicker than the pedicel, apex forming a hexandrous gynostemium with 6 anthers and 6 stigmatic lobes in the utricle. Capsules 6-locular , cylindric , with dorsal keel on each cell; dehiscence septicidal, starting from the peduncle and incomplete, dehisced fruit basket-like; seeds numerous , generally flat, piled in each cell, often winged , seed coat slightly verrucose, adaxially with a longitudinal prominent raphe."
"taxon-1-Aristolochia_bukuti","Woody vine; stem 1.5-2 cm diam. , bark very thick and fissured; branchlets rather thick, 3-4 mm diam. , indument caducous; pseudostipules lacking. Leaves: petiole thick, twining, 5-7 cm long ; blade chartaceous , widely triangular , 11-16 x 15-20 cm , glabrous and shining above, greyish and pubescent beneath , apex acute to slightly acuminate , base slightly cordate ; lateral veins marginal at base. Inflorescence cauliflorous , a dense cluster of 1-2 cm long racemes, each bearing ± 5 flowers with small scaly bracts ; pedicels thin, 3-3.5 cm long, excluding the ovary . Flowers: ovary 2-2.5 cm long ; perianth whitish, glabrous , outside with protruding violet brown veins ; utricle ovoid , 2-3 x 1.5 cm , with a cup-shaped, annular , 1 mm wide appendage at base ; tube 2 x 0.5 cm ; limb suborbicular, surrounding the throat except for a ventral sinus , 5-6 x 4-5 cm , apex acute , inside brown with golden speckles near the margin, the colour fading to yellow at middle , throat yellow . Fruit ca. 6 cm long , external wall thin, chartaceous ."
"taxon-2-Aristolochia_consimilis","Woody vine; stem 15 x 10 mm in cross section, bark thick and fissured; branchlets with fine, short and sparse trichomes ; pseudostipules lacking. Leaves: petiole twining, about 2 cm long ; blade chartaceous , elliptic , 7-11 x 4-7 cm , pubescent when young, becoming glabrescent except on the veins and dull above , beneath pubescent , apex acute to acuminate , base deeply cordate . Inflorescence axillary , hanging, 1-2(-3) together; racemes 2-4 cm long, occasionally up to 10 cm , about 1 cm between flowers ; bracts small, leafy, linear to triangular , 6-10 x 2-4 mm ; pedicels ± 5 mm long not longer than the ovary , pubescent . Flowers: ovary ± 7 mm long , pubescent ; perianth pilose with multicellular hairs , dark purple with green veins outside ; utricle ovoid , 7 mm long ; tube 10-15 mm long , broadening into a flattened mouth ; lobe triangular , about 15 mm long and wide , apex acute , inside yellow . Fruit (4-)5-6 cm long , glabrous , with a longitudinal ridge along the middle of each carpel, inner walls membranaceous , comb-like; seeds cordiform , 5 x 5 mm , surrounded by 2 parallel, papyraceous wings, with rounded apex , 7-8 x 12-15 mm including wings, base cordate ."
"taxon-3-Aristolochia_cremersii","Woody vine; stem to 6-7 cm diam. , bark thick and fissured; branchlets glabrous ; pseudostipules lacking. Leaves: petiole twining, up to 6 cm long ; blade chartaceous , widely triangular , 9-14 x 7-14 cm , glabrous, shining above, greyish and slightly tomentose beneath , apex acute to acuminate , base truncate to slightly cordate . Inflorescence a cauliflorous or axillary raceme up to 10 cm long , bearing 10-15 flowers with very small ( 1 mm long) petiolate bracts ; pedicels thin, up to 5 cm long . Flowers: ovary 8-10 mm long ; perianth glabrous ; utricle globose , 3-5 mm diam. , with a small, scaly corona at base ; tube 2-2, 5 cm long , yellowish, with brown veins ; limb with superior lobe brown , sublinear , 3-3.5 x 0.2-0.4 cm , inferior lobe 0.5-0.8 cm , gutter-shaped , emarginate. Infructescence up to 20 cm long with 4 mm long bracts ; fruit glabrous , 3-5 cm long ; seeds ovoid , 5 x 3 mm , acuminate at apex , emarginate at base ."
"taxon-4-Aristolochia_daemoninoxia","Woody vine; stem 2 cm diam. , bark deeply ridged, fissured; branchlets glabrous ; pseudostipules lacking. Leaves: petiole twining, up to 7 cm long ; blade chartaceous , triangular , 8-15 x 8-18 cm , glabrous, shining above, glaucous, velvet-tomentose beneath , apex obtuse or acute (acuminate in Gillespie 830) , base straight to slightly cordate ; lateral veins marginal at base. Inflorescence cauliflorous, or rarely axillary (Fanshawe 1383) ; racemes contracted ( up to 1 cm, mostly less than 5 mm) , bearing few flowers with minute scaly bracts ; pedicels 2-3.5 cm long . Flowers (poorly known): ovary 1-1.5 cm long ; perianth tomentose outside when young , pale brownish green with darker veins ; utricle ovoid , 2 x 1.3 cm ; tube short, funnel-shaped ; superior lobe ovate , wider than long, 3 x 5-6 cm , apex truncate and mucronate , inside verrucose . Fruit 7-10 cm long , rough , glabrous , midrib of carpels thickened, with a median groove, external wall thick, woody ; seeds ovoid , 5 x 2.5 mm , apex rounded , base emarginate, with the funicle slightly winged , longitudinally protruding ."
"taxon-5-Aristolochia_didyma","Vine; branchlets glabrous , hollow; pseudostipules lacking. Leaves glabrous : petiole twining, 5-8 cm long ; blade membranous , triangular, widely cordiform , 8-25 x 6-17 cm , glaucous beneath, apex triangular, acute to acuminate , base deeply cordate with acute sinus , margin undulate ; lateral veins marginal at base. Flowers axillary , solitary; pedicel thin, 5-8 cm long (up to 11 cm in Black 47-2159, Para, Brazil) , glabrous ; ovary ± 2 cm long (up to 6 cm in Black 47-2159) ; perianth yellow green outside , glabrous ; utricle ovoid , 3-4 x 5-6 cm , black spotted ; tube cylindric , about 3 x 1-1.5 cm ; superior lobe with margin usually shortly violet-fimbriate, purple veined , 4-5 cm long , 2-fid, each lobule about 2.5 x 1 cm , apex rounded , inferior lobe 1.5-2 cm long , throat yellow . Fruit unknown."
"taxon-6-Aristolochia_flava","Woody vine; stem 0.5-0.7 cm diam. , with a relatively thin bark ; branchlets glabrous ; pseudostipules lacking. Leaves: petiole thin, 3-5 cm long ; blade triangular , 11-17 x 9-12 cm , glabrous, shining above, greyish , pubescent beneath , apex long acuminate , acumen 2-2.5 cm long , base straight to slightly cordate ; lateral veins submarginal at base. Inflorescence axillary to cauline , racemes thin, long ( up to 25 cm ), with a long peduncle, bearing 15-20 flowers with minute ( < 1 mm long) petiolate bracts ; pedicels very thin, 3 cm long . Flowers: ovary 1 cm long ; perianth entirely yellow , glabrous ; utricle globose , about 0.5 cm in diam. ; tube slightly funnel-shaped , 1.5 cm long ; limb funnel-shaped , inferior lobe widely elliptic , 2 x 3-3.5 cm , superior lobe linear , twisted, about 4 cm long , shortly papillose inside . Fruit unknown."
"taxon-7-Aristolochia_guianensis","Herbaceous, white pubescent vine; pseudostipules lacking. Leaves: petiole thin, 3-6 cm long ; blade ovate , 8-11(-12) x 5-7(-9) cm , apex acute , base deeply cordate ; lateral veins marginal at base. Flowers axillary , solitary; pedicel thin, 5-8 cm long ; ovary 1-1.5 cm long , more densely pubescent than the pedicel ; perianth wine-red, yellowish green veined outside ; utricle pyriform , 1.7 x 1.7 cm ; tube cylindric , 1.5-2 cm long ; limb funnel-shaped, opening narrowed in the middle , superior lobe vertical, triangular , 2-3 cm wide at base , apex shortly acuminate , inside white, with dark violet spots distally . Fruit unknown."
"taxon-8-Aristolochia_hians","Vine; branchlets hollow, glabrous ; pseudostipules foliaceous, cordiform , up to 2.5 cm long . Leaves: petiole thin, 3-5 cm long ; blade round, cordiform , 6-10 x 6-11 cm , glabrous , apex obtuse to rounded , base cordate ; lateral veins marginal at base. Flowers axillary , solitary; pedicel twining, 7-8 cm long ; ovary 3-4 cm long , bending at a right angle from the pedicel ; perianth whitish outside, purple-veined , glabrous ; utricle obpyriform, 2-6 x 1.5-4 cm , its very base purple ; tube cylindric , up to 1.5 cm long ; limb 2-lobed , rounded and hanging , 4-6 x 5-7 cm , pale brown , superior lobe paddle-shaped, linear and upright at base , 1.5-3 cm long , inferior lobe linear , 7-9 (up to 15) x 0.5-1.5 cm . Fruit 8 cm long , glabrous , chartaceous , carpels keeled along midrib; seeds triangular, 3-4 mm long and wide , winged, 13-16 x 7-10 mm including wing, slightly emarginate at base, very thin ."
