"taxonID","scientificName","scientificNameAuthorship","taxonRank","family","subfamily","genus","namePublishedIn","taxonomicStatus"
"taxon-10-ARISTOLOCHIACEAE","ARISTOLOCHIACEAE","","family","ARISTOLOCHIACEAE","","","","accepted"
"taxon-1-ARISTOLOCHIA","ARISTOLOCHIA","Linnaeus","genus","","","ARISTOLOCHIA","Sp. Pl. 960 1753","accepted"
"taxon-1-Aristolochia_bukuti","Aristolochia bukuti","Poncy","species","","","Aristolochia","Bull. Mus. Hist. Nat. (Paris) ser. 4 10 337 tab. 1 1989 (""1988"")","accepted"
"taxon-2-Aristolochia_consimilis","Aristolochia consimilis","Masters","species","","","Aristolochia","Bull. Misc. Inform 1906 7 1906","accepted"
"taxon-3-Aristolochia_cremersii","Aristolochia cremersii","Poncy","species","","","Aristolochia","Bull. Mus. Hist. Nat. (Paris) ser. 4 10 339 tab. 2 1989 (""1988"")","accepted"
"taxon-4-Aristolochia_daemoninoxia","Aristolochia daemoninoxia","Masters","species","","","Aristolochia","Bull. Misc. Inform 1906 6 1906","accepted"
"taxon-5-Aristolochia_didyma","Aristolochia didyma","S. Moore","species","","","Aristolochia","J. Bot. 53 1 7 1915","accepted"
"taxon-6-Aristolochia_flava","Aristolochia flava","Poncy","species","","","Aristolochia","Bull. Mus. Hist. Nat. (Paris) ser. 4 10 341 tab. 3, fig. 1 1989 (""1988"")","accepted"
"taxon-7-Aristolochia_guianensis","Aristolochia guianensis","Poncy","species","","","Aristolochia","Bull. Mus. Hist. Nat. (Paris) ser. 4 10 343 tab. 3, fig. 2 1989 (""1988"")","accepted"
"taxon-8-Aristolochia_hians","Aristolochia hians","Willdenow","species","","","Aristolochia","Mem. Soc. Imp. Naturalistes Moscou 2 100 1809","accepted"
"taxon-9-Aristolochia_iquitensis","Aristolochia iquitensis","O.C. Schmidt","species","","","Aristolochia","Notizbl. Bot. Gart. Berlin-Dahlem 10 196 1927","accepted"
"taxon-10-Aristolochia_leprieurii","Aristolochia leprieurii","Duchartre","species","","","Aristolochia","De Candolle Prodr. 15 1 451 1864","accepted"
"taxon-11-Aristolochia_mossii","Aristolochia mossii","S. Moore","species","","","Aristolochia","J. Bot. 53 1 7 1915","accepted"
"taxon-12-Aristolochia_paramaribensis","Aristolochia paramaribensis","Duchartre","species","","","Aristolochia","De Candolle Prodr. 15 1 496 1864","accepted"
"taxon-13-Aristolochia_peltatodeltoidea","Aristolochia peltatodeltoidea","Hoehne","species","","","Aristolochia","Fl. Brasilica 15 2 6 102 tab. 75 1942 (as ""peltato-deltoidea"").","accepted"
"taxon-14-Aristolochia_rugosa","Aristolochia rugosa","Lamarck","species","","","Aristolochia","Encycl. 1 252 1783","accepted"
"taxon-15-Aristolochia_stahelii","Aristolochia stahelii","O.C. Schmidt","species","","","Aristolochia","Feddes Repert. Spec. Nov. Regni Veg. 45 52 1938","accepted"
"taxon-16-Aristolochia_surinamensis","Aristolochia surinamensis","Willdenow","species","","","Aristolochia","Sp. Pl. 4 1 151 1805","accepted"
"taxon-17-Aristolochia_trilobata","Aristolochia trilobata","Linnaeus","species","","","Aristolochia","Sp. Pl. 2 960 1753","accepted"
"taxon-18-Aristolochia_weddellii","Aristolochia weddellii","Duchartre","species","","","Aristolochia","Ann. Sci. Nat. ser. 2 4 62 1854","accepted"
"taxon-Aristolochia_weddellii","Aristolochia weddellii","Duchartre","species","","","Aristolochia","Mem. Inst. Oswaldo Cruz 20 1 59 (123), tab. 50 1927","accepted"
"taxon-Aristolochia_amara","Aristolochia amara","Poncy","species","","","Aristolochia","Bull. Mus. Hist. Nat. (Paris) ser. 4 10 344 1989 (""1988"")","accepted"
"taxon-Aristolochia_cymbifera","Aristolochia cymbifera","Martius & Zuccharini","species","","","Aristolochia","Nov. Gen. Spec. 1 76 tab. 49 1824","accepted"
"taxon-Aristolochia_bilobata","Aristolochia bilobata","Linnaeus","species","","","Aristolochia","Sp. Pl. 960 1753","accepted"
"taxon-Aristolochia_brasiliensis","Aristolochia brasiliensis","Martius & Zuccharini","species","","","Aristolochia","Nov. Gen. Sp. 1 77 1824","accepted"
"taxon-Aristolochia_odoratissima","Aristolochia odoratissima","Linnaeus","species","","","Aristolochia","Sp. Pl. ed. 2 1362 1763","accepted"
"taxon-Aristolochia_peltata","Aristolochia peltata","Linnaeus","species","","","Aristolochia","Sp. Pl. 960 1753","accepted"
