"taxonID","locality","localityType","distributionText"
"taxon-156-ACANTHACEAE","Pantropical","world","Distribution: Pantropical and pansubtropical , sparingly distributed in temperate zones of both hemispheres ; about 2500 species in about 250 genera; in the Guianas 83 species in 24 genera."
"taxon-156-ACANTHACEAE","pansubtropical","world","Distribution: Pantropical and pansubtropical , sparingly distributed in temperate zones of both hemispheres ; about 2500 species in about 250 genera; in the Guianas 83 species in 24 genera."
"taxon-156-ACANTHACEAE","temperate zones of both hemispheres","world","Distribution: Pantropical and pansubtropical , sparingly distributed in temperate zones of both hemispheres ; about 2500 species in about 250 genera; in the Guianas 83 species in 24 genera."
"taxon-156-ACANTHACEAE","Guianas","region","Distribution: Pantropical and pansubtropical , sparingly distributed in temperate zones of both hemispheres ; about 2500 species in about 250 genera; in the Guianas 83 species in 24 genera."
"taxon-1-ANISACANTHUS","New World","world","Distribution: About 15 New World species, ranging from the arid and semi-arid portions of Mexico and adjacent SW United States into South America to Argentina ( Jujuy ); 1 species in the Guianas ."
"taxon-1-ANISACANTHUS","arid and semi-arid portions of Mexico","region","Distribution: About 15 New World species, ranging from the arid and semi-arid portions of Mexico and adjacent SW United States into South America to Argentina ( Jujuy ); 1 species in the Guianas ."
"taxon-1-ANISACANTHUS","SW United States","region","Distribution: About 15 New World species, ranging from the arid and semi-arid portions of Mexico and adjacent SW United States into South America to Argentina ( Jujuy ); 1 species in the Guianas ."
"taxon-1-ANISACANTHUS","South America","continent","Distribution: About 15 New World species, ranging from the arid and semi-arid portions of Mexico and adjacent SW United States into South America to Argentina ( Jujuy ); 1 species in the Guianas ."
"taxon-1-ANISACANTHUS","Argentina","country","Distribution: About 15 New World species, ranging from the arid and semi-arid portions of Mexico and adjacent SW United States into South America to Argentina ( Jujuy ); 1 species in the Guianas ."
"taxon-1-ANISACANTHUS","Jujuy","province","Distribution: About 15 New World species, ranging from the arid and semi-arid portions of Mexico and adjacent SW United States into South America to Argentina ( Jujuy ); 1 species in the Guianas ."
"taxon-1-ANISACANTHUS","Guianas","region","Distribution: About 15 New World species, ranging from the arid and semi-arid portions of Mexico and adjacent SW United States into South America to Argentina ( Jujuy ); 1 species in the Guianas ."
"taxon-1-Anisacanthus_secundus","Venezuela","country","Distribution: Venezuela , Guianas , Brazil ; 58 collections studied of which 8 from the Guianas (GU: 3; SU: 2; FG: 3)."
"taxon-1-Anisacanthus_secundus","Guianas","region","Distribution: Venezuela , Guianas , Brazil ; 58 collections studied of which 8 from the Guianas (GU: 3; SU: 2; FG: 3)."
"taxon-1-Anisacanthus_secundus","Brazil","country","Distribution: Venezuela , Guianas , Brazil ; 58 collections studied of which 8 from the Guianas (GU: 3; SU: 2; FG: 3)."
"taxon-2-APHELANDRA","NW Mexico","region","Distribution: A neotropical genus of about 175 species extending from NW Mexico southeastward in dry forests to S E Brazil ( Santa Catarina ); the greatest concentration of species occurs in the Andes of Colombia , Ecuador and Peru ; 3 species in the Guianas ."
"taxon-2-APHELANDRA","E Brazil","region","Distribution: A neotropical genus of about 175 species extending from NW Mexico southeastward in dry forests to S E Brazil ( Santa Catarina ); the greatest concentration of species occurs in the Andes of Colombia , Ecuador and Peru ; 3 species in the Guianas ."
"taxon-2-APHELANDRA","Santa Catarina","state","Distribution: A neotropical genus of about 175 species extending from NW Mexico southeastward in dry forests to S E Brazil ( Santa Catarina ); the greatest concentration of species occurs in the Andes of Colombia , Ecuador and Peru ; 3 species in the Guianas ."
"taxon-2-APHELANDRA","Andes","region","Distribution: A neotropical genus of about 175 species extending from NW Mexico southeastward in dry forests to S E Brazil ( Santa Catarina ); the greatest concentration of species occurs in the Andes of Colombia , Ecuador and Peru ; 3 species in the Guianas ."
"taxon-2-APHELANDRA","Colombia","country","Distribution: A neotropical genus of about 175 species extending from NW Mexico southeastward in dry forests to S E Brazil ( Santa Catarina ); the greatest concentration of species occurs in the Andes of Colombia , Ecuador and Peru ; 3 species in the Guianas ."
"taxon-2-APHELANDRA","Ecuador","country","Distribution: A neotropical genus of about 175 species extending from NW Mexico southeastward in dry forests to S E Brazil ( Santa Catarina ); the greatest concentration of species occurs in the Andes of Colombia , Ecuador and Peru ; 3 species in the Guianas ."
"taxon-2-APHELANDRA","Peru","country","Distribution: A neotropical genus of about 175 species extending from NW Mexico southeastward in dry forests to S E Brazil ( Santa Catarina ); the greatest concentration of species occurs in the Andes of Colombia , Ecuador and Peru ; 3 species in the Guianas ."
"taxon-2-APHELANDRA","Guianas","region","Distribution: A neotropical genus of about 175 species extending from NW Mexico southeastward in dry forests to S E Brazil ( Santa Catarina ); the greatest concentration of species occurs in the Andes of Colombia , Ecuador and Peru ; 3 species in the Guianas ."
"taxon-1-Aphelandra_aurantiaca","S Mexico","region","Distribution: Ranging from S Mexico through C America south to Bolivia and east to French Guiana and Amazonian Brazil ; 120 collections studied of which 17 from the Guianas (GU: 1; SU: 10; FG: 6)."
"taxon-1-Aphelandra_aurantiaca","C America","continental region","Distribution: Ranging from S Mexico through C America south to Bolivia and east to French Guiana and Amazonian Brazil ; 120 collections studied of which 17 from the Guianas (GU: 1; SU: 10; FG: 6)."
"taxon-1-Aphelandra_aurantiaca","south to Bolivia","region","Distribution: Ranging from S Mexico through C America south to Bolivia and east to French Guiana and Amazonian Brazil ; 120 collections studied of which 17 from the Guianas (GU: 1; SU: 10; FG: 6)."
"taxon-1-Aphelandra_aurantiaca","French Guiana","country","Distribution: Ranging from S Mexico through C America south to Bolivia and east to French Guiana and Amazonian Brazil ; 120 collections studied of which 17 from the Guianas (GU: 1; SU: 10; FG: 6)."
"taxon-1-Aphelandra_aurantiaca","Amazonian Brazil","region","Distribution: Ranging from S Mexico through C America south to Bolivia and east to French Guiana and Amazonian Brazil ; 120 collections studied of which 17 from the Guianas (GU: 1; SU: 10; FG: 6)."
"taxon-1-Aphelandra_aurantiaca","Guianas","region","Distribution: Ranging from S Mexico through C America south to Bolivia and east to French Guiana and Amazonian Brazil ; 120 collections studied of which 17 from the Guianas (GU: 1; SU: 10; FG: 6)."
"taxon-2-Aphelandra_pulcherrima","Costa Rica","country","Distribution: Costa Rica southward to Colombia also in a few West Indian islands and east to Suriname ; 60 collections studied of which 12 from the Guianas (GU: 7; SU: 5)."
"taxon-2-Aphelandra_pulcherrima","Colombia","country","Distribution: Costa Rica southward to Colombia also in a few West Indian islands and east to Suriname ; 60 collections studied of which 12 from the Guianas (GU: 7; SU: 5)."
"taxon-2-Aphelandra_pulcherrima","few West Indian islands","region","Distribution: Costa Rica southward to Colombia also in a few West Indian islands and east to Suriname ; 60 collections studied of which 12 from the Guianas (GU: 7; SU: 5)."
"taxon-2-Aphelandra_pulcherrima","Suriname","country","Distribution: Costa Rica southward to Colombia also in a few West Indian islands and east to Suriname ; 60 collections studied of which 12 from the Guianas (GU: 7; SU: 5)."
"taxon-2-Aphelandra_pulcherrima","Guianas","region","Distribution: Costa Rica southward to Colombia also in a few West Indian islands and east to Suriname ; 60 collections studied of which 12 from the Guianas (GU: 7; SU: 5)."
"taxon-3-Aphelandra_scabra","S Mexico","region","Distribution: Ranging from S Mexico southward to Bolivia and eastward to Suriname and Brazil ; 14 collections studied from the Guianas (GU: 10; SU: 4)."
"taxon-3-Aphelandra_scabra","Bolivia","country","Distribution: Ranging from S Mexico southward to Bolivia and eastward to Suriname and Brazil ; 14 collections studied from the Guianas (GU: 10; SU: 4)."
"taxon-3-Aphelandra_scabra","Suriname","country","Distribution: Ranging from S Mexico southward to Bolivia and eastward to Suriname and Brazil ; 14 collections studied from the Guianas (GU: 10; SU: 4)."
"taxon-3-Aphelandra_scabra","Brazil","country","Distribution: Ranging from S Mexico southward to Bolivia and eastward to Suriname and Brazil ; 14 collections studied from the Guianas (GU: 10; SU: 4)."
"taxon-3-Aphelandra_scabra","Guianas","region","Distribution: Ranging from S Mexico southward to Bolivia and eastward to Suriname and Brazil ; 14 collections studied from the Guianas (GU: 10; SU: 4)."
"taxon-3-ASYSTASIA","Old World tropics","world","Distribution: Old World tropics , chiefly in the East Indies , India and Africa , and now thoroughly naturalized in the New World tropics ; around 40 species, 1 in the Guianas either as cultivar or escape."
"taxon-3-ASYSTASIA","East Indies","region","Distribution: Old World tropics , chiefly in the East Indies , India and Africa , and now thoroughly naturalized in the New World tropics ; around 40 species, 1 in the Guianas either as cultivar or escape."
"taxon-3-ASYSTASIA","India","country","Distribution: Old World tropics , chiefly in the East Indies , India and Africa , and now thoroughly naturalized in the New World tropics ; around 40 species, 1 in the Guianas either as cultivar or escape."
"taxon-3-ASYSTASIA","Africa","continent","Distribution: Old World tropics , chiefly in the East Indies , India and Africa , and now thoroughly naturalized in the New World tropics ; around 40 species, 1 in the Guianas either as cultivar or escape."
"taxon-3-ASYSTASIA","New World tropics","world","Distribution: Old World tropics , chiefly in the East Indies , India and Africa , and now thoroughly naturalized in the New World tropics ; around 40 species, 1 in the Guianas either as cultivar or escape."
"taxon-3-ASYSTASIA","Guianas","region","Distribution: Old World tropics , chiefly in the East Indies , India and Africa , and now thoroughly naturalized in the New World tropics ; around 40 species, 1 in the Guianas either as cultivar or escape."
"taxon-1-Asystasia_gangetica","tropical Africa","continental region","Distribution: Native to tropical Africa , Asia and Malaysia ; introduced into tropical America where it is cultivated or persists as an escape; 15 collections studied from the Guianas (GU: 4; SU: 4; FG: 7)."
"taxon-1-Asystasia_gangetica","Asia","continent","Distribution: Native to tropical Africa , Asia and Malaysia ; introduced into tropical America where it is cultivated or persists as an escape; 15 collections studied from the Guianas (GU: 4; SU: 4; FG: 7)."
