"taxonID","use"
"taxon-1-Hernandia_guianensis","Uses: The light and strong wood is traded and used as timber. The Galibis and the Bush-negros use the wood the way we use a tinder/fire lighter. The flowers and the fruit, especially the kernel are used by the Garipons (coming from Pará, Brazil) and by some people from Cayenne to make purgative emulsions. The Palikur use emulsions from the flowers and the fruit against whooping cough, for which the local name is 'maoksikan', which means 'cry of the howler monkey'."
"taxon-17-Peperomia_pellucida","Uses: Suriname: against inflammations, skim bruises, as a diuretic; mixed with other substances against high blood pressure (Raghoenandan, Utrecht internal report). To flavor salads, it can be found in gardens and pots also as a weed. The plants have some medicinal and even poisonous properties (pers. comm. J.C. Lindeman)."
"taxon-8-Piper_arboreum","Use: According to Reinders, Piper arboreum is used against poisonous snake bites in the NW Distr., Guyana."
"taxon-9-Piper_augustum","Uses: Leaves have a spicy odour when crushed. In Amazonia Indians use stems as tooth brush. It was also used to prevent tooth decay (Davis & Yost, Bot. Mus. Leafl. 29(3): 182. 1983)."
"taxon-11-Piper_avellanum","Use: Sap of crushed leaves is said to be used against snake-bites in the NW district of Guyana (Van Andel, pers. comm.)."
"taxon-12-Piper_bartlingianum","Use: According to Miquel, Artanthe warakabacoura — meaning knee of the Warakaba bird — was used in Guyana and Suriname as one of the constituents of the Ourali poison."
"taxon-18-Piper_consanguineum","Use: According to Schulz, Suriname Amerindians use leaves extracted in spirit after snake bite (see also the vernacular name, meaning snake bite)."
"taxon-42-Piper_nigrum","Use: Pepper is the most used spice in the world, although it contains several contents causing hypoglycaemic effects in humans. To obtain ""black pepper"" the unripe fruits are collected. During the drying proces its colour changes from green to black. To produce ""white pepper"" fruits are allowed to mature further, then soaked in (streaming) water. The mesocarp is then removed. In Suriname powder of pepper plus salt and lemon juice is said to alleviate coughs by East Indian people (Raghoenandan, Internal report BBS)."
"taxon-Piper_betle","Uses: Cultivated in the Indomalesian region (widely cultivated already since at least Hobhinian culture 8000-3000 years ago). In Suriname crushed leaves are used to stop nose bleeding. Other medicinal uses as known from India have not been reported (Raghoenandan, Internal report BBS, on medicinal uses of plants by East Indian people in Suriname). Fresh leaves made up into a packet or plug containing betel nuts (Areca catechu) and slaked lime provide a masticatory."
"taxon-Piper_cubeba","Uses: Cultivated in E and W Indies for the dried unripe fruits used medicinally and to flavour cigarettes."
"taxon-45-Piper_peltatum","Use: As a fish-poison, for that purpose cultivated (in Guyana, NW Distr., according to Archer)."
"taxon-48-Piper_piscatorum","Uses: Roots and branches are used as fish poison; also used to alleviate pain of teeth and gums. ( McFerren, M.A. & E. Rodriguez J. Ethnopharmacology 60 183-187 1998 ). According to R. Callejas, the plants have an anaesthetic effect."
"taxon-58-Piper_wachenheimii","Use: The plants are used in religious ceremonies by Suriname Hindustani."
