"taxonID","habitat"
"taxon-1-Cyrilla_racemiflora","Habitat: in several different habitats including savannas, gallery forest, swampy vegetation and cloud forest, usually on white sands or along river banks, elev. 25 to 2300 m ; mentioned often as fire resistant; flowers sometimes with galls."
"taxon-1-Clavija_imatacae","Habitat: primary forest, from sea level to 350 m elev."
"taxon-2a-Clavija_lancifolia","Habitat: primary forest, from sea level to 350 m elev."
"taxon-2b-Clavija_lancifolia","Habitat: primary forest, from sea level to 750 m elev."
"taxon-3-Clavija_macrophylla","Habitat: in secondary dry forest, from sea level to 600 m elev."
"taxon-1-Rhabdodendron_amazonicum","Habitat: forest on non-flooded sandy ground."
"taxon-1-Euplassa_glaziovii","Habitat: generally in shrubland or savanna, and gallery forests; between 1030 and 2000 m alt., usually at lower alt. of approx. 470 m ."
"taxon-2-Euplassa_pinnata","Habitat: in moist forest on terra firme and open forest on sandy soil."
"taxon-1-Panopsis_rubescens","Habitat: growing on river banks, lakesides, islands, in wet savanna, morichales and flooded forest."
"taxon-2-Panopsis_sessilifolia","Habitat: predominantly at the riparian fringe on terra firme."
"taxon-3-ROUPALA","Habitat: from sea-level to 4000 m alt., usually somewhere in the middle of this range."
"taxon-1-Roupala_montana","Habitat: in moist, tropical, evergreen to dry, deciduous primary and secondary forest and open grassland habitats of savanna, also in gallery forests and forest remnants."
"taxon-2-Roupala_nitida","Habitat: riparian trees in seasonally inundated open forest of islands and river shores, on sandy soil, common at campo and forest boundaries"
"taxon-3-Roupala_obtusata","Habitat: almost exclusively found in flooded forest on white sand"
"taxon-4-Roupala_sororopana","Habitat: summits, 1200 m alt."
"taxon-5-Roupala_suaveolens","Habitat: occasional or rare, between 100 and 1300 m alt., in gallery forest and savanna especially beside fast-flowing water also in inundated savanna."
"taxon-1-Buchenavia_congesta","Habitat: tropical rainforests, often riverine, on flood-plains or terra firme, at 100-400 m elev."
"taxon-2-Buchenavia_fanshawei","Habitat: damp, usually riverine, primary or secondary forest, usually on alluvial or sandy soils on riverbanks, at 5-250 m elev."
"taxon-3-Buchenavia_grandis","Habitat: dry forest or scrub, hill-forest, bush-savanna, sometimes near rivers, characteristically on non-inundated often sandy soils."
"taxon-4-Buchenavia_guianensis","Habitat: forest on terra firme, at ca. 100 m elev."
"taxon-5-Buchenavia_macrophylla","Habitat: riverside and lakeside forest, often inundated but sometimes on terra firme, swamp-forest, flood-plains, on sandy or clayey soil, at ca. 150 m elev."
"taxon-6-Buchenavia_megalophylla","Habitat: lowland riverine forest on sand or alluvium, at least seasonally inundated, at 5-100 m elev."
"taxon-7-Buchenavia_nitidissima","Habitat: primary moist tropical forest, at 20-400 m elev."
"taxon-8-Buchenavia_ochroprumna","Habitat: lowland, forest along rivers and by lakes, usually in inundated areas and frequently partly submerged, also on sandy river and lake beaches, up to 120 m elev."
"taxon-9-Buchenavia_pallidovirens","Habitat: lowland or upland, often very humid forests, sandy river terraces, at 0-1700 m elev."
"taxon-10-Buchenavia_parvifolia","Habitat: moist evergreen primary rain-forest, often by rivers, on inundated or firm ground, up to 500 m elev. in French Guiana."
"taxon-11-Buchenavia_reticulata","Habitat: primary and secondary forest, usually in inundated areas and by rivers and lakes but also on terra firme, sometimes remaining in open cleared places."
"taxon-12-Buchenavia_tetraphylla","Habitat: in the Guianas it is usually found in riverside and lakeside forest, inundated or not, up to 500 m elev."
"taxon-13-Buchenavia_viridiflora","Habitat: lowland rainforest on terra firme or inundated by rivers and lakes and in marshes."
"taxon-1-Combretum_cacoucia","Habitat: primary inundated forest, swamp forest, riverside or lakeside forest, sometimes in or just behind the mangrove zone, also secondary forest by roads and in scrubby savanna, at 0-150 m elev."
"taxon-2-Combretum_fruticosum","Habitat: a typical forest liana, occupying all sorts of forest: evergreen or deciduous, tall or short, upland or lowland, dry or humid, on slopes or by rivers or lakes or in marshes, virgin, disturbed or secondary, and cut or burned, however, only sparsely scattered in very humid central and lower Amazon river-basin."
"taxon-3-Combretum_fusiforme","Habitat: at river margins and in seasonally inundated lowland forest."
"taxon-4-Combretum_laxum","Habitat: tall evergreen wet or inundated forest, often by rivers or lakes or in swampy ground, but persisting after forest clearance and found in secondary forest, semi-deciduous or semi-evergreen forest, dry forest on slopes and hills, from sea level to 600 m elev."
"taxon-5-Combretum_paraguariense","Habitat: riverine forest, usually seasonally inundated, often along river-banks or by lakes, on sand or clay, usually lowland ."
"taxon-6-Combretum_pyramidatum","Habitat: riverside or lakeside primary forest, usually at least seasonally inundated, but sometimes in drier secondary forest or scrub, on clayey or sandy soils. lowland"
"taxon-7-Combretum_rohrii","Habitat: wet or damp forest on terra firme, both in the uplands and by lowland rivers, up to 230 m elev."
"taxon-8-Combretum_rotundifolium","Habitat: in flooded, seasonally inundated or non-inundated deciduous or evergreen forest, often along rivers, on clay or sand, mainly in the lowlands ."
"taxon-9-Combretum_spinosum","Habitat: in dry deciduous or riverside rain forest."
"taxon-3-CONOCARPUS","Habitat: non-mangrove shrub or tree of inland wet sandy ground in NE Africa and Arabia"
"taxon-1-Conocarpus_erectus","Habitat: usually at sea-level, but commonly up to 20 m elev.; at landward fringe of mangrove swamps, sometimes codominant with Laguncularia and Rhizophora , usually within reach of the highest tides, also found on sandy shores, exposed coral limestone, salt-marshes, dry or inundated savanna, and primary or secondary woodland, showing somewhat weedy tendencies and being tolerant of saline and fresh water, and dry soils."
"taxon-1-Laguncularia_racemosa","Habitat: characteristic mangrove species in tropical America, often occurring with Rhizophora , Avicennia , etc., but sometimes in pure stands, in mangrove swamps, usually on the landward side, in standing water or daily submerged, in other strand vegetation, and also in coastal scrub or disturbed ground only irregularly flooded, at 0-10 m elev."
