"occurrenceID","taxonID","scientificName","recordedBy","recordNumber","country"
"occ-6980022015961683065","taxon-71-CYRILLACEAE","CYRILLACEAE","Abbersetts, N.J.","19","guyana"
"occ-2653479205793236427","taxon-71-CYRILLACEAE","CYRILLACEAE","","35","guyana"
"occ-8576784467011442569","taxon-71-CYRILLACEAE","CYRILLACEAE","Anderson, C.W.","543","guyana"
"occ-488229510237580883","taxon-71-CYRILLACEAE","CYRILLACEAE","Bio, U.G.","106","guyana"
"occ--411599185704054068","taxon-71-CYRILLACEAE","CYRILLACEAE","Cooper, A.","141","guyana"
"occ-4529014503799093273","taxon-71-CYRILLACEAE","CYRILLACEAE","Cowan, R.S. & T.R. Soderstrom","1956","guyana"
"occ-6371311746787361267","taxon-71-CYRILLACEAE","CYRILLACEAE","","2229","guyana"
"occ-6913275361724372260","taxon-71-CYRILLACEAE","CYRILLACEAE","Cruz, J.S. de la","1822","guyana"
"occ-7942402103511069614","taxon-71-CYRILLACEAE","CYRILLACEAE","","2080","guyana"
"occ--3008774730045141825","taxon-71-CYRILLACEAE","CYRILLACEAE","","3467","guyana"
"occ--3538520234620712599","taxon-71-CYRILLACEAE","CYRILLACEAE","Davis, D.H.","98","guyana"
"occ-273044384057379947","taxon-71-CYRILLACEAE","CYRILLACEAE","","182","guyana"
"occ-7171119861941541046","taxon-71-CYRILLACEAE","CYRILLACEAE","","634","guyana"
"occ--7321022972190960140","taxon-71-CYRILLACEAE","CYRILLACEAE","Fanshawe, D.B.","5242","guyana"
"occ--4777892436209422252","taxon-71-CYRILLACEAE","CYRILLACEAE","Forest Dept. British Guiana","933","guyana"
"occ-2102320115762974608","taxon-71-CYRILLACEAE","CYRILLACEAE","","2867","guyana"
"occ--4221157584801881403","taxon-71-CYRILLACEAE","CYRILLACEAE","","7804","guyana"
"occ-392780579376008973","taxon-71-CYRILLACEAE","CYRILLACEAE","","7924","guyana"
"occ--6990867156246347239","taxon-71-CYRILLACEAE","CYRILLACEAE","Gillespie, L.J., et al.","917","guyana"
"occ-8617090679830892839","taxon-71-CYRILLACEAE","CYRILLACEAE","","1342","guyana"
"occ-7803726221401189997","taxon-71-CYRILLACEAE","CYRILLACEAE","","2604","guyana"
"occ--2928127633862288473","taxon-71-CYRILLACEAE","CYRILLACEAE","","2671","guyana"
"occ-3055548318729744550","taxon-71-CYRILLACEAE","CYRILLACEAE","","2942","guyana"
"occ--134200075242569363","taxon-71-CYRILLACEAE","CYRILLACEAE","Gleason, H.A.","486","guyana"
"occ--4742437159297180206","taxon-71-CYRILLACEAE","CYRILLACEAE","Graham, V.","113","guyana"
"occ-5739232251468013101","taxon-71-CYRILLACEAE","CYRILLACEAE","Hahn, W., et al.","4046","guyana"
"occ-8818438081659445489","taxon-71-CYRILLACEAE","CYRILLACEAE","","5359","guyana"
"occ--763957441099372172","taxon-71-CYRILLACEAE","CYRILLACEAE","","5521","guyana"
"occ--5971560747919525494","taxon-71-CYRILLACEAE","CYRILLACEAE","Henkel, T.W., et al.","2459","guyana"
"occ--4734638792653327387","taxon-71-CYRILLACEAE","CYRILLACEAE","","2497","guyana"
"occ--6341949870378504947","taxon-71-CYRILLACEAE","CYRILLACEAE","Hoffman, B., et al.","1610","guyana"
"occ--1728258271934955321","taxon-71-CYRILLACEAE","CYRILLACEAE","","1870","guyana"
"occ--4885228179232883876","taxon-71-CYRILLACEAE","CYRILLACEAE","Hohenkerk, L.S.","250A","guyana"
"occ-3903849529742615830","taxon-71-CYRILLACEAE","CYRILLACEAE","Im Thurn, E.F.","(set. B) 35","guyana"
"occ-5137770294879140600","taxon-71-CYRILLACEAE","CYRILLACEAE","","(set. B) 334","guyana"
"occ-8883727940266058090","taxon-71-CYRILLACEAE","CYRILLACEAE","Jenman, G.S.","s.n.","guyana"
"occ-2102107416566441636","taxon-71-CYRILLACEAE","CYRILLACEAE","","288","guyana"
"occ-6932795364617315440","taxon-71-CYRILLACEAE","CYRILLACEAE","","1044","guyana"
"occ--1808814229340950243","taxon-71-CYRILLACEAE","CYRILLACEAE","","1861","guyana"
"occ-4615282762849047886","taxon-71-CYRILLACEAE","CYRILLACEAE","","4350","guyana"
"occ--8609590002904533283","taxon-71-CYRILLACEAE","CYRILLACEAE","Kelloff, C.L., et al.","875","guyana"
"occ-6165487181561545128","taxon-71-CYRILLACEAE","CYRILLACEAE","Kvist, L.P., et al.","79","guyana"
"occ-1717132859887454212","taxon-71-CYRILLACEAE","CYRILLACEAE","Liesner, R.","23327","guyana"
"occ--4979274521596532113","taxon-71-CYRILLACEAE","CYRILLACEAE","Maas, P.J.M., et al.","4344","guyana"
"occ-5698232076753064192","taxon-71-CYRILLACEAE","CYRILLACEAE","","5701","guyana"
"occ--3483174082898442794","taxon-71-CYRILLACEAE","CYRILLACEAE","","5752","guyana"
"occ-7182539925879334612","taxon-71-CYRILLACEAE","CYRILLACEAE","Maguire, B., et al.","23106","guyana"
"occ-2002625754096943611","taxon-71-CYRILLACEAE","CYRILLACEAE","","32155","guyana"
"occ--6292237256185336385","taxon-71-CYRILLACEAE","CYRILLACEAE","","46025A","guyana"
"occ--6910042248165434722","taxon-71-CYRILLACEAE","CYRILLACEAE","McDowell, T., et al.","2831","guyana"
"occ--338850517468930110","taxon-71-CYRILLACEAE","CYRILLACEAE","","3045","guyana"
"occ-3321143916563141735","taxon-71-CYRILLACEAE","CYRILLACEAE","","4590","guyana"
"occ-3787922174288704779","taxon-71-CYRILLACEAE","CYRILLACEAE","","4789","guyana"
"occ--9196396660650767126","taxon-71-CYRILLACEAE","CYRILLACEAE","Mori, S., et al.","8044","guyana"
"occ--9062529612101126619","taxon-71-CYRILLACEAE","CYRILLACEAE","","8290","guyana"
"occ--6984767982695071480","taxon-71-CYRILLACEAE","CYRILLACEAE","Mutchnick, P., et al.","182","guyana"
