"referenceID","bibliographicCitation"
"ref-1883468550944738439","Anderberg, A.A. et al. 2002 Phylogenetic relationships in the order Ericales s.l.: analyses of molecular data from five genes from the plastid and mitochondrial genomes Amer. J. Bot. 89 677-687"
"ref-3648162934780603192","Miller, J.S. 1998 Cyrillaceae J.A. Steyermark et al. Flora of the Venezuelan Guayana 4 663-665"
"ref-4372283668951023830","Pennington, T.D. et al. 2004 Illustrated guide to the Trees of Peru Cyrillaceae pp. 452-453"
"ref--7253787559725468237","Ståhl, B. 1992 Cyrillaceae G. Harling & L. Andersson Flora of Ecuador 45 27-34"
"ref-2486501188532054863","Ståhl, B. 2004 Cyrillaceae N. Smith et al. Flowering plants of the Neotropics pp. 125-126"
"ref-470273677714142106","Thomas, J.L. 1960 A monographic study of the Cyrillaceae Contr. Gray Herb. 186 1-114"
"ref--2689454349108271831","Araujo, P.A. de M. & A. de Mattos Filho. 1974 Estutura das madeiras brasileiras de angispermas dicotiledôneas (VI). Cyrillaceae (Cyrilla antillana Michx.). Rodriguésia 27 53-60"
"ref--8541607772716467634","Détienne, P. & J. Jacquet. 1983 Atlas d’identification des bois de l’Amazonie et des régions voisines Centre Technique Forestier Tropical France 348 pp micrographs"
"ref--3864309697081377768","Heimsch, C. 1942 Comparative anatomy of the secondary xylem in the Gruinales and Terebinthales of Wettstein with reference to taxonomic grouping Lilloa 8 83-198"
"ref-7813568932642224532","IAWA Committee. 1989 The IAWA list of microscopic features for hardwood identification IAWA Bull. n.s. 10 219-332"
"ref-8343483499776782673","InsideWood 2004-onwards Published on the Internet http://insidewood/ lib.ncsu.edu/search"
"ref--1427615614503987399","Lens, F., S. Jansen, P. Caris, L. Serlet & E. Smets. 2005 Comparative wood anatomy of the primuloid clade (Ericales s.l.) Syst. Bot. 30 163-183"
"ref-1625296061331105039","Record, S.J. & R.W. Hess. 1936 Identification of woods with conspicuous rays Trop. Woods 48 1-30"
"ref--3978956435261177786","Record, S.J. & R.W. Hess. 1943 Timbers of the New World Yale University Press New Haven 640 pp"
"ref--9126263687721280467","Schneider, E.L. & S. Carlquist. 2003 Unusual pit membrane remnants in perforation plates of Cyrillaceae J. Torrey Bot. Soc. 130 225-230"
"ref--6114786635012575294","Thomas, J.L. 1960 A monographic study of the Cyrillaceae Contr. Gray Herb. 186 3-114"
"ref--8359646886706797621","Vliet, G.L.C.M. van 1976 Radial vessels in rays IAWA Bull. 3 35-37"
"ref--7553563736213066245","Källersjö, M. & B. Ståhl. 2003 Phylogeny of Theophrastaceae Int. J. Pl. Sci. 164 579-591"
"ref-2387142488681955831","Lindeman, J.C. 1979 Theophrastaceae A.L. Stoffers & J.C. Lindeman Flora of Suriname 5 1 367-369"
"ref--6625843146852095387","Miller, J.S. & B. Ståhl. 2005 Theophrastaceae J.A. Steyermark et al. Flora of the Venezuelan Guayana 9 325-329"
"ref-8483343322457939834","Ståhl, B. 1991 A revision of Clavija (Theophrastaceae) Opera Bot. 107 1-77"
"ref-9031338835028067046","Ståhl, B. 2002 Theophrastaceae S.A. Mori et al. Guide to The Vascular Plants of Central French Guiana. Part 2. Mem. New York Bot. Gard. 76 2 706-709"
"ref--8541607772716467634","Détienne, P. & J. Jacquet. 1983 Atlas d’identification des bois de l’Amazonie et des régions voisines Centre Technique Forestier Tropical France 348 pp micrographs"
"ref--3864309697081377768","Heimsch, C. 1942 Comparative anatomy of the secondary xylem in the Gruinales and Terebinthales of Wettstein with reference to taxonomic grouping Lilloa 8 83-198"
"ref-7813568932642224532","IAWA Committee. 1989 The IAWA list of microscopic features for hardwood identification IAWA Bull. n.s. 10 219-332"
"ref-8343483499776782673","InsideWood 2004-onwards Published on the Internet http://insidewood/ lib.ncsu.edu/search"
"ref--1427615614503987399","Lens, F., S. Jansen, P. Caris, L. Serlet & E. Smets. 2005 Comparative wood anatomy of the primuloid clade (Ericales s.l.) Syst. Bot. 30 163-183"
"ref-1625296061331105039","Record, S.J. & R.W. Hess. 1936 Identification of woods with conspicuous rays Trop. Woods 48 1-30"
"ref--3978956435261177786","Record, S.J. & R.W. Hess. 1943 Timbers of the New World Yale University Press New Haven 640 pp"
"ref--8359646886706797621","Vliet, G.L.C.M. van 1976 Radial vessels in rays IAWA Bull. 3 35-37"
