taxonID,description,type,language,rightsHolder,source,license
wfo-0000997542,"6–9. In Auenwäldern verwildert, kollin.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018107,"6–7. Wälder, Schluchten, kollin-montan(-subalpin). CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000450682,"5–6. Verlandungszonen an Teichen, Sümpfe, meist im Wasser stehend, kollin-subalpin. CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000883879,"8–10. Ufer, Maisfelder, kollin. M, JN u.a., in rascher Ausbreitung begriffen.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000691487,"7–10. Kultiviert und gelegentlich verwildert, z.T. in Weinbergen, an Mauern und Wegrändern eingebürgert, kollin. CH, zerstreut.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018158,"7–8. Feuchte Rasen, Schneetälchen, Bachufer, meist auf Silikat, (subalpin-)alpin. A.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018161,"6–7. Hochstaudenfluren, Bergwälder, felsige Hänge, montan-subalpin(-alpin). A, J, höhere Teile des M.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000450805,"7–9. Gräben, Bachufer, verwildert und z.T. eingebürgert, kollin-montan. M, J, GR, u.a.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000525183,"6–10. Ruderalstellen, Wegränder, Gärten, kollin. CH, als Zier-, Färbe- und Arzneipflanze in verschiedenen Sorten kultiviert und gelegentlich verwildert.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000101404,Zentrale und südliche Alpentäler.,ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000691676,"5–6. Steinige, warme Orte, Gebüsche, kollin-subalpin. A, JS, SH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000101451,"7–10. Lehmige Äcker, Schuttplätze, kollin-montan(-subalpin). CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000560824,"6–8. Wiesen, Weiden, Quell- und Flachmoore, (montan-)subalpin-alpin. A, M am Alpenrand, J (nördlich bis Chasseral).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000595075,"7–9. Steinige Rasen, Gratrücken, (subalpin-)alpin. A.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000488872,"5–9. Feuchte Weiden und Moore, (kollin-)montan(-subalpin). AN, M in Alpennähe, J (nördlich bis JU), vereinzelt VS und südliches TI.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000371898,"5–7. Wiesen, Hecken, Hochstaudenfluren, kollin-subalpin. ANW, BO, VS, südl. TI. In GR, M und J früher kultiviert und eingebürgert.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000595158,"4–7. Trockene, steinige Orte, Felsen, Trockenwiesen.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000451121,"7–10. Äcker, Ödland, Weinberge, kollin-montan. Genferseegebiet, VS, sonst vereinzelt.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018364,"4. Als Obstbaum kultiviert und gelegentlich verwildert, kollin-montan.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018380,"6–7. Gebüsche, Waldränder, Steinhaufen, kollin-montan. J, GE, vereinzelt VS, ZH, SG.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000488946,"5–7. Trockenwiesen, lichte Wälder, kollin-montan(-subalpin). TI, GR (Südtäler), VS.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000595223,"7–9. Dolomitschutt, subalpin(-alpin). TI (Val Colla).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000595260,"6–7. Stehende, schlammige Gewässer bis ca. 1,5 m Tiefe, kollin(-montan). CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001057690,"6–7. Trockene, buschige Orte, auf kalkhaltigen Böden, kollin(-montan). Südliches TI, adventiv AG.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000691852,"5–6. Auenwälder, Hecken, Moore, kollin-montan. CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000976561,"5–6. Feuchte Wiesen, lichte Wälder, trockene Weiden und Rasen, kollin-subalpin(-alpin). CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000595308,"4–5. Wegränder, Rasen, Mauerkronen, kollin. TI, GR (Misox), MZ (LU), JS (NE).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018473,"7–8. Kalkarme Rasen, Felsen, alpin. A (fehlt in den nördlichen Randketten).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000489108,"7–10. Schuttplätze, Hecken, kollin. Verwildert und z.T. eingebürgert.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000287784,"6–9. Kalkfelsen, Felsrasen, Kalkschutt, montan-subalpin. J (BE, SO).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000595373,"7–8. Schneetälchen, Lägerstellen, Quellfluren, kalkmeidend, alpin. A.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000489142,"7–10. Äcker, Schuttplätze, Gräben, kollin-montan(-subalpin). CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000976644,"6–7. Lichte Föhrenwälder, Kalkgeröll, Moorwiesen, (kollin-)montan-subalpin(-alpin). A, J, ME, MZ.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000595433,"5–7. Sümpfe, Gräben, aus Kultur verwildert und adventiv, kollin. VS, TI, GR, MZ, BO.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000628632,"7–9. Gebüsche, Auenwälder, kollin. GE, TI, sonst vereinzelt.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000451480,"5–10. Wechselfeuchte, offene Böden, Strassenpflaster, kollin. TI.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000561206,"7–9. Trockene Ruderalstellen, auch als Zierpflanze kultiviert, kollin.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001296633,"6–9. Äcker, Wegränder, Weinberge, kollin-montan(-subalpin). CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000595505,"4–6. Ufer, Gräben, zeitweise überschwemmte Böden, selten adventiv, kollin.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000102105,"7–10. Feuchte Wiesen, Ufer, Gräben, kollin-montan. Zerstreut JN, MZ, ME, ANE, VS, TI.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000595567,"4–8. Feuchte Wälder, Bachufer, kollin-subalpin. MW, J, sonstige Verbreitung wenig bekannt.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000595577,"4–10. Wiesen, Weiden, Lägerstellen, kollin-montan(-subalpin). CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000595603,"4–9. Äcker, Wegränder, Weinberge, kollin-subalpin. CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000595607,"4–5. Wegränder, Bahnareale, Brachland, kollin(-montan). VS, südliches TI, GR (Misox, Puschlav), M. Verbreitung ungenügend bekannt, da oft mit <i>C. pumilum</i> u.a. verwechselt.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000489398,"6–8. Wiesen, Weiden, Flachmoore, (montan-)subalpin-alpin. A, M in Alpennähe, JS (nördlich bis SO).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018633,"5–8. Rasen und Weiden, (montan-)subalpin-alpin. A. (Reculet-Kette).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001296657,"6–9. Auf <i>Thymus</i>, <i>Ericaceae</i>, <i>Fabaceae</i> u.a., kollin-montan(-subalpin). CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000000138,"6–7. Feuchte Wiesen und Weiden, Ufer, (kollin-)montan-subalpin. J (nördlich bis SO), ANE.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018677,"4–5. Trockenwarme Hügel, kollin(-montan). SH, TG, ZH, GR (Puschlav).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018725,"6. Wegränder, Mauern, kollin-montan(-subalpin). GR (besonders Engadin), VS, ANW, vereinzelt M und J.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000595756,"7–8. Felsschutt, Moränen, <b>auf Kalk</b>, (subalpin-)alpin. A (fehlt im TI).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000526081,"4–6. Gebüsche, Schuttplätze, kollin-montan. CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000751720,"7. Wiesen und Weiden, Hochstaudenfluren, Lägerstellen, montan-alpin. A, M in Alpennähe, J (nördlich bis JU und SO).",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000751755,"7. Bergwälder, Gebüsche, kollin-montan. Südlichstes TI.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000052161,"6–7. Trockenwiesen, Föhrenwälder, auf Kalk, kollin-subalpin. GR, ANZ, ANE, nördliches TI, SH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000489629,"5–7. Feuchte Wiesen, (kollin-)montan-subalpin. CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000595778,"4–5. Trockenrasen, Wegränder, kollin. Südliches TI, nur adventiv.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018785,"4–5. Trockenwarme Hügel, kollin-subalpin. VS, TI, GR, sonst zerstreut.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018786,"6–7. Lichtes Gebüsch, trockene Hänge, montan-subalpin. Unterengadin.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001296723,"6–9. Hecken, Waldschläge, Gärten, kollin-montan. CH.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000372740,"8–9. Gräben, Ufer, kollin. Südliches TI, VD, SG, GE.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000000404,"6–7. Flachmoorwiesen, kollin-montan. J, vereinzelt M und AN.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000629095,"6–9. Kultiviert, kollin.",ecology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
