taxonID,description,type,language,rightsHolder,source,license
wfo-0000997542,6–9. Forêts riveraines ; subspontané ; coll.,ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001018107,"6–7. Forêts, lisières, gorges ; coll.-mont.(-subalp.). CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000450682,"5–6. Marais, étangs, tourbières ; coll.-subalp. CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000883879,"8–10. Rives, champs de maïs ; coll. P, JN, TI et ailleurs. Naturalisé. En expansion.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000691487,"7–10. Cultivé et parfois subspontané, ou naturalisé, vignes, murs, chemins ; coll. CH, dispersé.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001018158,"7–8. Pelouses humides, combes à neige, bords des ruisseaux ; sols siliceux ; (subalp.-)alp. A.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001018161,"6–7. Mégaphorbiées, forêts de montagnes, rocailles ; mont.-subalp.(-alp.). A, J, P zones préalpines.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000450805,"7–9. Bords des ruisseaux, fossés ; subspontané et parfois naturalisé ; coll.-mont. P, J, GR, et ailleurs.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000525183,"6–10. Milieux rudéraux, chemins, jardins ; coll. CH, diverses variétés cultivées comme plante d'ornement, de coloration ou médicinale et parfois subspontané.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000101404,Vallées des Alpes centr. et mérid.,ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000691676,"5–6. Lieux pierreux, buissons ; coll.-subalp. A, JS, SH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000101451,"7–10. Champs argileux, décombres ; coll.-mont.(-subalp.). CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000560824,"6–8. Prairies, pâturages, groupements fontinaux, bas-marais ; (mont.-)subalp.-alp. A, P zones préalpines, J (jusqu'au Chasseral).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000595075,"7–9. Pelouses rocheuses, arêtes ; (subalp.-)alp. A.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000488872,"5–9. Pâturages humides, marécages ; (coll.-)mont.(-subalp.). AN, P zones préalpines, J (jusqu'au JU), dispersé VS et TI mérid.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000371898,"5–7. Clairières, buissons, chemins, mégaphorbiées ; coll.-subalp. ANW, OB, VS,TI mérid. Cultivé (autrefois) et subspontané en GR, P et J.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000595158,"4–7. Endroits secs, pierreux, rochers, pelouses sèches.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000451121,"7–10. Champs, lieux incultes, vignes ; coll.-mont. Région lémanique, VS, dispersé ailleurs.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001018364,"4. Cultivé, parfois subspontané ; coll.-mont.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001018380,"6–7. Buissons, lisières, amas de pierres ; coll.-mont. J, GE, dispersé VS, ZH, SG.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000488946,"5–7. Prairies sèches, forêts claires ; coll.-mont.(-subalp.). TI, GR (vallées méridionales), VS.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000595223,7–9. Eboulis dolomitiques ; subalp.(-alp.). TI (Val Colla).,ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000595260,"6–7. Marais, eaux tranquilles ; coll.(-mont.). CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001057690,"6–7. Broussailles, rocailles ; sols secs et calcaires ; coll.(-mont.). TI mérid., adventice AG.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000691852,"5–6. Aulnaies, haies, marais ; coll.-mont. CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000976561,"5–6. Prairies humides, forêts claires, bas-marais, pelouses ; coll.-subalp.(-alp.). CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000595308,"4–5. Chemins, pelouses, murs ; coll. TI, GR (Vallée de Mesocco), PC (LU), JS (NE).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001018473,"7–8. Rochers, pelouses ouvertes, pauvres en calcaire, situations exposées ; alp. A (manque dans les chaîne externes du nord des Alpes).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000489108,"7–10. Décombres, haies ; coll. Subspontané et en partie naturalisé.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000287784,"6–9. Rochers, éboulis, pelouses rocheuses ; sur calcaire ; mont.-subalp. J (BE, SO).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000595373,"7–8. Combes à neige, reposoirs, suintements ; calcifuge ; alp. A.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000489142,"7–10. Champs, décombres, fossés, rives ; coll.-mont.(-subalp.). CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000976644,"6–7. Forêts claires, pinèdes, prairies marécageuses, éboulis calcaires ; (coll.-)mont.-subalp.(-alp.). A, J, PE, PC.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000595433,"5–7. Marais, fossés ; subpontané ou adventice ; coll. VS, TI, GR, PC, OB.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000628632,"7–9. Buissons, forêts humides ; coll. GE, TI, GR (Val Mesocco), très dispersé ailleurs.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000451480,"5–10. Sols ouverts à humidité variable, rues pavées ; coll. TI.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000561206,"7–9. Milieux rudéraux secs, également cultivé comme plante d'ornement ; coll.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001296633,"6–9. Champs, chemins, vignes ; coll.-mont.(-subalp.). CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000595505,"4–6. Rives, fossés, sols temporairement inondés ; rarement adventice ; coll.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000102105,"7–10. Prairies humides, rives, fossés ; coll.-mont. Dispersé JN, PC, PE, ANE, VS, TI.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000595567,"4–8. Forêts humides, bord des ruisseaux ; coll.-subalp. PW, J, ailleurs distribution mal connue.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000595577,"4–10. Prairies, pâturages, reposoirs ; coll.-mont.(-subalp.). CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000595603,"4–9. Champs, vignes, chemins ; coll.-subalp. CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000595607,"4–5. Chemins, voies ferrées, jachères ; coll.(-mont.). VS, TI mérid., GR (Vallées de Mesocco et de Poschiavo), P. Distribution mal connue car souvent confondu avec <i>C. pumilum</i> et autres.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000489398,"6–8. Prairies, pâturages, pelouses, bas-marais, brousses d'arbustes nains ; (mont.-)subalp.-alp. A, P zones préalpines, JS (jusqu'à SO).",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001018633,5–8. Pelouses et pâturages ; (mont.-)subalp.-alp. A. (Chaîne du Reculet).,ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0001296657,"6–9. Sur <i>Thymus</i>, Ericacées, Fabacées et autres ; coll.-mont.(-subalp.). CH.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
wfo-0000000138,"6–7. Prairies et pâturages humides, rives ; (coll.-)mont.-subalp. J (jusqu'à SO), ANE.",ecology,fr,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08050-5,All Rights Reserved
