taxonID,description,type,language,rightsHolder,source,license
wfo-0000997542,"Bis 1,5 m hoher Strauch. <b>Blätter schmal-lanzettlich</b>, höchstens 8 cm lang, einfach gezähnt, meist sitzend, unterseits blaugrün und zerstreut behaart. <b>Blütenstände rispig-zylindrisch</b>, am Ende der Zweige. Blüten sehr zahlreich, <b>rosa</b>, mit 5 höchstens 5 mm langen Kronblättern und zahlreichen Staubblättern. Früchtchen 3–8, mehrsamig, am Grund vom trockenen Fruchtbecher umschlossen.",morphology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018107,"1–2 m hoch, <b>Blätter sehr gross, 2–3fach gefiedert</b>, eiförmig-zugespitzt, doppelt gezähnt, jung unterseits abstehend behaart, <b>ohne Nebenblätter. Blütenstand bis 50 cm lang</b>. Blüten sehr klein, zu Tausenden in rispig zusammengesetzten Ähren. <b>Zweihäusig</b>. Kronblätter der männlichen Blüten reinweiss, die der weiblichen kleiner, gelblich-weiss.",morphology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000450682,"15–30 cm hoch. Blätter und Blütenstände aus langer und dicker, im Schlamm kriechender Grundachse aufrecht. <b>Blätter 3zählig mit bis 10 cm langen verkehrt-eiförmigen, ganzrandigen oder wellig gezähnten Teilblättern</b>. Blütenstand traubig, 10–20blütig. <b>Krone weiss oder rötlich</b>, mit kurzer, trichterförmiger Röhre und 5 nach aussen gebogenen Zipfeln, <b>innen bärtig</b>, Durchmesser ca. 15 mm, Staubbeutel violett. Griffel fadenförmig, mit 2teiliger Narbe. Frucht kugelig, ca. 1 cm dick.",morphology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000883879,"Unterscheidet sich von <i>P. capillare</i> durch folgende Merkmale: <b>Blattscheiden kahl</b> (bei <i>P. capillare</i> Scheiden und oft auch die Spreiten abstehend behaart), <b>Rispenäste gebogen, die Ährchen längs der Äste verteilt</b> (bei <i>P. capillare</i> nur in der äusseren Hälfte der Äste), 2,5–3 mm lang und 1 mm breit, die untere Hüllspelze 1/4–1/3 so lang wie das Ährchen, fein hautrandig.",morphology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000450782,"Wie <i>M. guttatus</i>, aber Stängel und Blätter klebrig-zottig behaart. Blüten 1–2 cm lang, ohne Punkte, Schlund weit offen.",morphology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000691487,"80–200 cm hoch, kahl, bläulich bereift, aromatisch, <b>am Grund eine Zwiebel bildend</b>. Blätter 2–3fach gefiedert, <b>mit langen, fadenförmigen Zipfeln. Blattscheiden 2–2,5 cm lang</b>, kapuzenförmig ausgezogen. Dolden meist 10–25strahlig, ohne Hüllen und Hüllchen. Blüten klein, <b>gelb</b>. Frucht ± zylindrisch, 5–7 mm lang, mit breiten, stumpfen Rippen.",morphology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018158,"5–15 cm lang, niederliegend, <b>oft rot, an den Knoten wurzelnd und neue Rosetten bildend</b> (nur bei dieser Art und <i>A. pentaphylloides</i>), <b>kahl</b> oder sehr spärlich steifhaarig. <b>Blätter bis zum Grund 3–5(–7)teilig</b>, seitliche Abschnitte nochmals tief geteilt, alle Abschnitte mit schmalen Zipfeln. Blüten grünlich, klein, in mehrblütigen Knäueln.",morphology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0001018161,"0,5–2 m hoch. Blühende Zweige meist <b>ohne, untere Teile mit geraden Stacheln. Blätter an den Blütenzweigen 7–9zählig</b>, Teilblätter oval bis rundlich, meist doppelt gezähnt, unterseits heller. Blüte rosa bis dunkelrot, Durchmesser ca. 4 cm, Stiel 1–3 cm lang. <b>Kelchblätter ganzrandig</b>, nach dem Blühen aufgerichtet, <b>länger als die Krone</b>. Blätter, Blütenstiele und Kelch meist <b>mit Stieldrüsen</b>. Frucht schlank-eiförmig, rot, oben verengt, mit Stieldrüsen und Stachelborsten.",morphology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000450805,"30–70 cm hoch, unten kahl, im Blütenstand ± dicht  drüsig und drüsenlos behaart. Blätter rundlich bis länglich-eiförmig, untere gestielt, obere sitzend und umfassend, <b>gegenständig</b>. Blüten 1–3 cm lang gestielt, einzeln in den oberen Blattwinkeln. <b>Krone weit trichterförmig-zweilippig, 3–5 cm lang, gelb, mit oft braunrot gepunktetem, ± geschlossenem Schlund</b>.",morphology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
wfo-0000450811,"Wie <i>M. guttatus</i>, aber ± kahl oder mit winzigen Drüsen, Fruchtstiele bis 7 cm lang. Kronzipfel mit grossen roten Flecken, Schlund offen. Auch Hybriden!",morphology,de,"Haupt Verlag, Bern, Switzerland",ISBN-978-3-258-08047-5,All Rights Reserved
