taxonID,vernacularName,language,countryCode,rightsHolder,license
wfo-0000997542,Weidenblättriger Spierstrauch,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018107,Wald-Geissbart,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000450682,Fieberklee,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000883879,Reisfeld-Hirse,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000450782,Moschus-Gauklerblume,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000691487,Fenchel,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018158,Schneetälchen-Frauenmantel,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018161,Alpen-Hagrose,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000450805,Gefleckte Gauklerblume,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000450811,Gelbe Gauklerblume,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000594910,Südlicher Rohrkolben,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000525183,Garten-Stockrose,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000371697,Missgestaltetes Zypergras,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000101404,Breitschuppige Nickende Distel,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000691676,Armblütige Gänsekresse,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000101451,Gewöhnliche Acker-Gänsedistel,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000560824,Alpenhelm,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595075,Alpen-Hornkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000488872,Quendelblättrige Kreuzblume,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000371898,Süssdolde,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595158,Acker-Hornkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000451121,Feld-Löwenmaul,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018364,Pflaumenbaum,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018380,Raublättrige Rose,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000488946,Südalpen-Kreuzblume,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595223,Südalpines Hornkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595260,Breitblättriger Rohrkolben,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001057690,Krautiger Backenklee,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000691852,Faulbaum,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000976561,Langspornige Handwurz,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595299,Kleinblütiges Hornkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595308,Tenores Kleinblütiges Hornkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018473,Gletscher-Fingerkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000489108,Vielähriger Knöterich,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000287784,Felsen-Waldmeister,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595373,Dreigriffliges Hornkraut,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000489142,Pfirsichblättriger Knöterich,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000976644,Wohlriechende Handwurz,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595433,Laxmanns Rohrkolben,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000628632,Taubenkropf,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000489194,Vagabund-Vogelknöterich,de,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
