taxonID,vernacularName,language,countryCode,rightsHolder,license
wfo-0000997542,Spirée à feuilles de saule,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018107,Reine des bois,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000450682,Trèfle d'eau,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000883879,Millet des rizières,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000450782,Mimule musqué,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000691487,Fenouil commun,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018158,Alchémille à cinq folioles,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018161,Rosier des Alpes,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000450805,Mimule ponctué,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000450811,Mimule jaune,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000594910,Massette australe,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000525183,Rose trémière,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000371697,Souchet difforme,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000101404,Chardon à larges bractées,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000691676,Fourréa des Alpes,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000101451,Laiteron des champs,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000560824,Bartsie des Alpes,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595075,Céraiste des Alpes,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000488872,Polygale à feuilles de serpolet,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000371898,Cerfeuil musqué,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595158,Céraiste des champs,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000451121,Muflier des champs,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018364,Prunier à greffer,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018380,Rosier de Jundzill,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000488946,Polygale du Piémont,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595223,Céraiste des Alpes méridionales,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595260,Massette à larges feuilles,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001057690,Dorycnium herbacé,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000691852,Bourdaine,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000976561,Orchis moucheron,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595299,Céraiste à pétales courts,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595308,Céraiste de Tenore,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018473,Potentille des régions froides,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000489108,Renouée à épis nombreux,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000287784,Aspérule de Neilreich,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595373,Céraiste à trois styles,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000489142,Renouée persicaire,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000976644,Gymnadénie odorante,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595433,Massette de Laxmann,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000628632,Cucubale à baies,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000489194,Renouée des champs,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000451480,Mazus nain,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000561206,Bassie à balais,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001296633,Liseron des champs,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595505,Céraiste douteux,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000102105,Laiteron des marécages,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595550,Céraiste commun,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595567,Céraiste des bois,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595577,Céraiste commun,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000884488,Millet de Hillman,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595603,Céraiste aggloméré,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595607,Céraiste glutineux,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000489398,Renouée vivipare,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018633,Benoîte des montagnes,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001296657,Cuscute du thym,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000000138,Crépide tendre,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018677,Potentille à sept folioles,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018725,Potentille de Thuringe,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595756,Céraiste à larges feuilles,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000526081,Alliaire officinale,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000751720,Vératre commun,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000751755,Vératre noir,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000052161,Liondent blanchâtre,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000489629,Renouée bistorte,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595778,Céraiste de Ligurie,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018785,Petite potentille,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018786,Rosier rhétique,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001296723,Liseron des haies,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000372740,Souchet éragrostide,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000489656,Renouée des oiseaux,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000000404,Séneçon à feuilles en spatule,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000629095,"Courge, Potiron",fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000372823,Moloposperme du Péloponnèse,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000288466,Aspérule pourpre,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018841,Alchémille molle,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018842,Potentille caulescente,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018851,Rosier corymbifère,fr,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
