taxonID,vernacularName,language,countryCode,rightsHolder,license
wfo-0001018107,Barba-chaura da guaud,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000450682,Traifegl amar,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000691487,Finotg,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018158,Ruanaida da tschintg fegls,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018161,Rosa alpina,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000691676,Arabina glauca,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000560824,Bartschia alpina,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595075,Cornetta alpina,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000371898,Tscherfegl odurus,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018364,"Palogher, Plimber",rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595260,Channatscha lada,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000691852,Franguler,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000976561,Gimnadenia sparunada,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018473,Potentilla da glatscher,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595373,Cornetta cun trais stigmas,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000489142,Badalestg cun feglia da persic,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000976644,Gimnadenia odurusa,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000628632,"Cucubal a coclas, Erva a coclas",rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001296633,Curegia d'er,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595550,Cornetta cumina,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000595603,Cornetta glomerada,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0000489398,Badalestg vivipar,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018633,Ambretta da muntogna,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001296657,Saida da timian,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
wfo-0001018725,Potentilla turingiacca,rm,CH,"Haupt Verlag, Bern, Switzerland",All Rights Reserved
