wfo_ID,Familia,Column1,Nombre,Autor,Pub.,Hábito,Formaciones vegetales,Forma de vida,Link stand alone
wfo-0000646051,Acanthaceae,Dicliptera squarrosa Nees,Dicliptera squarrosa, Nees,"Fl. Bras. [Martius] 9: 161, 1847.",Sufrútice,"Bosques ribereños, Algarrobales, Matorrales mesófilos, Matorrales psamófilos, Pastizales xerófilos",Caméfita,https://florauruguaya.org/taxonomias/dicliptera-squarrosa
wfo-1200030165,Acanthaceae,Dyschoriste humilis (Nees) Lindau,Dyschoriste humilis, (Nees) Lindau,"Bot. Jahrb. Syst. 19(4): 15, 1894.",Hierba perenne,"Algarrobales, Matorrales xerófilos, Pastizales xerófilos",Caméfita,https://florauruguaya.org/taxonomias/dyschoriste-humilis
wfo-0000658315,Acanthaceae,Dyschoriste hygrophiloides (Nees) Kuntze,Dyschoriste hygrophiloides, (Nees) Kuntze,"Revis. Gen. Pl. 2: 486, 1891.",Hierba perenne,"Pastizales xerófilos, Pastizales mesófilos",,https://florauruguaya.org/taxonomias/dyschoriste-hygrophiloides
wfo-0000726781,Acanthaceae,Hygrophila costata Nees & T.Nees,Hygrophila costata, Nees & T.Nees,"Pl. Hort. Bonn. Icon. 7, t. 3, 1824.",Hierba perenne,"Bosques ribereños, Bosques higrófilos, Algarrobales, Palmares, Herbazales hidrófilos",Caméfita,https://florauruguaya.org/taxonomias/hygrophila-costata
wfo-0000726797,Acanthaceae,Hygrophila guianensis Nees,Hygrophila guianensis, Nees,"London J. Bot. 4: 634, 1845.",Hierba perenne,Bosques ribereños,,https://florauruguaya.org/taxonomias/hygrophila-guianensis
wfo-0001043972,Acanthaceae,Justicia axillaris (Nees) Lindau,Justicia axillaris, (Nees) Lindau,"Nat. Pflanzenfam. [Engler & Prantl] 4(3b): 350, 1895.",Hierba perenne,"Matorrales xerófilos, Pastizales xerófilos",,https://florauruguaya.org/taxonomias/justicia-axillaris
wfo-0000354192,Acanthaceae,Justicia brasiliana Roth,Justicia brasiliana, Roth,"Nov. Pl. Sp. 17, 1821.",Sufrútice,"Bosques de quebradas, Bosques ribereños",Caméfita,https://florauruguaya.org/taxonomias/justicia-brasiliana
wfo-0000354453,Acanthaceae,Justicia comata (L.) Lam.,Justicia comata, (L.) Lam.,"Encycl. [J. Lamarck & al.] 1(2): 632, 1785.",Hierba perenne,"Bosques ribereños, Herbazales hidrófilos",Caméfita,https://florauruguaya.org/taxonomias/justicia-comata
wfo-0000355947,Acanthaceae,Justicia laevilinguis (Nees) Lindau,Justicia laevilinguis, (Nees) Lindau,"Bot. Jahrb. Syst. 19(4): 20, 1894.",Hierba perenne,"Algarrobales, Pastizales higrófilos, Herbazales hidrófilos",Caméfita,https://florauruguaya.org/taxonomias/justicia-laevilinguis
wfo-0001044021,Acanthaceae,Justicia oblonga (Nees) Lindau,Justicia oblonga, (Nees) Lindau,"Nat. Pflanzenfam. [Engler & Prantl] 4(3b): 350, 1895.",Hierba perenne,Bosques ribereños,,https://florauruguaya.org/taxonomias/justicia-oblonga
