wfo_ID,Hábito,Familia,Nombre,Autor,Pub.,BibliographicCitation,url
wfo-0000834478,Hierba anual o bienal,Alismataceae,Helanthium tenellum, (Mart. ex Schult.f.) Britton,"Man. Fl. N. States [Britton], ed. 2. 54, 1905.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/helanthium-tenellum
wfo-0000528801,Hierba anual o bienal,Amaranthaceae,Alternanthera reineckii, Briq.,"Annuaire Conserv. Jard. Bot. Genève 3: 151, 1899.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/alternanthera-reineckii
wfo-0000530018,Hierba anual o bienal,Amaranthaceae,Amaranthus albus, L.,"Syst. Nat., ed. 10. 2: 1268, 1759.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-albus
wfo-0000530085,Hierba anual o bienal,Amaranthaceae,Amaranthus blitum, L.,"Sp. Pl. [Linnaeus] 2: 990, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-blitum
wfo-0000530163,Hierba anual o bienal,Amaranthaceae,Amaranthus crispus, (Lesp. & Thévenau) A.Braun ex S.Watson & J.M.Coult.,"Manual (Gray), ed. 6. 428, 1890.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-crispus
wfo-0000530251,Hierba anual o bienal,Amaranthaceae,Amaranthus hybridus, L.,"Sp. Pl. [Linnaeus] 2: 990, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-hybridus
wfo-0000530332,Hierba anual o bienal,Amaranthaceae,Amaranthus lombardoi, Hunz.,"Bol. Soc. Argent. Bot. 4: 141, fig. 4, 1951.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-lombardoi
wfo-0000530390,Hierba anual o bienal,Amaranthaceae,Amaranthus palmeri, S.Watson,"Proc. Amer. Acad. Arts 12: 274, 1877.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-palmeri
wfo-0000530447,Hierba anual o bienal,Amaranthaceae,Amaranthus retroflexus, L.,"Sp. Pl. [Linnaeus] 2: 991, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-retroflexus
wfo-0000530499,Hierba anual o bienal,Amaranthaceae,Amaranthus standleyanus, Parodi ex Covas,"Darwiniana 5: 339, 1941.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-standleyanus
wfo-0000530532,Hierba anual o bienal,Amaranthaceae,Amaranthus tuberculatus, (Moq.) J.D.Sauer,"Madroño 13: 18, 1955.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-tuberculatus
wfo-0000530552,Hierba anual o bienal,Amaranthaceae,Amaranthus viridis, L.,"Sp. Pl., ed. 2. 2: 1405, 1763.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaranthus-viridis
wfo-0000556421,Hierba anual o bienal,Amaranthaceae,Atriplex patula, L.,"Sp. Pl. [Linnaeus] 2: 1053, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/atriplex-patula
wfo-0000556490,Hierba anual o bienal,Amaranthaceae,Atriplex prostrata, Boucher ex DC.,"Fl. Franç. [de Candolle & Lamarck], ed. 3. 3: 387, 1805.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/atriplex-prostrata
wfo-0000561206,Hierba anual o bienal,Amaranthaceae,Bassia scoparia, (L.) A.J.Scott,"Feddes Repert. 89(2-3): 108, 1978.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/bassia-scoparia
wfo-0001440519,Hierba anual o bienal,Amaranthaceae,Chenopodiastrum murale," (L.) S.Fuentes, Uotila & Borsch","Willdenowia 42(1): 14, 2012.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/chenopodiastrum-murale
wfo-0000600897,Hierba anual o bienal,Amaranthaceae,Chenopodium album, L.,"Sp. Pl. [Linnaeus] 1: 219, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/chenopodium-album
wfo-0000601305,Hierba anual o bienal,Amaranthaceae,Chenopodium giganteum, D.Don,"Prodr. Fl. Nepal. 75, 1825.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/chenopodium-giganteum
wfo-0000601364,Hierba anual o bienal,Amaranthaceae,Chenopodium hircinum, Schrad.,"Index Seminum [Gottingen] 1833: 2, 1833.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/chenopodium-hircinum
wfo-1000085904,Hierba anual o bienal,Amaranthaceae,Oxybasis macrosperma," (Hook.f.) S.Fuentes, Uotila & Borsch","Willdenowia 42(1): 15, 2012.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/oxybasis-macrosperma
wfo-0000435928,Hierba anual o bienal,Amaranthaceae,Salsola kali, L.,"Sp. Pl. [Linnaeus] 1: 222, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/salsola-kali
wfo-0000224424,Hierba anual o bienal,Araceae,Lemna gibba, L.,"Sp. Pl. [Linnaeus] 2: 970, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/lemna-gibba
wfo-0000224445,Hierba anual o bienal,Araceae,Lemna minuta, Kunth,"Nov. Gen. Sp. [H.B.K.] 1: 372, 1815.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/lemna-minuta
wfo-0000224478,Hierba anual o bienal,Araceae,Lemna valdiviana, Phil.,"Linnaea 33: 239, 1864.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/lemna-valdiviana
wfo-0000568964,Hierba anual o bienal,Boraginaceae,Borago officinalis, L.,"Sp. Pl. [Linnaeus] 1: 137, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/borago-officinalis
wfo-0000574420,Hierba anual o bienal,Boraginaceae,Buglossoides arvensis, (L.) I.M.Johnst.,"J. Arnold Arbor. 35(1): 42, 1954.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/buglossoides-arvensis
wfo-0000662991,Hierba anual o bienal,Boraginaceae,Echium plantagineum, L.,"Mant. Pl. Altera 202, 1771.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/echium-plantagineum
wfo-0000579804,Hierba anual o bienal,Calceolariaceae,Calceolaria parviflora, Gillies ex Benth.,"Prodr. [A. P. de Candolle] 10: 207, 1846.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/calceolaria-parviflora
wfo-0000516592,Hierba anual o bienal,Calyceraceae,Acicarpha tribuloides, Juss.,"Ann. Mus. Natl. Hist. Nat. 2: 348, L. 58, 1803.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/acicarpha-tribuloides
