wfo_ID,Forma de vida,Familia,Column1,Nombre,Autor,Pub.,bibliogrpahicCitation,URL
wfo-0000666030,Hidrófita,Alismataceae,Hydrocleys nymphoides (Humb. & Bonpl. ex Willd.) Buchenau,Hydrocleys nymphoides, (Humb. & Bonpl. ex Willd.) Buchenau,"Abh. Naturwiss. Vereins Bremen 2: 2, 1871.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/hydrocleys-nymphoides
wfo-0000738022,Hidrófita,Alismataceae,Sagittaria montevidensis Cham. & Schltdl.,Sagittaria montevidensis, Cham. & Schltdl.,"Linnaea 2: 2, 156, 1827.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/sagittaria-montevidensis
wfo-0000273956,Hidrófita,Araceae,Pistia stratiotes L.,Pistia stratiotes, L.,"Sp. Pl. [Linnaeus] 2: 963, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/pistia-stratiotes
wfo-0000313522,Hidrófita,Araceae,Spirodela intermedia W.Koch,Spirodela intermedia, W.Koch,"Ber. Schweiz. Bot. Ges. 41(1): 114, 1932.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/spirodela-intermedia
wfo-0000334452,Hidrófita,Araceae,Wolffia brasiliensis Wedd.,Wolffia brasiliensis, Wedd.,"Ann. Sci. Nat., Bot. sér. 3, 12(3): 170, 1849.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/wolffia-brasiliensis
wfo-0000334454,Hidrófita,Araceae,Wolffia columbiana H.Karst.,Wolffia columbiana, H.Karst.,"Bot. Untersuch. (Berlin) 1: 103, 1867.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/wolffia-columbiana
wfo-0000334484,Hidrófita,Araceae,Wolffiella lingulata (Hegelm.) Hegelm.,Wolffiella lingulata, (Hegelm.) Hegelm.,"Bot. Jahrb. Syst. 21(3): 303, 1895.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/wolffiella-lingulata
wfo-0000334487,Hidrófita,Araceae,Wolffiella oblonga (Phil.) Hegelm.,Wolffiella oblonga, (Phil.) Hegelm.,"Bot. Jahrb. Syst. 21(3): 303, 1895.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/wolffiella-oblonga
wfo-0000726566,Hidrófita,Araliaceae,Hydrocotyle ranunculoides L.f.,Hydrocotyle ranunculoides, L.f.,"Suppl. Pl. 177, 1782.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/hydrocotyle-ranunculoides
wfo-0000705089,Hidrófita,Cabombaceae,Cabomba caroliniana A.Gray,Cabomba caroliniana, A.Gray,"Ann. Lyceum Nat. Hist. New York 4: 47, 1837.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/cabomba-caroliniana
