wfo_ID,Forma de vida,Familia,Nombre,Autor,Pub.,bibliogrpahicCitation,URL
wfo-0000756802,Geófita,Amaryllidaceae,Allium neapolitanum, Cirillo,"Pl. Rar. Neapol. 1: 13, 1788.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/allium-neapolitanum
wfo-0000757618,Geófita,Amaryllidaceae,Allium triquetrum, L.,"Sp. Pl. [Linnaeus] 1: 300, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/allium-triquetrum
wfo-0000757711,Geófita,Amaryllidaceae,Allium vineale, L.,"Sp. Pl. [Linnaeus] 1: 299, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/allium-vineale
wfo-0000759455,Geófita,Amaryllidaceae,Amaryllis belladonna, L.,"Sp. Pl. [Linnaeus] 1: 293, 1753.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/amaryllis-belladonna
wfo-0000764603,Geófita,Amaryllidaceae,Crinum moorei, Hook.f.,"Bot. Mag. 100: t. 6113, 1874.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/crinum-moorei
wfo-0000659388,Geófita,Amaryllidaceae,Hippeastrum angustifolium, Pax,"Bot. Jahrb. Syst. 11(3): 331, 1889.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/hippeastrum-angustifolium
wfo-0000661646,Geófita,Amaryllidaceae,Hippeastrum striatum, (Lam.) H.E.Moore,"Baileya 11: 16, 1963.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/hippeastrum-striatum
wfo-0000661874,Geófita,Amaryllidaceae,Hippeastrum vittatum, (L&#39;Hér.) Herb.,"Appendix [Herbert] 31, 1821.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/hippeastrum-vittatum
wfo-0000672323,Geófita,Amaryllidaceae,Ipheion recurvifolium, (C.H.Wright) Traub,"Pl. Life (Stanford) 9: 69, 1953.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/ipheion-recurvifolium
wfo-0000672385,Geófita,Amaryllidaceae,Ipheion tweedieanum, (Baker) Traub,"Pl. Life (Stanford) 5: 50, 1949.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/ipheion-tweedieanum
wfo-0001072921,Geófita,Amaryllidaceae,Ipheion uniflorum, (Graham) Raf.,"Fl. Tellur. 2: 12, 1837.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/ipheion-uniflorum
wfo-0000699293,Geófita,Amaryllidaceae,Nothoscordum arenarium, Herter,"Revista Sudamer. Bot. 2: 126, 1935.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/nothoscordum-arenarium
wfo-0000699261,Geófita,Amaryllidaceae,Nothoscordum bivalve, (L.) Britton,"Ill. Fl. N. U.S. (Britton & Brown) 1: 415, 1896.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/nothoscordum-bivalve
wfo-0000699636,Geófita,Amaryllidaceae,Nothoscordum bonariense, (Pers.) Beauverd,"Bull. Herb. Boissier sér. 2, 8: 1001, 1909.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/nothoscordum-bonariense
wfo-0000699893,Geófita,Amaryllidaceae,Nothoscordum dialystemon, (Guagl.) Crosa,"Darwiniana 19: 344, 1975.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/nothoscordum-dialystemon
wfo-0000700013,Geófita,Amaryllidaceae,Nothoscordum felipponei, Beauverd,"Bull. Soc. Bot. Genève ser. 2, 13: 7, 267, 1921.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/nothoscordum-felipponei
wfo-0000699749,Geófita,Amaryllidaceae,Nothoscordum gaudichaudianum, Kunth,"Enum. Pl. [Kunth] 4: 458, 1843.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/nothoscordum-gaudichaudianum
wfo-0000696872,Geófita,Amaryllidaceae,Nothoscordum gracile, (Aiton) Stearn,"Taxon 35(2): 338, 1986.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/nothoscordum-gracile
wfo-0001073307,Geófita,Amaryllidaceae,Nothoscordum hirtellum, (Kunth) Herter,"Index Sem. (Montevideo) 7: 12, 1927.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/nothoscordum-hirtellum
wfo-0000696598,Geófita,Amaryllidaceae,Nothoscordum macrostemon, Kunth,"Enum. Pl. [Kunth] 4: 463, 1843.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/nothoscordum-macrostemon
wfo-0000806185,Geófita,Amaryllidaceae,Nothoscordum marchesii, Crosa,"Hickenia 3(58): 253, 2005.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/nothoscordum-marchesii
