wfo_ID,Hábito,Familia,Nombre,Autor,Pub.,BibliographicCitation,url
wfo-0000662236,Suculenta globosa,Cactaceae,Echinopsis oxygona, (Link) Zucc. ex Pfeiff.,"Abbild. Beschr. Cact. 2(1): t. 4, 1845.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/echinopsis-oxygona
wfo-0000691715,Suculenta globosa,Cactaceae,Frailea castanea, Backeb.,"Kaktus-ABC [Backeb. & Knuth] 248, 415, 1936.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/frailea-castanea
wfo-0000691738,Suculenta globosa,Cactaceae,Frailea gracillima, (Lem.) Britton & Rose,"Cactaceae [Britton & Rose] 3: 209, 1922.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/frailea-gracillima
wfo-0000691763,Suculenta globosa,Cactaceae,Frailea perumbilicata, F.Ritter,"Succulenta (Netherlands) 49: 125, 1970.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/frailea-perumbilicata
wfo-0000691765,Suculenta globosa,Cactaceae,Frailea phaeodisca, (Speg.) Backeb. & F.M.Knuth,"Kaktus-ABC [Backeb. & Knuth] 250, 1936.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/frailea-phaeodisca
wfo-0000691773,Suculenta globosa,Cactaceae,Frailea pumila, Britton & Rose,"Cactaceae [Britton & Rose] 3: 209, 1922.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/frailea-pumila
wfo-0000691782,Suculenta globosa,Cactaceae,Frailea pygmaea, Britton & Rose,"Cactaceae [Britton & Rose] 3: 210, 1922.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/frailea-pygmaea
wfo-0000691803,Suculenta globosa,Cactaceae,Frailea schilinzkyana, (F.Haage & K.Schum.) Britton & Rose,"Cactaceae [Britton & Rose] 3: 210, 1922.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/frailea-schilinzkyana
wfo-0000712444,Suculenta globosa,Cactaceae,Gymnocalycium denudatum, (Link & Otto) Pfeiff. ex Mittler,"Taschenb. Cactuslieb. 2: 124, 1844.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/gymnocalycium-denudatum
wfo-0000712493,Suculenta globosa,Cactaceae,Gymnocalycium hyptiacanthum, Britton & Rose,"Cactaceae [Britton & Rose] 3: 156, 1922.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/gymnocalycium-hyptiacanthum
wfo-0000712674,Suculenta globosa,Cactaceae,Gymnocalycium schroederianum, Osten,"Anales Mus. Nac. Montevideo ser. 2, 5: 60, 1941.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/gymnocalycium-schroederianum
wfo-0001256004,Suculenta globosa,Cactaceae,Parodia allosiphon, (Marchesi) N.P.Taylor,"Bradleya 5: 93, 1987.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/parodia-allosiphon
wfo-0001256006,Suculenta globosa,Cactaceae,Parodia buiningii, (Buxb.) N.P.Taylor,"Bradleya 5: 93, 1987.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/parodia-buiningii
wfo-0001256011,Suculenta globosa,Cactaceae,Parodia concinna, (Monv.) N.P.Taylor,"Bradleya 5: 93, 1987.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/parodia-concinna
wfo-1000065055,Suculenta globosa,Cactaceae,Parodia erinaceus, (Haw.) N.P.Taylor,"Bradleya 5: 93, 1987.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/parodia-erinaceus
wfo-1000064778,Suculenta globosa,Cactaceae,Parodia gladiata, (V.Gapon & Ponomareva) M.H.J.van der Meer,"Cact. Phantast. 5: 93, 1987.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/parodia-gladiata
wfo-0001256027,Suculenta globosa,Cactaceae,Parodia herteri, (Wederm.) N.P.Taylor,"Bradleya 5: 93, 1987.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/parodia-herteri
wfo-0001252386,Suculenta globosa,Cactaceae,Parodia langsdorfii, (Lehm.) D.R.Hunt,"Cactaceae Consensus Init. 4: 6, 1997.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/parodia-langsdorfii
wfo-0001220117,Suculenta globosa,Cactaceae,Parodia linkii, (Lehm.) R.Kiesling,"Cact. Succ. J. (Los Angeles) 67(1): 22, 1995.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/parodia-linkii
wfo-0001433473,Suculenta globosa,Cactaceae,Parodia maldonadensis, (Herter) Hofacker,"Cact. Explor. 4: 32, 2012.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/parodia-maldonadensis
wfo-0001220110,Suculenta globosa,Cactaceae,Parodia mammulosa, (Lehm.) N.P.Taylor,"Bradleya 5: 93, 1987.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/parodia-mammulosa
wfo-0001256047,Suculenta globosa,Cactaceae,Parodia mueller-melchersii, (Backeb.) N.P.Taylor,"Bradleya 5: 93, 1987.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/parodia-mueller-melchersii
wfo-0000398244,Suculenta globosa,Cactaceae,Parodia nothorauschii, D.R.Hunt,"Cactaceae Consensus Init. 4: 6, 1997.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/parodia-nothorauschii
wfo-0001220115,Suculenta globosa,Cactaceae,Parodia ottonis, (Lehm.) N.P.Taylor,"Bradleya 5: 93, 1987.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/parodia-ottonis
wfo-0001256055,Suculenta globosa,Cactaceae,Parodia oxycostata, (Buining & Brederoo) Hofacker,"Cactaceae Consensus Init. 6: 12, 1998.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/parodia-oxycostata
wfo-1000065042,Suculenta globosa,Cactaceae,Parodia roseolutea," (Vliet) Hofacker, A.S.Oliveira & R.Pontes","Kakteen And. Sukk. 71(11): 344, 2020.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/parodia-roseolutea
wfo-1000064748,Suculenta globosa,Cactaceae,Parodia schlosseri," (Vliet) Hofacker, A.S.Oliveira & R.Pontes","Kakteen And. Sukk. 75(5): 155, 2024.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/parodia-schlosseri
wfo-0001256073,Suculenta globosa,Cactaceae,Parodia scopa, (Spreng.) N.P.Taylor,"Bradleya 5: 93, 1987.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/parodia-scopa
wfo-0001252392,Suculenta globosa,Cactaceae,Parodia tabularis, (J.F.Cels ex Rümpler) D.R.Hunt,"Cactaceae Consensus Init. 4: 6, 1997.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/parodia-tabularis
wfo-0001252394,Suculenta globosa,Cactaceae,Parodia tenuicylindrica, (F.Ritter) D.R.Hunt,"Cactaceae Consensus Init. 4: 6, 1997.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/parodia-tenuicylindrica
