wfo_ID,Hábito,Familia,Nombre,Autor,Pub.,BibliographicCitation,url
wfo-0001045288,Arbusto,Acanthaceae,Justicia tweedieana, (Nees) Griseb.,"Abh. Königl. Ges. Wiss. Göttingen 19: 225, 1874.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/justicia-tweedieana
wfo-0000398720,Arbusto,Acanthaceae,Poikilacanthus glandulosus, (Nees) Ariza,"Kurtziana 17: 159, 1984.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/poikilacanthus-glandulosus
wfo-0000737403,Arbusto,Acanthaceae,Ruellia angustiflora, (Nees) Lindau ex Rambo,"Iheringia, Bot. 12: 23, 1964.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/ruellia-angustiflora
wfo-0001246071,Arbusto,Anacardiaceae,Schinus engleri, F.A.Barkley,"Brittonia 5: 178, 1944.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/schinus-engleri
wfo-0001049805,Arbusto,Anacardiaceae,Schinus ferox, Hassl.,"Repert. Spec. Nov. Regni Veg. 12: 373, 1913.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/schinus-ferox
wfo-0000435149,Arbusto,Anacardiaceae,Schinus sinuata, (Griseb.) Engl.,"Bot. Jahrb. Syst. 1(4): 423, 1881.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/schinus-sinuata
wfo-0000506346,Arbusto,Annonaceae,Annona maritima, (Záchia) H.Rainer,"Ann. Naturhist. Mus. Wien, B 108: 196, 2007.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/annona-maritima
wfo-0000729384,Arbusto,Aquifoliaceae,Ilex dumosa, Reissek,"Fl. Bras. [Martius] 11(1): 64, 1861.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/ilex-dumosa
wfo-0000563422,Arbusto,Berberidaceae,Berberis laurina, Thunb.,"Pl. Bras. 1: 8, 1817.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/berberis-laurina
wfo-0000563791,Arbusto,Berberidaceae,Berberis ruscifolia, Lam.,"Encycl. [J. Lamarck & al.] 8: 619, 1808.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/berberis-ruscifolia
