wfo_ID,Hábito,Familia,Nombre,Autor,Pub.,BibliographicCitation,url
wfo-0000646051,Sufrútice,Acanthaceae,Dicliptera squarrosa, Nees,"Fl. Bras. [Martius] 9: 161, 1847.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/dicliptera-squarrosa
wfo-0000354192,Sufrútice,Acanthaceae,Justicia brasiliana, Roth,"Nov. Pl. Sp. 17, 1821.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/justicia-brasiliana
wfo-0000361350,Sufrútice,Aizoaceae,Lampranthus multiradiatus, (Jacq.) N.E.Br.,"Gard. Chron. 3(87): 71, 1830.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/lampranthus-multiradiatus
wfo-0000705978,Sufrútice,Amaranthaceae,Gomphrena elegans, Mart.,"Nov. Gen. Sp. Pl. [Martius] 2(1): 17, t. 119, 1826.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/gomphrena-elegans
wfo-1000085903,Sufrútice,Amaranthaceae,Holmbergia tweediei, (Moq.) Speg.,"Physis [Buenos Aires] 2: 178, 1916.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/holmbergia-tweediei
wfo-0001049834,Sufrútice,Anacardiaceae,Schinus weinmanniifolia, Mart. ex Engl.,"Fl. Bras. [Martius] 12(2): 385, 1876.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/schinus-weinmanniifolia
wfo-1000026529,Sufrútice,Apocynaceae,Cristobalia australis, (Malme) H.A.Keller & Liede,"Fl. Vasc. Argent. 19(2): 44, 2021.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/cristobalia-australis
wfo-1000026530,Sufrútice,Apocynaceae,Cristobalia hispida, (Hook. & Arn.) H.A.Keller & Liede,"Fl. Vasc. Argent. 19(2): 46, 2021.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/cristobalia-hispida
wfo-0000705657,Sufrútice,Apocynaceae,Gomphocarpus fruticosus, (L.) Aiton,"Hort. Kew., ed. 2 [W.T. Aiton] 2: 80, 1811.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/gomphocarpus-fruticosus
wfo-0000705729,Sufrútice,Apocynaceae,Gomphocarpus physocarpus, E.Mey.,"Comm. Pl. Afr. Austr. (Meyer) 202, 1838.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/gomphocarpus-physocarpus
wfo-1000023925,Sufrútice,Apocynaceae,Oxypetalum brussae, H.A.Keller & Andrés González,"Darwiniana 8(1): 319, 2020.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/oxypetalum-brussae
wfo-0000384964,Sufrútice,Apocynaceae,Oxypetalum capitatum, Mart.,"Nov. Gen. Sp. Pl. [Martius] 1(3): 50, 1824.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/oxypetalum-capitatum
wfo-0001102285,Sufrútice,Apocynaceae,Oxypetalum coeruleum, (D.Don ex Sweet) Decne.,"Prodr. [A. P. de Candolle] 8: 585, 1844.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/oxypetalum-coeruleum
wfo-0000384985,Sufrútice,Apocynaceae,Oxypetalum crispum, Wight ex Hook. & Arn.,"J. Bot. [Hooker] 1: 288, 1834.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/oxypetalum-crispum
wfo-1000006101,Sufrútice,Apocynaceae,Oxypetalum marchesii, C.Ezcurra & Andrés González,"Syst. Bot. 43(3): 814, 2018.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/oxypetalum-marchesii
wfo-0001102293,Sufrútice,Apocynaceae,Oxypetalum microphyllum, Hook. & Arn.,"J. Bot. [Hooker] 1: 289, 1834.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/oxypetalum-microphyllum
wfo-0000385068,Sufrútice,Apocynaceae,Oxypetalum muticum, E.Fourn.,"Fl. Bras. [Martius] 6(4): 277, 1885.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/oxypetalum-muticum
wfo-0001341872,Sufrútice,Apocynaceae,Oxypetalum nigricans, (Decne.) Liede & Meve,"Phytotaxa 202(1): 39, 2015.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/oxypetalum-nigricans
wfo-1000040988,Sufrútice,Boraginaceae,Antiphytum berroi, (Arechav.) N.Mend. & Flores Olv.,"Novon 30: 85, 2022.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/antiphytum-berroi
