taxonID,description,type,rightsHolder,source,license,rights
wfo-0000155440,Probablement Préoccupation mineure (LC) ; connu de plus de 50 localités.,conservation,Meise Botanic Garden,FAC-0000155440,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000155444,Probablement Préoccupation mineure (LC) ; connu de plus de 20 localités.,conservation,Meise Botanic Garden,FAC-0000155444,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000155447,Probablement Quasi Menacé (NT) ; connu de 13 localités dont certaines ne sont pas ou mal protégées.,conservation,Meise Botanic Garden,FAC-0000155447,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000156560,Probablement Préoccupation mineure (LC) ; connu de plus de 15 localités.,conservation,Meise Botanic Garden,FAC-0000156560,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000156701,Probablement Préoccupation mineure (LC) ; connu de plus de 15 localités.,conservation,Meise Botanic Garden,FAC-0000156701,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000156811,"Probablement En Danger (EN) ; connu de 5 localités, dont certaines ne sont pas protégées.",conservation,Meise Botanic Garden,FAC-0000156811,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000156834,"Probablement Vulnérable (VU) ; connu de 8 localités, dont certaines ne sont pas protégées.",conservation,Meise Botanic Garden,FAC-0000156834,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000156965,"Probablement Préoccupation mineure (LC), connu de plus de 15 localités.",conservation,Meise Botanic Garden,FAC-0000156965,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000157070,"Probablement Vulnérable (VU) ; connu de 10 localités, dont certaines ne sont pas protégées.",conservation,Meise Botanic Garden,FAC-0000157070,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000157130,Probablement Préoccupation mineure (LC) ; connu de plus de 100 localités.,conservation,Meise Botanic Garden,FAC-0000157130,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000157623,"Probablement Quasi Menacé (NT) ; connu de 11 localités, dont certaines ne sont pas protégées.",conservation,Meise Botanic Garden,FAC-0000157623,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
