taxonID,description,type,rightsHolder,source,license,rights
wfo-0000667406,"Angola (rive gauche du Kwango), Uganda (au Sud-Est du Ruwenzori)",distribution,Meise Botanic Garden,FAC-513,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000667454,"Soudan (Bahr-el-Ghazal), Haut-Chari, existerait aussi dans le Nord-Ouest de l'Uganda",distribution,Meise Botanic Garden,FAC-513,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000486886,Territoire du Tanganyika en peuplements presque purs dans la région d'Usambara à partir de ± 1500 m d'altitude.,distribution,Meise Botanic Garden,FAC-602,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000485151,Régions montagneuses du Cameroun (monts Bambuttu) du Soudan anglo-égyptien méridional (monts Imatong) et de l'Afrique tropicale centrale et orientale s'étendant vers le Sud jusqu'au Nyasaland et la Rhodésie méridionale,distribution,Meise Botanic Garden,FAC-602,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000355729,Afrique tropicale orientale: régions montagneuses depuis l'Érythrée au Nord jusqu'au Nord-Ouest du Nyasaland au Sud,distribution,Meise Botanic Garden,FAC-511,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000795564,Élément congolais répandu depuis le Cameroun et le Haut-Oubangui jusque dans l'Angola au Sud.,distribution,Meise Botanic Garden,FAC-530,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000487600,De la Guinée française à l'Angola et du Haut-Nil au Territoire du Tanganyika; pantropical originaire d'Amérique,distribution,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000478760,"Cameroun, Fernando Po, S. Thomé, sur plusieurs montagnes de l'Afrique tropicale orientale et de la Rhodésie au Cap",distribution,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000479019,De la Guinée française à l'Uganda et à l'Angola,distribution,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000477834,"Régions élevées de la Guinée française et du Cameroun, S. Thomé, pays des Gallas; îles Socotra, Maurice, Comores; Madagascar; pantropical d'origine américaine",distribution,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
