taxonID,description,type,rightsHolder,source,license,rights
wfo-0000667406,"Au Kwango, le long des rives et dans les galeries forestières, croissant souvent en groupes ou colonies assez denses sur les grès rouges; sur les falaises abruptes à grès nu, le tronc reste court et droit; sur grès humifère des galeries forestières, le tronc s'allonge fortement et devient serpentueux.",habitat,Meise Botanic Garden,FAC-513,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0001301573,"Espèce savanicole, croissant uniquement sur sol sablonneux, isolé ou Par groupes de quelques pieds et résistant aux feux de brousse. Les: pieds ♂ paraissent être les plus nombreux. Les graines seraient disséminées par les éléphants.",habitat,Meise Botanic Garden,FAC-513,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000667454,"Dans la savane sèche arbustive, paraissant tropophile et résistant aux feux de brousse annuels.",habitat,Meise Botanic Garden,FAC-513,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000486886,"Essence orophile et assez rare, localisée dans les forêts de montagne ombrophiles entre 1900 et 2500 m d'altitude; semble être la plus grande des espèces africaines du genre.",habitat,Meise Botanic Garden,FAC-602,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000485151,"Essence orophile assez commune, habitant les forêts de montagne et l'étage subalpin, depuis 1900 m d'altitude jusqu'à la limite de la végétation arborescente. Vers 3200-3500 m d'altitude, son port devient celui d'un petit arbre rabougri ou d'un arbuste éricoïde.",habitat,Meise Botanic Garden,FAC-602,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000355729,"Essence orophile des forêts ombrophiles de montagne et de entre 2200 m et 3300 m d'altitude, atteignant son développement complet dans la zone altitudinale de 1000-1200 mm de pluie annuelle. Dans la station de savanes, où elle a été trouvée au Congo belge, elle semble se comporter comme un petit arbre xérophytique en voie de disparition, bien que sa régénération naturelle y soit encore active.",habitat,Meise Botanic Garden,FAC-511,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000795564,"Liane sciaphile habitant les forêts ombrophiles équatoriales, les galeries et les jachères forestières.",habitat,Meise Botanic Garden,FAC-530,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000487600,Galeries forestières; jachères et friches; crevasses des sols rocheux riches en terreau.,habitat,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000478760,"Plante très commune dans les sous-bois des forêts en galerie et dans les anciens défrichements de montagne, entre 1100 et 2500 m d'altitude.",habitat,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000479019,"Plante commune dans les forêts marécageuses primaires et secondaires ainsi que dans les galeries forestières, jusqu'à 1650 m d'altitude.",habitat,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000477834,"Épiphyte, dans les forêts de montagne et les galeries forestières.",habitat,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000477971,"Espèce fréquente dans les endroits frais et ombragés; épiphyte et parfois très commune, comme mauvaise herbe, dans les cultures.",habitat,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0001093492,"Humicoles sur roches et sol ombragé dans les savanes, galeries forestières, bosquets un peu xérophiles, entre 650 et 2200 m d'altitude.",habitat,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000478240,Épiphyte dans les fourches des arbres des forêts humides ou saxicole sur roches humides.,habitat,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0001094033,"Épiphyte ou terrestre, dans les forêts de montagne entre 1800 et 2750 m d'altitude.",habitat,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000478073,Épiphyte dans les forêts ombrophiles ou saxicoles sur les berges rocheuses.,habitat,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000482500,"Terrestre ou épiphyte; forêts ombrophiles, galeries forestières et forêts de montagne jusqu'à 2700 m d'altitude.",habitat,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000741680,Épiphyte ou terrestre dans la forêt et les galeries forestières.,habitat,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000478498,Épiphyte endémique dans la forêt à Macrolobium Dewevrei De Wild.,habitat,Meise Botanic Garden,FAC-599,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0001316149,Fleurit dans les savanes vers la mi-juin.,habitat,Meise Botanic Garden,FAC-538,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000447287,Espèce se rencontrant entre 1400 et 3000 m d'altitude.,habitat,Meise Botanic Garden,FAC-571,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0001085135,"Espèce héliophile des laves, cendrées volcaniques, formations sclérophyllles, steppes ± arbustives, endroits ensoleillés en forêt de montagne, jusqu'à 2900 m d'altitude.",habitat,Meise Botanic Garden,FAC-571,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0001248951,Espèce de l'étage subalpin: dans les formations frutescentes sclérophylles et I'Ericetum entre 2380 et 3300 m d'altitude.,habitat,Meise Botanic Garden,FAC-571,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000724297,"Élément plutôt mésophytique des forêts de transition, croissant souvent au bord des rivières.",habitat,Meise Botanic Garden,FAC-638,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000593507,Élément secondaire des forêts du pourtour septentrional de la cuvette centrale.,habitat,Meise Botanic Garden,FAC-638,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000593583,"Élément secondaire (assez rare ?) des forêts de montagne (hygrophile, mésophile et même sclérophylle) de l'Est de la Colonie, à feuilles caduques (au moins dans les régions à saisons sèches), et fleurissant alors au moment de la feuillaison.",habitat,Meise Botanic Garden,FAC-638,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000593695,"Espèce plutôt mésophile, très répandue surtout à la périphérie de la cuvette centrale, croissant en pleine forêt, en sous-bois dans les forêts à Cynometra, et surtout en galeries ou lambeaux forestiers.",habitat,Meise Botanic Garden,FAC-638,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000593820,Élément secondaire des forêts et surtout des galeries et lambeaux forestiers du pourtour de la cuvette congolaise.,habitat,Meise Botanic Garden,FAC-638,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-0000593631,"Élément important de la forêt primitive de la cuvette, surtout dans ses parties sèches (à Scorodophloeus Zenkeri Harms) et des régions limitrophes.",habitat,Meise Botanic Garden,FAC-638,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
