taxonID,description,type,rightsHolder,source,license,rights
wfo-7000000166,"Plantes ligneuses , dioïques, à port de palmier, à racines tubéreuses et munies de nodosités; tronc généralement simple, épais, écailleux ou non, surmonté d'une couronne de grandes feuilles spiralées, pennées ou parfois bipennées, à moelle abondante et canaux gommifères.'Strobiles'grands, à sporophylles spiralés et nus.'Écailles staminales'portant sur leur face inférieure de nombreux sacs polliniques groupés par 2-6; anthérozoïdes ciliés.'Écailles ovulifères'généralement peltées et portant à leur base interne 2 ovules, parfois pennées et à 4-10 ovules latéraux; ovules orthotropes et unitégumentés.'Graines drupacées (fausses drupes), à enveloppe externe charnue et à noyau dur, à endosperme abondant et amylacé et à embryon droit.\n\t\t\tActuellement 9 genres et 65 espèces dans les régions tropicales et subtropicales; famille mieux représentée autrefois, du Carbonifère supérieur au Jurassique inférieur. Plusieurs espèces sont ornementales; certains'Cycas'et'Encephalartos donnent du Sagou (moelle de la tige).",morphology,Meise Botanic Garden,FAC-513,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-4000013360,"Tronc'hypogé ou épigé, globuleux à cylindrique, généralement couvert d'écailles coriaces imbriquées et spiralées, à racine pivotante et profonde; feuilles pennées, à nombreuses folioles entières, coriaces, parallélinerves et généralement spinescentes sur les bords.'Écailles'staminales et ovulifères tronquées et peltées, multisériées et imbriquées, en grands strobiles terminaux ou subterminaux; écailles ovulifères à 2 ovules pendants.'Graines grosses, rougeâtres ou brunâtres à maturité.\n\t\t\t\tEnviron 15 espèces en Afrique tropicale et australe.",morphology,Meise Botanic Garden,FAC-513,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-7000000484,"Plantes ligneuses , généralement dioïques, ramifiées, à canaux résinifères; feuilles spiralées, simples écailleuses ou linéaires à lancéolées.'Strobiles'petits et parfois réduits, à sporophylles généralement spiralés et nus.'Écailles staminales'à 2 sacs polliniques sur la face inférieure; grains de pollen ailés et à vésicules latérales.'Écailles ovulifères'à 1 ovule généralement exsert, unitégumenté et entouré ou non d'un épimatium (faux arille).'Graines à testa crustacé ou lignifié, entouré ou non d'un épimatium coriace ou charnu.\n\t\t\tSept genres et 100 espèces sur les montagnes des régions tropicales et dans les régions subtropicales australes.",morphology,Meise Botanic Garden,FAC-602,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-4000030481,"Arbres'ou arbustes, dioïques, très rarement monoïques, à feuilles alternes et spiralées, généralement uninerves.'Strobiles'♂ spiciformes, solitaires ou groupés par 2-3 à l'aisselle des feuilles, subsessiles et munis à la base de quelques bractées stériles; écailles staminales spiralées et imbriquées.'Strobiles'♀ axillaires, très réduits, à quelques écailles stériles, caduques ou persistantes et à 1-2 écailles fertiles au sommet, portant latéralement 1 ovule anatrope longuement exsert et entouré complètement d'un épimatium soudé au tégument.'Graines ± charnues (faux arille), pédonculées, à pédoncule nu ou pourvues d'un réceptacle charnu provenant des écailles stériles persistantes.\n\t\t\t\tGenre de l'hémisphère austral, renfermant 70 espèces et représenté uniquement dans les régions orientales montagneuses de la Colonie, par 2 espèces à caractères végétatifs très variables : formes juvéniles, formes adultes et formes adultes-éricoïdes (Robyns, 1. c).",morphology,Meise Botanic Garden,FAC-602,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-7000000163,"Plantes ligneuses, dioïques ou monoïques, ramifiées, sans canaux résinifères sauf dans l'écorce.'Feuilles'opposées-décussées ou verticillées par 3, souvent hétéromorphes : feuilles juvéniles aciculaires-subulées, feuilles adultes généralement écailleuses et apprimées.'Strobiles petits, terminaux ou latéraux, à sporophylles opposés ou verticillés et nus. Écailles staminales à 2-5 sacs polliniques sur la face inférieure; grains de pollen non ailés. Écailles ovulifères à 1-plusieurs ovules, orthotropes et unitégumentés. Cônes murs ligneux ou charnus, généralement à plusieurs graines à spermoderme dur.\n\t\t\tSeize genres et environ 130 espèces, répandues dans les régions tempérées et subtropicales surtout de l'hémisphère boréal; quelques espèces dans les montagnes de la zone tropicale.\n\t\t\tParmi les Conifères introduits au Congo belge1, signalons spécialement le genre'Cupressus'L. dans les régions orientales montagneuses.'C. lusitanica Mill., sous formes diverses (hybrides) est le plus communément cultivé. Peu exigeant au point de vue des qualités du sol et des conditions du climat, il constitue des boisements parfois très étendus; c'est actuellement celui qui est multiplié avec le plus de chances de succès.",morphology,Meise Botanic Garden,FAC-511,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-4000019723,"Arbustes'à arbres toujours verts, à feuilles opposées ou verticillées par 3.'Feuilles'jeunes aciculaires et étalées; feuilles adultes aciculaires ou squamiformes, ± imbriquées, décurrentes et munies d'une glande sur le dos.'Strobiles'♂ solitaires, latéraux ou terminaux.'Strobiles'♀ solitaires et terminaux à 1-2 écailles portant chacune 1-2 ovules.'Cônes mûrs bacciformes, à graines libres dans la pulpe.\n\t\t\t\tGenre groupant ± 60 espèces, la plupart dans l'hémisphère boréal, quelques-unes s'étendant jusque dans les régions tropicales et jusqu'au Nyasaland en Afrique tropicale.",morphology,Meise Botanic Garden,FAC-511,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-7000000252,"Lianes'ligneuses, plus rarement arbustes ou arbres, dioïques, ramifiés et sans canaux résinifères.'Feuilles'opposées, à limbe large et réticulinerve.'Strobiles'spiciformes, à sporophylles verticillés, entremêlés de poils pluricellulaires et entourés de bractées fonctionnant comme une enveloppe.'Sporophylles'♂ formés d'une colonne portant 1-2 anthères et à enveloppe tubulaire; grains de pollen sphériques.'Sporophylles'♀ à enveloppe cupulaire; ovule 1, sessile, à tégument tubulaire dépassant l'enveloppe et entouré en outre d'un arille.'Graines drupacées entourées de la cupule persistante différenciée en une couche externe charnue et une couche interne dure, à endosperme abondant et amylacé.\n\t\t\tUn seul genre :'Gnetum , groupant 30 espèces dans les régions tropicales.",morphology,Meise Botanic Garden,FAC-530,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-4000015888,Caractères de la famille. Les espèces africaines sont des lianes à tiges souvent renflées aux nœuds.\n\t\t\t\tEnviron 30 espèces dans les régions tropicales dont 2 en Afrique tropicale.,morphology,Meise Botanic Garden,FAC-530,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-7000000118,"Arbres'ou arbustes, à port d' Equisetum , monoïques ou dioïques, à rameaux de dernier ordre portant à leur extrémité des ramules grêles et caducs, rigides, dressés ou pendants, articulés aux nœuds, cylindriques et verticillés, ou tétragones et épars.'Feuilles'réduites à de petites écailles verticillées par 4 ou plus à chaque nœud, parfois réunies en une gaine et à nervure médiane décurrente et formant les angles du rameau.'Inflorescences'♂ en épis simples ou composés, généralement terminales sur des rameaux caducs.'Fleurs'munies de 1-4 bractéoles cohérentes au-dessus de l'étamine unique infléchie dans le bouton et à filet accrescent; anthère 2-loculaire à déhiscence longitudinale.'Inflorescences'♀ en capitules sphériques à ovoïdes, terminales ou latérales sur des rameaux persistants.'Fleurs'munies de 2 bractéoles; ovaire 1-loculaire, à 2 ovules collatéraux semi-anatropes; style 1, court, à 2 branches stigmatiques longues et filiformes.'Capitules'fructifères strobiliformes par accrescence des bractées et des bractéoles lignifiées-indurées.'Akènes comprimés latéralement, ailés au sommet et situés entre les 2 bractéoles.\n\t\t\tUn seul genre groupant une cinquantaine d'espèces, nombreuses en Australie et en Nouvelle-Calédonie, moins nombreuses en Malaisie, dans les îles du Pacifique, les îles Mascareignes, à Madagascar, Zanzibar et en Afrique tropicale orientale.",morphology,Meise Botanic Garden,FAC-498,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
wfo-4000006952,Caractères de la famille.,morphology,Meise Botanic Garden,FAC-498,http://creativecommons.org/licenses/by/4.0/,Attribution 4.0 International (CC BY 4.0)
