verbatimLanguage,isoCode,context
feuille,OTHER,
tige,OTHER,
allem,deu,
angl,eng,
anglais,eng,
azande,n/a,zande lang?
babira,brf,
bira,brf,
bera,brf,
babua,bub,
bua,bub,
bahema,nix,
hema,nix,
baholoholo,hoo,
holoholo,hoo,
bahunde,hke,
hunde,hke,
bakango,kty,bas-uele
kango,kty,bas-uele
bakumu,n/a,
baluba,lub,luba-katanga
luba,lub,luba-katanga
balunde,n/a,lunda?
bambesa,zms,
mbesa,zms,
bangala,bxg,
baniambo,now,??
nyambo,now,
bankutshu,nkw,
nkutu,nkw,
bas-uele,??,locality or kty??
bashi,??,
basogge,n/a,
batuzi,n/a,
batwa,n/a,
bawoma,??,
bawoyo,n/a,
bemba,bem,
benzee,n/a,
bongala,??,bxg
booli,n/a,
budja,n/a,
buhunde,hke,
buluba,lub,
doruma,??,oruma lang? orr
eala,n/a,
en bobangui,n/a,
en chibiba,n/a,
en kibemba,bem,
en kiholobolo,??,holoholo?? hoo
en kiluba,lub,
en kindibu,n/a,
en kinyanga,nyj,
en kinyarwanda,kin,
en kirundi,run,
en kiyaka,yaf,
en muholoholo,hoo,
en mulula,n/a,
en mutombo,n/a,
en tshiragaga,n/a,
env. de lubumbashi,LOCALITY,
esp,spa,
fiot,n/a,
fr,fra,
genia,n/a,
ikwangwati,n/a,
kabeya,n/a,
kakwa,keo,
kaluba,lub,
kamas,xas,
kanioka,n/a,
kele,khy,
kelen,??,khy??
kibabua,bub,
kibali,bcp,
kibatwa,n/a,
kibemba,bem,
kibembe,bmb,
kibenda,??,bende?? bdp
kibeya,n/a,
kibila,bip,
kibongo,bot,
kibua,bub,
kibundi,??,"kirundi, rundi? run"
kibundu,??,kimbundu? kmb
kifulero,n/a,
kihavu,hav,
kiholo,??,holoholo? hoo
kiholoholo,hoo,
kihololo,hoo,
kihunde,hke,
kihundo,??,
kijaka,??,
kikongo,kon,
kikusu,ksv,
kilaba,n/a,
kilambe,??,lamba?? lam
kilemba,??,
kilembo,??,
kilendu,led,
kiluba,lub,
kiluba de mutombo-mukulu,??,lub-katanga
kilubasanga,sng,
kiluja,n/a,
kilumba,n/a,
kilur,n/a,
kimbala,mdp,
