taxonID,description,type,language,contributor,audience,rightsHolder,created,creator,source,bibliographicCitation,URI,rights,license
wfo-0000339535,Heath in sand in dry and seasonally damp sites.,Habitat,en,,,Commonwealth of Australia (2018),,,1958,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria gracilis</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria gracilis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20gracilis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339538,Well-drained sites in heath and mallee in sand or sandy loam over laterite.,Habitat,en,,,Commonwealth of Australia (2018),,,1959,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria humilis</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria humilis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20humilis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339540,"Moist heaths, depressions or swamps in peaty sand.",Habitat,en,,,Commonwealth of Australia (2018),,,1960,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria laevis</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria laevis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20laevis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339542,"Sclerophyllous mallee and heath in clayey sand, in mostly dry climatic areas.",Habitat,en,,,Commonwealth of Australia (2018),,,1961,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria polyphylla</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria polyphylla [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20polyphylla,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339543,Heath and woodland in sand and laterite.,Habitat,en,,,Commonwealth of Australia (2018),,,1962,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria prolifera</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria prolifera [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20prolifera,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339545,Heaths in sandy and peaty soils.,Habitat,en,,,Commonwealth of Australia (2018),,,1963,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) <i>Anarthria scabra</i>, in Phillip G. Kodela (ed.)<i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria scabra [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20scabra,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000341031,"Grows on swamp margins, in sedgeland and on low sandy slopes in Banksia-eucalypt woodland.",Habitat,en,,,Commonwealth of Australia (2017),,,2984,"A.S.George (2017) <i>Baxteria australis</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Baxteria australis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Baxteria%20australis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000343241,"Grows in sand, sometimes in gravelly sand, in heath and in low open woodland.",Habitat,en,,,Commonwealth of Australia (2017),,,3673,"A.S.George (2017) <i>Calectasia cyanea</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Calectasia cyanea [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Calectasia%20cyanea,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000343244,"Grows in sand, sandy loam and gravelly sand in heath, rarely in woodland.",Habitat,en,,,Commonwealth of Australia (2017),,,3674,"A.S.George (2017) <i>Calectasia grandiflora</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Calectasia grandiflora [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Calectasia%20grandiflora,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000343246,"Grows in sand and sandy loam or sometimes rocky soil, in open woodland and heath.",Habitat,en,,,Commonwealth of Australia (2017),,,3675,"A.S.George (2017) <i>Calectasia intermedia</i>, in <i>Flora of Australia.</i> Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Calectasia intermedia [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Calectasia%20intermedia,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
