taxonID,description,type,language,contributor,audience,rightsHolder,created,creator,source,bibliographicCitation,URI,rights,license
wfo-0000339535,"Bentham, G. (1878). Anarthria, in Restiaceae, Flora Australiensis 7: 211–214. (Reeve & Co.: London).Blackall, W.E. (1954, reprinted 1959). How to Know Western Australian Wildflowers. A Key to the Flora of the Temperate Regions of Western Australia. Part 1. Revised and edited by B.J. Grieve. (The University of Western Australia Press: Nedlands), pp. 52–53, Anarthria under Restionaceae. Reproduced in Blackall, W.E. & Grieve, B.J. (1974). How to Know Western Australian Wildflowers. Parts I, II, III. Third Impression 1975.Cutler, D.F. & Airy Shaw, H.K. (1965). Anarthriaceae and Ecdeiocoleaceae: two new monocotyledonous families, separated from Restionaceae. Kew Bulletin 19(3): 489–499.Mabberley, D.J.& Moore, D.M. (in press). The Robert Brown Handbook (Regnum Vegetabile).Meney, K.A. & Pate, J.S. (eds) (1999). Australian Rushes. Biology, Identification and Conservation of Restionaceae and Allied Families. (University of Western Australia Press: Nedlands); Anarthria gracilis, pp. 174–175.Meney, K.A., Pate, J.S. & Hickman, E.J. (1999). Morphological and anatomical descriptions of Restionaceae and allied families and their distribution, in Meney, K.A. & Pate, J.S. (eds), Australian Rushes. Biology, Identification and Conservation of Restionaceae and Allied Families, pp. 161–461. (University of Western Australia Press: Nedlands).Rye, B.L. (1987). Family 151. Restionaceae, in Marchant, N.G. et al. (eds), Flora of the Perth Region 2: 908–923. (Western Australian Herbarium, Department of Agriculture: W.A.); Anarthria gracilis, p. 910.Wheeler, J. & Graham, L. (2002). Anarthriaceae, in Wheeler, J.R. et al., Flora of the South West: Bunbury –Augusta – Denmark 1: 239. (University of Western Australia Press: Crawley).Illustrations:K.A. Meney & J.S. Pate, Australian Rushes 174–175 (1999).",Literature,en,,,Commonwealth of Australia (2018),,,1958,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) Anarthria gracilis, in Phillip G. Kodela (ed.)Flora of Australia. Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria gracilis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20gracilis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339538,"Illustrations:K.A. Meney & J.S. Pate, Australian Rushes 176–177; 18, fig. 1.8J (Capsule) (1999).Bentham, G. (1878). Anarthria, in Restiaceae, Flora Australiensis 7: 211–214. (Reeve & Co.: London).Meney, K.A. & Pate, J.S. (eds) (1999). Australian Rushes. Biology, Identification and Conservation of Restionaceae and Allied Families. (University of Western Australia Press: Nedlands); Anarthria humilis, pp. 176–177.Meney, K.A., Pate, J.S. & Hickman, E.J. (1999). Morphological and anatomical descriptions of Restionaceae and allied families and their distribution, in Meney, K.A. & Pate, J.S. (eds), Australian Rushes. Biology, Identification and Conservation of Restionaceae and Allied Families, pp. 161–461. (University of Western Australia Press: Nedlands).Rye, B.L. (1987). Family 151. Restionaceae, in Marchant, N.G. et al. (eds), Flora of the Perth Region 2: 908–923. (Western Australian Herbarium, Department of Agriculture: W.A.); Anarthria humilis, p. 910.",Literature,en,,,Commonwealth of Australia (2018),,,1959,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) Anarthria humilis, in Phillip G. Kodela (ed.)Flora of Australia. Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria humilis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20humilis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339540,"Illustrations:W.E. Blackall in B.J. Grieve (ed.), How to Know Western Australian Wildflowers 52 (1959); K.A. Meney & J.S. Pate, Australian Rushes 178–179 (1999).Bentham, G. (1878). Anarthria, in Restiaceae, Flora Australiensis 7: 211–214. (Reeve & Co.: London).Blackall, W.E. (1954, reprinted 1959). How to Know Western Australian Wildflowers. A Key to the Flora of the Temperate Regions of Western Australia. Part 1. Revised and edited by B.J. Grieve. (The University of Western Australia Press: Nedlands), pp. 52–53, Anarthria under Restionaceae. Reproduced in Blackall, W.E. & Grieve, B.J. (1974). How to Know Western Australian Wildflowers. Parts I, II, III. Third Impression 1975.Briggs, B.G. (1966). Chromosome numbers of some Australian monocotyledons. Contributions from the New South Wales National Herbarium 4: 24–34.Cutler, D.F. & Airy Shaw, H.K. (1965). Anarthriaceae and Ecdeiocoleaceae: two new monocotyledonous families, separated from Restionaceae. Kew Bulletin 19(3): 489–499.Meney K.A. & Pate J.S. (eds) (1999). Australian Rushes. Biology, Identification and Conservation of Restionaceae and Allied Families. (University of Western Australia Press: Nedlands); Anarthria laevis, pp. 178–179.Meney, K.A., Pate, J.S. & Hickman, E.J. (1999). Morphological and anatomical descriptions of Restionaceae and allied families and their distribution, in Meney, K.A. & Pate, J.S. (eds), Australian Rushes. Biology, Identification and Conservation of Restionaceae and Allied Families, pp. 161–461. (University of Western Australia Press: Nedlands).Rye, B.L. (1987). Family 151. Restionaceae, in Marchant, N.G. et al. (eds), Flora of the Perth Region 2: 908–923. (Western Australian Herbarium, Department of Agriculture: W.A.); Anarthria laevis, p. 910.Wheeler, J. & Graham, L. (2002). Anarthriaceae, in Wheeler, J.R. et al., Flora of the South West: Bunbury – Augusta – Denmark 1: 239. (University of Western Australia Press: Crawley).",Literature,en,,,Commonwealth of Australia (2018),,,1960,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) Anarthria laevis, in Phillip G. Kodela (ed.)Flora of Australia. Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria laevis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20laevis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339542,"Illustrations:K.A. Meney & J.S. Pate, Australian Rushes 180–181; also 173, as Anarthria ‘egrallata’  [nom. nud.] (1999).Bentham, G. (1878). Anarthria, in Restiaceae, Flora Australiensis 7: 211–214. (Reeve & Co.: London).Blackall, W.E. (1954, reprinted 1959). How to Know Western Australian Wildflowers. A Key to the Flora of the Temperate Regions of Western Australia. Part 1. Revised and edited by B.J. Grieve. (The University of Western Australia Press: Nedlands), pp. 52–53, Anarthria under Restionaceae. Reproduced in Blackall, W.E. & Grieve, B.J. (1974). How to Know Western Australian Wildflowers. Parts I, II, III. Third Impression 1975.Cutler, D.F. & Airy Shaw, H.K. (1965). Anarthriaceae and Ecdeiocoleaceae: two new monocotyledonous families, separated from Restionaceae. Kew Bulletin 19(3): 489–499.Meney, K.A. & Pate, J.S. (eds) (1999). Australian Rushes. Biology, Identification and Conservation of Restionaceae and Allied Families. (University of Western Australia Press: Nedlands); Anarthria polyphylla, pp. 180–181; pp. 172–173, as A. ‘egrallata’  [nom. nud.]Meney, K.A., Pate, J.S. & Hickman, E.J. (1999). Morphological and anatomical descriptions of Restionaceae and allied families and their distribution, in Meney, K.A. & Pate, J.S. (eds), Australian Rushes. Biology, Identification and Conservation of Restionaceae and Allied Families, pp. 161–461. (University of Western Australia Press: Nedlands).",Literature,en,,,Commonwealth of Australia (2018),,,1961,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) Anarthria polyphylla, in Phillip G. Kodela (ed.)Flora of Australia. Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria polyphylla [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20polyphylla,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339543,"Illustrations:K.A. Meney & J.S. Pate, Australian Rushes 182–183; 22, fig. 1.10A (seedling) (1999); J. Scott & P. Negus, Field Guide to the Wildflowers of Australias South West 17, fig. 1 (2002); I. Clarke, Name those Grasses pl. 33a, b (2015).Bentham, G. (1878). Anarthria, in Restiaceae, Flora Australiensis 7: 211–214. (Reeve & Co.: London).Blackall, W.E. (1954, reprinted 1959). How to Know Western Australian Wildflowers. A Key to the Flora of the Temperate Regions of Western Australia. Part 1. Revised and edited by B.J. Grieve. (The University of Western Australia Press: Nedlands), pp. 52–53, Anarthria under Restionaceae. Reproduced in Blackall, W.E. & Grieve, B.J. (1974). How to Know Western Australian Wildflowers. Parts I, II, III. Third Impression 1975.Briggs, B.G. (1966). Chromosome numbers of some Australian monocotyledons. Contributions from the New South Wales National Herbarium 4: 24–34.Clarke, I. (2015). Name those Grasses – identifying grasses, sedges and rushes. (Royal Botanic Gardens Victoria: Melbourne).Cutler, D.F. & Airy Shaw, H.K. (1965). Anarthriaceae and Ecdeiocoleaceae: two new monocotyledonous families, separated from Restionaceae. Kew Bulletin 19(3): 489–499.Mabberley, D.J. & Moore, D.M. (in press). The Robert Brown Handbook (Regnum Vegetabile).Meney, K.A. & Pate, J.S. (eds) (1999). Australian Rushes. Biology, Identification and Conservation of Restionaceae and Allied Families. (University of Western Australia Press: Nedlands); Anarthria prolifera, pp. 182–183.Meney, K.A., Pate, J.S. & Hickman, E.J. (1999). Morphological and anatomical descriptions of Restionaceae and allied families and their distribution, in Meney, K.A. & Pate, J.S. (eds), Australian Rushes. Biology, Identification and Conservation of Restionaceae and Allied Families, pp. 161–461. (University of Western Australia Press: Nedlands).Pate, J.S. & Meney, K.A. (1999). Morphological features of Restionaceae and allied families, in Meney K.A. & Pate J.S. (eds), Australian Rushes. Biology, Identification and Conservation of Restionaceae and Allied Families, pp. 3–23. (University of Western Australia Press: Nedlands).Rye, B.L. (1987). Family 151. Restionaceae, in Marchant, N.G. et al. (eds), Flora of the Perth Region 2: 908–923. (Western Australian Herbarium, Department of Agriculture: W.A.); Anarthria prolifera, p. 910.Scott, J. & Negus, P. (2002). Field Guide to the Wildflowers of Australias South West. Augusta – Margaret River Region. (Cape to Cape Publishing: North Fremantle). Pp. 16–17, Anarthria under Restionaceae.Wheeler, J. & Graham, L. (2002). Anarthriaceae, in Wheeler, J.R. et al. Flora of the South West: Bunbury – Augusta – Denmark 1: 239. (University of Western Australia Press: Crawley).",Literature,en,,,Commonwealth of Australia (2018),,,1962,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) Anarthria prolifera, in Phillip G. Kodela (ed.)Flora of Australia. Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria prolifera [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20prolifera,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000339545,"Illustrations:W.E. Blackall in B.J. Grieve (ed.), How to Know Western Australian Wildflowers 52 (1959); K.A. Meney & J.S. Pate, Australian Rushes 184–185; 121, fig. 8.1C (1999); J. Scott & P. Negus, Field Guide to the Wildflowers of Australias South West 17, fig. 2 (2002); I. Clarke, Name those Grasses pl. 33c, d (2015).Bentham, G. (1878). Restiaceae, Flora Australiensis 7: 208–246. (Reeve & Co.: London).Blackall, W.E. (1954, reprinted 1959). How to Know Western Australian Wildflowers. A Key to the Flora of the Temperate Regions of Western Australia. Part 1. Revised and edited by B.J. Grieve. (The University of Western Australia Press: Nedlands), pp. 52–53, Anarthria under Restionaceae. Reproduced in Blackall, W.E. & Grieve, B.J. (1974). How to Know Western Australian Wildflowers. Parts I, II, III. Third Impression 1975.Briggs, B.G. (1966). Chromosome numbers of some Australian monocotyledons. Contributions from the New South Wales National Herbarium 4: 24–34.Clarke, I. (2015). Name those Grasses – identifying grasses, sedges and rushes. (Royal Botanic Gardens Victoria: Melbourne).Cutler, D.F. & Airy Shaw, H.K. (1965). Anarthriaceae and Ecdeiocoleaceae: two new monocotyledonous families, separated from Restionaceae. Kew Bulletin 19(3): 489–499.Mabberley, D.J.& Moore, D.M. (in press). The Robert Brown Handbook (Regnum Vegetabile).Meney, K.A. & Pate, J.S. (eds) (1999). Australian Rushes. Biology, Identification and Conservation of Restionaceae and Allied Families. (University of Western Australia Press: Nedlands); Anarthria scabra, pp. 184–185.Meney, K.A., Pate, J.S. & Hickman, E.J. (1999). Morphological and anatomical descriptions of Restionaceae and allied families and their distribution, in Meney, K.A. & Pate, J.S. (eds), Australian Rushes. Biology, Identification and Conservation of Restionaceae and Allied Families, pp. 161–461. (University of Western Australia Press: Nedlands).Scott, J. & Negus, P. (2002). Field Guide to the Wildflowers of Australias South West. Augusta – Margaret River Region. (Cape to Cape Publishing: North Fremantle). Pp. 16–17, Anarthria under Restionaceae.Wheeler, J. & Graham, L. (2002). Anarthriaceae, in Wheeler, J.R. et al., Flora of the South West: Bunbury – Augusta – Denmark 1: 239. (University of Western Australia Press: Crawley).",Literature,en,,,Commonwealth of Australia (2018),,,1963,"Barbara G. Briggs, Carolyn L. Connelly & Siegfried L. Krauss (2018) Anarthria scabra, in Phillip G. Kodela (ed.)Flora of Australia. Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Anarthria scabra [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Anarthria%20scabra,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000341031,"Illustrations: G.J.Keighery, W. Austral. Naturalist 15: 164, 165 (1983).",Literature,en,,,Commonwealth of Australia (2017),,,2984,"A.S.George (2017) Baxteria australis, in Flora of Australia. Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Baxteria australis [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Baxteria%20australis,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000343241,"Illustrations: R.Brown, in M.Flinders, Voy. Terra Australis , App. t. 9 (1814).",Literature,en,,,Commonwealth of Australia (2017),,,3673,"A.S.George (2017) Calectasia cyanea, in Flora of Australia. Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Calectasia cyanea [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Calectasia%20cyanea,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000343246,"Illustrations: E.R.Rotherham et al. , Fl. Pl. Victoria 39, t. 78 (1968).",Literature,en,,,Commonwealth of Australia (2017),,,3675,"A.S.George (2017) Calectasia intermedia, in Flora of Australia. Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Calectasia intermedia [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Calectasia%20intermedia,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
wfo-0000385712,"Illustrations: R.Brown in M.Flinders, Voy. Terra Australis , App. t. 8 (1814); R.M.T.Dahlgren et al. , Fam. Monocotyledons 152, fig. 64 (1985).",Literature,en,,,Commonwealth of Australia (2017),,,5229,"A.S.George (2017) Dasypogon bromeliifolius, in Flora of Australia. Australian Biological Resources Study, Department of Agriculture, Water and the Environment: Canberra. https://profiles.ala.org.au/opus/foa/profile/Dasypogon bromeliifolius [Date Accessed: 02 December 2020]",https://profiles.ala.org.au/opus/foa/profile/Dasypogon%20bromeliifolius,Australian Biological Resource Study,http://creativecommons.org/licenses/by/4.0
