taxonID,description,language,contributor
wfo-0001076112,"Árbol 5-8 m alt. Catáfilo extrafoliar amplectente, libre del pecíolo. Hojas alternas, pecioladas; pecíolo semiterete, glabro, sin cicatriz, cara adaxial aplanada; lámina foliar anchamente obovada, coriácea, 12.7-22.0 cm long x 11.4-19.2 cm lat., ápice brevemente cuspidado, excepcionalmente retuso; haz verde limón, completamente glabro; envés lanoso de color seríceo-argentado en seco; nervios secundarios penninervios, 18-22 por lado. Flores solitarias pseudolaterales, pedunculadas, suavemente fragantes; hipsófilo vaginal amplectente, caduco, pedúnculo, 3.65-5.46 cm long.; 3 sépalos verdes, membranáceos, espatulados, 4.6-5.46 cm long. x 2.0-2.25 cm lat.; pétalos 8-10, color marfil, anchamente lanceolados, 4.67-5.90 cm long. x 1.48-2.75 cm lat., semicartáceos. Estambres oblanceolados, 182, dispuestos en 5 series ascendentes, espiraladas, conectivo con un largo apículo filiforme 0.65-0.95 cm long.; dos tecas con dehiscencia introrsa; gineceo sésil, anchamente elíptico, color marfil; carpelos 17-25, sincárpicos. Fruto elipsoidal, glabro, 5.0-5.73 cm long. x 2.55-3.30 cm diám. y con 3-6 costillas longitudinales por carpelo; dehiscencia circuncísil, dejando las semillas adheridas al eje del fruto por un largo funículo; semillas 1-2 por carpelo, reniformes a oblatas, color rojo coral.",Spanish,Gustavo Lozano-C.
wfo-0000946737,"Árbol 18-30 m alt., madera con olor similar al de las Lauraceae, color amarillo. Ramas cortas con indumento largo, caduco, color crema en los entrenudos terminales. Yemas vegetativas grandes y angostas cubiertas por abundante indumento largo color crema. Hojas alternas pecioladas, pecíolos sin cicatriz, cubiertos de pelos largos, caducos, 2.16 cm long. promedia; lámina foliar elíptica, subcoriácea, 11.5-22.7 cm long. (M = 17.98 cm, N = 15) x 4.8-10.0 cm lat. (M = 8.0 cm, N = 15), ápice redondeado o apiculado, base decurrente, envés con indumento flocoso; nervios laterales penninervios, 12-18 por lado. Flores solitarias, 2 hipsófilos vaginales caducos, prefloración imbricada; sépalos 3 (-4), naviculares; pétalos 5 (-6-8), color crema; estambres 155, subulados, cóncavos, dispuestos en 5 series espiraladas, 2 tecas con dehiscencia introrsa; gineceo sésil obturbinado, color marfil, 27-30 (-40) carpelos sincárpicos, 2 rudimentos seminales por carpelo. Fruto inmaduro obovado, verde pálido opaco con estilos y estigmas marrón.",Spanish,Gustavo Lozano-C.
wfo-0000946740,"Árbol 15-35 m alt. Prefoliación erecta heliciconvoluta; yemas foliares jóvenes con abundante indumento blanco, catáfilo libre del pecíolo, marrón claro con abundante indumento corto y esparcido color gamuza. Hojas alternas, pecioladas, pecíolos sin cicatriz, 1.35 cm long. promedia; lámina foliar obovada hasta anchamente elíptica, 20.4 cm long. promedia x 10.96 cm lat. promedia, coriácea, ápice caudado, base un poco asimétrica, costa impresa por la haz, prominente por el envés, nervios laterales 27-35 por lado. Flores con hipsófilo vaginal amplectente; 3 sépalos, color crema, espatulados, 2.94 cm long. promedia x 1.67 cm lat. promedia x 0.79 cm lat. basal; pétalos color crema, obovados, 2.66 cm long. promedia x 1.60 cm lat. media x 0,54 cm lat. promedia basal. Estambres oblanceolados, 106-120, levemente curvados, 0.99 cm long. promedia x 0.20 cm lat. promedia, color crema, con apículo filiforme, 0.60 cm long. promedia, dispuestos en espiral, 2 tecas con dehiscencia introrsa; gineceo sésil, obovado, color crema, carpelos 10-14, unidos formando un solo órgano, 2 rudimentos seminales por carpelo. Fruto elíptico, un poco asimétrico, verde citrino, carpelos con dehiscencia circuncísil, con 4-5 costillas longitudinales; semillas anaranjadas.",Spanish,Gustavo Lozano-C.
wfo-0000946743,"Arbor 10-30 m alt. trunco 0.30-1.30 m diam. ad altitudinem pectoris; cortice coloris lateriti; ligno extus eburneo, intus nigricanti. Ramulis teretiusculis. Gemmae usque ad 25 cm long., cataphyllo extrafoliari amplectenti deciduo eburneo e petiolo libero duobus fissuris longitudinalibus pubescentibus. Folia alterna petiolata; petiolo 1.52-2.42 cm long., pubescente in foliis juvenilibus, postea glabro, ecicatricato; lamina obovata chartacea integerrima 19.6-34.5 cm long., basi cuneata, apice obtuso, supra glabra, infra tomento flavido vestita; nervis lateralibus utrinque 20-24. Flores pedunculati; singulo hypsophyllo vaginali amplectente deciduo a perianthio insertionis 0.96 cm distantibus; pedunculo 2.69-2.90 cm long. tomento bubalino caduco instructo; sepalis 3 glabris, ovatis chartaceis flavovirentibus, apice retuso, 5.62-6.22 cm long. x 3.60-4.32 cm lat., petalis 6 glabris, cochleariformibus, albidis, basi incrassata, apice acuto, 4.69-6.28 cm long.; staminibus 168, 1.23-1.42 cm long. x 0.25-0.33 cm lat., anguste obovatis eburneis, in 5 seriebus adscendentibus spiraliter dispositis, conectivo apliculato, gynoecio sessili cupuliformi eburneo 3.31 cm long. x 2.57 cm diam.; carpellis 35. Fructus obturbinatus glaber 8 cm long. x 7.33 cm diam., dehiscentia singulatuim vel catervatim circumscisili.Árbol 10-30 m alt., 0.30-1.30 m diám. altura del pecho, corteza lisa, color ladrillo moteada de blanco, madera blanda, albura crema, duramen negro, olor agradable; presencia de raíces tabulares en algunos árboles. Ramas largas hasta 4 m, quebradizas, grisáceas; ramillas verdes teñidas de vino tinto, con lenticelas e indumento amarillo en fresco, acanelado en seco; entrenudos 1.33-2.42 cm long. (M = 1.82 cm, N = 12) x 0.78-1.14 cm diám. (M 0.99 cm, N = 12), con lenticelas ovales. Yemas foliales hasta 25 cm long., catáfilos extrafoliares amplectentes, caducos, color crema, con las dos fisuras longitudinales pubescentes. Pecíolos sin cicatriz, en algunas hojas se presenta una cicatriz basal correspondiente a la yema lateral o a restos del catáfilo, 1.52-2.42 cm long. (M = 1.91 cm, N = 12) x 0.42-0.64 cm diám. (M = 0.54 cm, N = 12), abaxialmente convexo, adaxialmente más o menos plano, canaliculado, engrosado en la base, pubescente en las hojas jóvenes; lámina obovada, cartácea, 19.6-34.5 cm long. (M = 30.06 cm, N = 12) x 12.6-22.9 cm lat. (M = 18.59 cm, N = 12), base cuneada, ápice obtuso, margen levemente revoluto; nervio medio impreso por la haz, prominente por el envés, nervios secundarios penninervios, 20-24 (Mo = 23), divergiendo en ángulo ca. 54º del nervio medio y anastomosándose cerca del margen, impresos por la haz, prominentes por el envés; retículo promínulo por ambas caras; cara superior de la lámina verde oscura, cara inferior verde amarillenta con indumento amarillo. Capullos florales ovados, 8.0 cm long. x 5.0 cm diám., color crema. Flores solitarias pedunculadas, con un hipsófilo vaginal amplectente, caduco, situado a 0.96 cm del perianto; pedúnculo 2.69-2.90 cm long. x 0.90-1.0 cm diám., cilíndrico, cubierto por indumento caduco, color anteado; sépalos ovales 3, verde amarillentos, cartáceos, 5.62-6.22 cm long. (M = 6.01 cm, N = 3) x 3.60-4.32 cm lat. (M = 3.97 cm, N = 3) x 1.25-1.42 cm lat. basal (M = 1.34 cm, N = 3) base redondeada, ápice retuso; 6 pétalos blancos, carnosos, cocleariformes, 4.69-6.28 cm long. (M = 5.36 cm, N = 6) x 2.29-2.97 cm lat. (M = 2.70 cm, N = 6) x 0.70-1.11 cm lat. basal (M = 0.86 cm, N = 6), base engrosada, ápice agudo. Estambres angostamente obovados 168, color crema, espiralados, distribuídos en 6 series, 1.23-1.42 cm long. (M = 1.35 cm, N = 10) x 0.25-0.33 cm lat. (M = 0.28 cm, N = 10), base truncada, ápice agudo. Gineceo sésil cupuliforme, color crema, 3.31 cm long. x 2.57 cm diám., carpelos 35, formando un solo órgano. Fruto obturbinado, verde amarillento, 8 cm long. x 7.33 cm diám., carpelos con dehiscencia circuncísil, independientemente o en masas de carpelos, pared externa de los carpelos, 2.68-2.85 cm long. x 1.12-1.38 cm lat., pared desprendible del fruto 1.47 cm de espesor; eje del fruto, 5.25 cm long. x 3.60 cm diám. Semillas 2 por carpelo.",Spanish,Gustavo Lozano-C.
wfo-0000946744,"Árbol 15-25 m. Catáfilo foliar amplectente, libre del peciolo, deciduo, tubular, cartáceo. Pecíolos teretes, sin cicatriz, 1.16 cm long. media; lámina elíptica, cartácea, 11.18 cm long. promedia x 4.63 cm lat. media, base oblicua, ápice acuminado o retuso, nervio medio impreso por la haz, prominente por el envés, nervios secundarios 11-22, cara superior glabra, pecíolos y cara inferior color anteado. Flores pedunculadas; pedúnculo lanoso, 3.86 cm long. media x 0.46 cm promedio del diám. máximo x 0.24 cm promedio del diám. mínimo; un hipsófilo vaginal amplectente; sépalos (2-) 3, espatulados, reflejos, 2.85 cm long. media x 1.66 cm lat. media; pétalos 9 (-10), cartáceos, 3.37 cm long. promedia x 1.66 cm lat. media x 0.27 cm lat. basal. Estambres 58-79, oblanceolados, con una prolongación setácea filiforme de 2.20-0.70 cm; gineceo sésil, anchamente elíptico; carpelos (4-) 5 (-6), unidos formando un solo órgano. Fruto elipsoidal, glabro, con dehiscencia circuncísil, 4-5 costillas longitudinales en cada carpelo; rudimentos seminales 2 por carpelo; 1-2 semillas por carpelo, reniformes a oblatas, 0.82-1,20 cm long. x 0.55-0.72 cm lat. x 0.54-0.60 cm espesor, cinabarinas.",Spanish,Gustavo Lozano-C.
wfo-0000946746,"Árbol 25-30 m alt., corteza lisa, color amarillo, lenticelada; madera crema. Catáfilos foliares glabros, verde oliva. Pecíolos sin cicatriz, semiteretes, adaxialmente con un surco medial longitudinal, color verde oliva, 1.27-2.74 cm long. (M = 1.92 cm, N = 10) x 0.17-0.25 cm espesor (M = 0.20 cm, N = 10), base más engrosada; lámina elíptica, cartácea, verde oliva, glabra a excepción del nervio medio el cual presenta pelos esparcidos por el envés, 13.7-23.7 cm long. (M = 18.72 cm, N =10) x 4.7-9.6 cm lat. (M = 6,9 cm, N = 10), ápice agudo, base cuneada; costa verde amarillenta, impresa por la haz, prominente por el envés; nervios secundarios penninervios, 13-20, los cuales divergen del nervio medio en ángulo de ca. 57º. Flores con pedúnculos color verde, 2.5 cm long. x 0.84 cm lat.; 1 hipsófilo vaginal; sépalos 3, anchamente elípticos, 4.3-4.7 cm long. (M = 4.55 cm, N = 3) x 2.15-2.55 cm lat. (M = 2.31 cm, N = 3), cóncavos, gruesos, ápice redondeado, base truncada; pétalos 6, color crema, obovados, cóncavos, gruesos, 2.53-3.91 cm long. (M = 3.26 cm, N = 6) x 0.85-1.90 cm lat. (M = 1.51 cm, N = 6). Estambres angostamente obovados, color crema, 118 (una flor examinada), 0.74-0.86 cm long. (M = 0.78 cm, N = 10) x 0.13-0.26 cm lat. (M = 0.22 cm, N = 10); gineceo ovado, 1.8 cm long. x 1.5 cm diám., carpelos 28-35, unidos formando un solo órgano. Fruto verde amarillento pálido, más o menos esférico, 5.40 cm long. x 4.80 cm diám., carpelos leñosos con dehiscencia circuncísil, individual o en masas; carpelos desarrollados, marrón pálido, 1.13-3.35 cm long. x 0.93-1.90 cm lat., los basales más largos que los restantes y presentan externamente hasta 5 costillas longitudinales dorsales, con gran número de lenticelas; estigmas revolutos persistentes, con una corta incisión apical longitudinal; dos rudimentos seminales por carpelo. Semillas 1-2 por carpelo, oblatas a esferoidales, 0.98-1.48 cm long. (M = 1.18 cm, N = 10) x 0.78-1,0 cm lat. (M = 0.86 cm, N = 10) x 0.46-0.66 cm espesor (M = 0.55 cm, N = 10), sarcotesta de color rojo, testa negra, endopleura blanca.",Spanish,Gustavo Lozano-C.
wfo-0000946747,"Arbor 20 m alt., trunco 0.30 m diam. ad altitudinen pectoris, cortice cinereo; ligno extus albido, intus nigro-marmorato; ramulis teretiusculis lenticellatis. Gemmae 7.10 cm long.; cataphyllo extrafoliari amplectenti deciduo eburneo e petiolo liberum, chartaceo flavovirenti, glabro sed praeter apicem flavido-tomentosum. Folia alterna petiolata; petiolo 0,44-0.74 cm long., glabro vel sparsim piloso, ecicatricato; lamina late obovata chartacea integerrima, 7.90-12,70 cm long. x 5.90-10.75 cm lat., basi attenuata, apice emarginato, supra glabra, infra sparse tomentosa (sed parte terminan costae mediae flavidolanata); nervis lateralibus utrinque 13-16, Flores pedunculati, 1-2 hypsophyllis vaginalibus amplectentibus deciduis a perianthio insertionibus manifeste distantibus; pedunculo exili 2.72 cm long. glabro; sepalis 3, glabris, in alabastro ellipticis chartaceis, apice mucronulato; petalis 9, glabris, alabastro navicularibus eburneis; staminibus 98 linearibus in 5 seriebus adscendentibus spiraliter dispositis, connectivo in apice setaceo 6.0 mm long. protento; gynoecio sessili strobiliformi eburneo; carpellis 6-11,5 costatis in statu fructifero. Fructus obovatus asymmetricus glaber, 2,53 cm long x 1,47 cm diam.Árbol 20 m alt. 0.30 m en diám. altura del pecho, corteza grisácea, olor similar al de las Lauraceae, madera exteriormente crema, interiormente veteada de negro. Ramillas glabras, verde oscuro teñidas de vino tinto; catáfilo amplectente, verde amarillento, cartáceo, glabro a excepción del ápice el cual presenta indumento largo de color amarillo, 4.80-11.0 cm long., no adnato al pecíolo. Pecíolos sin cicatriz, más o menos teretes, estriados y con un surco medial longitudinal por la cara adaxial, 0.44-0.74 cm long. (M = 0.55 cm, N = 15) x 0.21-0.35 cm diám. (M = 0.26 cm, N = 15), glabros o con escasos pelos esparcidos; lámina foliar anchamente obovada, con marcas de prefoliación erecta heliciconvoluta, cartácea, 7.9-12.7 cm long. (M = 0.08 cm, N = 15) x 5.9-10.75 cm lat. (M = 8.02 cm, N = 15), haz glabra, verde oscuro brillante, envés verde amarillento con indumento esparcido a excepción de la terminación de la costa la cual presenta indumento lanoso de color amarillo, ápice emarginado, base atenuada, margen entero; costa impresa por la haz, prominente por el envés, nervios laterales penninervios, 13-16 (Mo = 15, N = 15), más o menos prominentes por ambas caras, anastomosándose cerca del margen y divergen del nervio medio en ca. 54º. Flores con pedúnculos delgados, 2.72 cm long. x 0.46 cm diám., glabros; 1-2 hipsófilos vaginales, distanciados de la inserción del perianto; 3 sépalos elípticos, cartáceos, base truncada, ápice mucronulado; 9 pétalos naviculares, color crema, con los interiores de menor tamaño; estambres lineares, color crema, 98 (una flor examinada), dispuestos en cinco series espiraladas, el conectivo termina en una prolongación setácea de 7.9 mm; gineceo sésil estrobiliforme multicarpelar, carpelos 6-11 formando un solo órgano. Fruto obovado asimétrico, verde citrino, 2.58 cm long. x 1.58 x 1.47 cm diám., cada carpelo con ca. 5 costillas longitudinales.",Spanish,Gustavo Lozano-C.
wfo-0000946748,"Arbor 20 m alt.; cortice cinereo; ligno albido, intus nigricanti; ramulis teretiusculis glabris lenticellatis, peridermate delabente. Gemmae elongatae hirsutae 4.35 cm long.; cataphyllo extrafoliari amplectenti deciduo eburneo e petiolo libero, usque ad 11.85 cm long. x 1.0 cm diam., coriaceo pilis longis pluricellularibus lutosis instructo. Folia alterna petiolata; petiolo 1.61 cm long. x 0.30 cm diam., ecicatricato, lutoso lanato in foliis hornotinis demun longe sparsque lutoso-piloso; lamina late obovata chartacea, 9.30-14,30 cm long. x 6.55-10.80 cm lat., basi obtusa, apice cuspidato, supra glabra, infra lutoso-tomentosa, nervis lateralibus utrinque 15-18. Flores pedunculati; bractea tectriciali amplectenti decidua flori et gemmae vegetativae simul involventi; singulo hypsophyllo vaginali deciduo copiose lutoso-tomentoso, a perianthio insertionis 0.80-0.83 cm distante; pedunculo 3.05 cm cum tomento deciduo; sepalis 3, glabris, ovatis coriaceis eburneis, basi truncata, apice acuto, 3.40-3.46 cm long x 1.40-1.52 cm lat.; petalis 8 (interdum 9), glabris, navicularibus, crassis, coriaceis, basi truncata incrassata, apice acuto, 3.07-3.28 cm long. x 1.13-1.51 cm lat.; staminibus 83-89, 1.27 cm long. x 0.17 cm lat., anguste trulliformibus, eburneis, in 6 seriebus adscendentibus spiraliter dispositis, connectivo in apice setaceo (usque ad 0.81 cm long.) protento; gynoecio sessili strobiliformi flavovirenti, 2.20 cm long. x 0.78 cm diam., carpellis 6-9 (-12), 9-costatis in statu fructifero. Fructus obovatus asymmetricus, glaber, 4.66-5-14 cm long. x 2.10-2.50 x 2.07-2.10 cm diam.Árbol 20 m alt., corteza gris con olor similar al de las Lauraceae, madera blanca con el centro de color negro. Ramillas tomentosas, verde limón que pasan a acanelado oscuro en las ramas viejas, lenticelas ovales, peridermis desprendible, entrenudos, 0.70-1.73 cm long. x 0.51-0.83 cm diám. Catáfilo extrafoliar amplectente deciduo, hasta 11.85 cm long. x 1.0 cm diám., acanelado oscuro coriáceo, cubierto por pelos largos, pluricelulares de color amarillo quemado. Pecíolo cubierto por pelos largos de color amarillo quemado en las hojas jóvenes o esparcidos en las hojas adultas, 1.05-2.12 cm long. (M = 1.61 cm, N = 20) x 0,25-0.37 cm diám. (M = 0.30 cm, N = 20), abaxialmente convexo, adaxialmente aplanado y canaliculado; lámina anchamente obovada, cartácea, 9.30-14.30 cm long. (M = 12.42 cm, N = 20) x 6.55-10.80 cm lat. (M = 8.88 cm, N = 20), base obtusa, ápice cuspidado, margen levemente ondulado y revoluto; nervio medio canaliculado por la haz, prominente por el envés, nervios secundarios penninervios, 15-18 (Mo = 16), divergiendo en ángulo de ca. 52º del nervio medio y anastomosándose cerca del margen, retículo promínulo, haz verde obscuro brillante, envés verde amarillento con indumento amarillo quemado en seco. Flores pedunculadas; capullo floral elíptico, 3.46 cm long. x 1.92 cm diám., con una bráctea tectriz amplectente, caduca, que envuelve la yema vegetativa y la flor; un hipsófilo vaginal amplectante, caduco cuya inserción se encuentra a 0.80-0.83 cm del perianto, verde amarillento teñido de ferrugíneo, con indumento copioso amarillo quemado; pedúnculo 3.05 cm long., con indumento caduco; 3 sépalos ovados, color crema, 3.40-3.46 cm long. (M = 3.43 cm, N = 3) x 1.40-1.52 cm lat. (M = 1.46 cm, N = 3), coriáceos, base truncada, ápice agudo; 8 pétalos naviculares, color crema (en un caso de 5 examinados 9), 3.07-3.28 cm long. (M = 3.16 cm, N = 5) x 1.13-1.51 cm lat. (M = 1.31 cm, N = 5), coriáceos, carnosos, siendo menor la anchura de los internos, ápice agudo, base engrosada truncada; estambres 83-89, espiralmente dispuestos en 6 series, angostamente obtrulados, color crema, 1.15-1.39 cm long. (M = 1.27 cm, N = 10) x 0,15-0.20 cm lat. (M = 0.17 cm, N = 10) con un largo apículo filiforme hasta 0.81 cm long.; dos tecas introrsas con dehiscencia longitudinal; gineceo estrobiliforme sésil, eliptico, verde amarillento, 2.20 cm long. x 0.78 cm diám., carpelos 6-9 (-12), estilo gradualmente atenuado. Fruto obovado asimétrico, glabro, 4.66-5.14 cm long. x 2.10-2.50 x 2.07-2.10 cm diám., con 9 costillas longitudinales por carpelo, 3 más desarrolladas que las restantes; carpelos desarrollados, 2.63-3.65 cm long. (M = 3.13 cm, N = 10) x 1.10-l.41 cm lat. (M = 1.26 cm, N = 10) en la superficie externa.",Spanish,Gustavo Lozano-C.
wfo-0000233174,"Árbol perennifolio o parcialmente caducifolio ocasionalmente hasta de 25 m; corteza castaña o grisácea. Ramas fuertes inicialmente cubiertas por pelos apretados de color leonado o amarillo y tardíamente glabrescentes, pardo oscuras. Yemas densamente sericeas con pelos de color leonado; catáfilos libres del pecíolo. Hojas pecioladas; peciolos robustos, 9-27 mm long., cubiertos de pelos leonados; pasando a glabros y sin cicatriz en la superficie adaxial del pecíolo; lámina foliar fuertemente coriácea, 8.0-20.0 cm long. x 6.0-9.0 cm lat., angosta o anchamente elípticas, base atenuada, ápice obtuso; haz verde oscuro lustroso, envés con indumento de pelos apretados o esparcidos de color amarillo o ferruginoso claro; 16-18 pares de nervios secundarios, promínulos por ambas caras. Flores grandes, fragantes, dispuestas sobre un pedúnculo, erecto, robusto; tépalos 9-12 (raro más), crasiúsculos, glabros, color blanco o crema, 7.5-12.0 cm long. x 4.0.9.0 cm lat., anchamente espatulados a obovados. Estambres numerosos 1.2-2.0 cm long., de color blanco, a veces con los filamentos purpurinos. Gineceo 2.5 cm long., carpelos ca. 65, con indumento seríceo de pelos leonados, estilo glabro. Plurifolículo ovóideo, 15.5-10.0 cm long., con indumento amarillo, estilos cortos recurvados, folículos basales decurrentes a lo largo del eje floral. Semillas 1.2 cm long., sarcotesta de color amarillo o roja.",Spanish,Gustavo Lozano-C.
wfo-0000233365,"Arbusto caducifolio, usualmente más o menos deprimido, algunas veces ramificado desde cerca de la raíz; corteza parduzca; ramas cortas, estriadas, inicialmente verdes, luego castaño-purpurinas, glabras, escasamente lenticeladas. Yemas terminales densamente seríceas con pelos amarillos o plateados. Hojas alternas, pecioladas; pecíolos delgados 0.8-2.0 cm long., con cicatriz basal sobre la superficie adaxial del pecíolo; lámina foliar membranácea, 10-18 cm long. x 4.5-8.0 cm lat., anchamente elípticas u obovadas, base decurrente sobre el pecíolo, ápice agudo o abruptamente acuminado; haz verde oscuro, finamente pubescente a lo largo del nervio medio, envés verde pálido glabro o con escasos pelos, nervios prominentes por el envés, ca. 20 nervios laterales secundarios por lado. Flores terminales, odoras o levemente fragantes, dispuestas sobre un corto pedúnculo, robusto, seríceo. Tépalos 9, cartáceos (en seco), exteriormente purpúreos, interiormente más claros, 3.0-4.5 cm long. x 1.5-3.0 cm lat., espatulados, los del verticilo externo más cortos y menos anchos. Estambres 0.7-1.1 cm long., purpúreos con una muy corta prolongación del conectivo. Gineceo 1.5 cm long. purpúreo. Plurifolículo muy asimétrico, 2.0-2.5 cm long. purpurino oscuro (en seco), folículos redondos, con dehiscencia longitudinal por la superficie abaxial, Semillas castaño oscuro, reniformes, 1 cm long.; sarcotesta roja.",Spanish,Gustavo Lozano-C.
