taxonID,description,type,source,language,created
wfo-0001280611,"<b>Plants</b> mound-forming. <b>Caudex</b> diffusely branched. <b>Styles</b> 5-9 mm, longer than fruit sinus.",general,82202488-7BE9-4D31-8CE9-A6244BF5DC72,English,2010-03-14
wfo-0001266269,"<b>Perennials;</b> (diminutive); cau-dex branched, (densely cespitose, mound-forming); densely pubescent, trichomes (flaring, giving a shaggy appearance), usually 4-5-rayed, rays furcate or bifurcate, (strongly tuberculate throughout). <b>Stems</b> few to several from base, erect, (from basal tuft), 0.1-0.2(-0.3) dm, (not or just barely exceeding leaves). <b>Basal leaves:</b> blade spatulate to oblanceolate, 0.5-1.5 cm, (base gradually narrowed to petiole), margins entire. <b>Cauline leaves</b> (absent or few); similar to basal, blade linear. <b>Racemes</b> dense, (few-flowered). <b>Fruiting pedicels</b> (loosely sigmoid), 3-5 mm. <b>Flowers:</b> sepals (pale yellow), oblong to elliptic, 4-5 mm, (median pair usually thickened apically, cucullate); petals (bright yellow), lingulate, 6-8 mm. <b>Fruits</b> lanceolate, compressed apically, 2.5-3(-4) mm; valves pubescent, trichomes spreading, (appearing fuzzy), rarely with trichomes inside; ovules 4-8 per ovary; style 2.5-4 mm. <b>Seeds</b> plump, (oblong).",general,37E94ACC-2974-48B1-B027-0FC27935DD27,English,2010-03-14
wfo-0001266292,"<b>Perennials;</b> caudex simple or branched, (covered with persistent leaf bases, loosely cespitose); densely pubescent, trichomes (appressed to ascending, plant appearing shaggy, always appressed on fruits), 4- or 5-rayed, rays furcate or bifurcate, (tuberculate throughout). <b>Stems</b> few to several from base, ± erect, (arising laterally, also from within basal leaves), 0.2-0.4 dm. <b>Basal leaves</b> (erect); blade linear-oblanceolate, 1.2-2.8 cm, (base gradually narrowed to petiole), margins entire. <b>Cauline leaves:</b> blade linear, similar to basal. <b>Racemes</b> dense, (often subumbellate, not or barely exceeding basal leaves). <b>Fruiting pedicels</b> (ascending, curved), 3-5.5 mm. <b>Flowers:</b> sepals (pale green-yellow), oblong to elliptic, 4-5 mm, (median pair usually thickened apically, cucullate); petals lingulate, 6-9 mm. <b>Fruits</b> lanceolate in outline, compressed (latiseptate) on margins and at apex, 4-5 mm; valves pubescent, trichomes closely appressed; ovules 8-12 per ovary; style 3.5-4.5 mm (equaling or exceeding length of fruit, curved proximal to stigma). <b>Seeds</b> plump, (oblong).",general,B1FC0E65-C7EF-44EA-BB46-14DB48252EC8,English,2010-03-14
wfo-0001266272,"<b>Caudex</b> thickened, usually simple, rarely branched, (subterranean). <b>Stems</b> usually simple, rarely few from base, well-exserted, prostrate to decumbent. <b>Basal leaves:</b> blade margins entire. <b>Fruits</b> (slightly longer than broad), not conspicuously compressed at margins, apex somewhat compressed and usually not conspicuously beaked; valves usually glabrous, sometimes sparsely pubescent inside; ovules 8-12 per ovary; style usually straight.",general,40D10F77-1F53-4EED-8BC1-A5FCFE27E4AF,English,2010-03-14
wfo-0001266242,"<b>Perennials;</b> caudex simple or branched (tightly); sparsely to densely pubescent, trichomes (sessile or short-stalked), 4-6- rayed, rays furcate or bifurcate, distinct or slightly fused at base, (sometimes umbonate, tuberculate throughout). <b>Stems</b> few to several from base, decumbent, 0.5-1(-2) dm, (rather stout, sparsely pubescent). <b>Basal leaves:</b> blade elliptic to suborbicular, 1.5-3.5(-5.5) cm, margins entire or shallowly dentate (at base, surfaces densely pubescent, silvery). <b>Cauline leaves</b> (petiolate or distal nearly sessile); blade elliptic to obovate, 0.5-1.5 cm, margins entire. <b>Racemes</b> dense, congested, (few-flowered). <b>Fruiting pedicels</b> (spreading or recurved, sometimes loosely sigmoid), 2-6.5 mm. <b>Flowers:</b> sepals lanceolate, oblanceolate, or narrowly elliptic, 3.8-5 mm, (median pair thickened apically, cucullate); petals narrowly lanceolate to linear, 6-10(-13) mm. <b>Fruits</b> (sessile or substipitate), broadly obcordate, obdeltate, or obcompressed, slightly compressed (angustiseptate), 3-5(-7) mm; valves (not retaining seeds after dehiscence), sparsely pubescent or glabrous, trichomes appressed; replum as wide as or wider than fruit; ovules 8-16 per ovary; style (1.8-)3-6(-7) mm. <b>Seeds</b> slightly flattened, (ellipsoid to suborbicular).",general,8BBBF5E1-472A-4D51-B1E8-88BADA75CBD7,English,2010-03-14
wfo-0001266267,"<b>Perennials;</b> caudex (buried), branched, (not thickened); densely pubescent, trichomes (sessile or short-stalked), 5-8 -rayed, rays furcate or bifurcate, (umbonate, rough to finely tuberculate throughout). <b>Stems</b> several from base, prostrate, (slender, sparsely pubescent), 0.5-2 dm. <b>Basal leaves:</b> blade obovate to narrowly elliptic, 1.5-6 cm, margins usually entire, rarely shallowly dentate, (surfaces densely pubescent, often silvery). <b>Cauline leaves:</b> blade oblanceolate to spatulate, 0.5-1 cm, margins entire, (surfaces often sparsely pubescent). <b>Racemes</b> (narrow), loose, (elongated in fruit). <b>Fruiting pedicels</b> (ascending to somewhat spreading, straight to slightly curved), 4-8(-12) mm. <b>Flowers:</b> sepals (greenish brown, sometimes magenta), linear or elliptic, 4.3-6(-7.5) mm, (median pair thickened apically, cucullate); petals (frequently pink or magenta in distal 1/3-1/2), spatulate to oblanceolate, 6-10(-12) mm, (claw undifferentiated from blade). <b>Fruits</b> broadly ovoid to suborbicular, inflated, (terete or, often, slightly angustiseptate), 3-6 mm; valves sparsely pubescent; ovules usually 4, rarely 6-8 per ovary; style 3-6.5 mm. <b>Seeds</b> plump.",general,D1DF2EE1-E6E3-44AE-BFC9-EB0138256EC9,English,2010-03-14
wfo-0001266274,"<b>Perennials;</b> caudex simple or branched, (thickened by persistent leaf bases); densely pubescent (foliage usually scabrous), trichomes (sessile or short-stalked), several-rayed, rays furcate near base, (usually strongly umbonate, roughly tuberculate, less so over umbo). <b>Stems</b> few to several from base, erect or outer decumbent, 0.5-2.5 dm. <b>Basal leaves:</b> blade suborbicular to elliptic or ovate or deltate, 0.5-2(-6.5) cm, margins entire or shallowly dentate. <b>Cauline leaves:</b> (proximal shortly petiolate, distal usually sessile); blade narrowly elliptic or obovate, (0.5-)1-2.5(-4) cm, margins entire. <b>Racemes</b> compact, (± subumbellate to densely corymbiform, elongated or not). <b>Fruiting pedicels</b> (usually spreading at right angles, sometimes nearly erect, ± straight), 5-15(-20) mm, (stout). <b>Flowers:</b> sepals ± elliptic, 4.5-7(-8.5) mm, (median pair thickened apically); petals (sometimes white), suborbicular to obovate or obdeltate, 6.5-15 mm, (base narrowing to broad claw, apex sometimes emarginated). <b>Fruits</b> (sessile or shortly stipitate, less than 1 mm), subglobose to broadly ellipsoid, inflated or slightly compressed (terete or subterete), (4-)5-8(-9) mm; valves (not retaining seeds after dehiscence), glabrous; replum as wide as or wider than fruit; ovules 8-16 per ovary; style 4-8(-9) mm. <b>Seeds</b> flattened.",general,311E965F-AFCC-4F0A-B368-AC4274039D58,English,2010-03-14
wfo-0001266285,"<b>Perennials;</b> caudex branched; densely pubescent, trichomes (usually sessile, rarely short-stalked), several-rayed, rays furcate or bifurcate, (umbonate, tuberculate throughout). <b>Stems</b> several from base, usually prostrate, rarely decumbent, (unbranched, often purplish, sparsely pubescent), to 1.5 dm. <b>Basal leaves:</b> blade deltate, hastate, or, less often, rhombic to elliptic, 1-5 cm, margins entire (often partially involute). <b>Cauline leaves:</b> (proximal shortly petiolate); blade linear to oblanceolate, 0.5-1.5 cm, margins entire. <b>Racemes</b> loose, elongated. <b>Fruiting pedicels</b> (ascending, slightly sigmoid to straight), 5-10 mm. <b>Flowers:</b> sepals (often purplish), oblong, lanceolate, or ovate, 4-6 mm, (median pair thickened apically); petals spatulate or cuneate, 5-8(-9) mm, (margins undulate). <b>Fruits</b> ovoid or ellipsoid, slightly compressed, 3-5(-6) mm, (base often gibbous); valves pubescent, trichomes loose, furcate near their bases and spreading, sometimes sparsely pubescent inside; ovules 4(-8) per ovary; style 1.5-4 mm. <b>Seeds</b> flattened.",general,6E2C8DCA-2BA8-4C01-BF5B-41CDA6B0A21D,English,2010-03-14
wfo-0001266302,"<b>Annuals or, rarely, biennials;</b> with a taproot; densely pubescent, trichomes (simple or stellate, sessile or short-stalked), 4-7-rayed, rays usually furcate, rarely bifurcate, (nearly smooth to finely tuberculate). <b>Stems</b> several from base, decumbent to erect, (several-branched, frequently stout), 1.5-6 dm. <b>Basal leaves:</b> blade elliptic, (1.5-)3-6.5 cm, margins entire, repand, or shallowly dentate. <b>Cauline leaves:</b> (proximal shortly petiolate, distal sessile); blade linear to elliptic or obovate, (0.5-)1-3.5(-4.5) cm, margins entire or repand. <b>Racemes</b> loose. <b>Fruiting pedicels</b> (recurved, sigmoid), 5-15 mm. <b>Flowers:</b> sepals oblong, lanceolate, or elliptic, (3-)3.5-6(-7.5) mm, (lateral pair subsaccate, median pair thickened apically, cucullate); petals (yellow to orange), suborbicular or obovate, (5-)6.5-8(-11) mm, (narrowing gradually to broad claw, usually widened at base). <b>Fruits</b> (sessile or shortly stipitate), orbicular or obovoid, often slightly compressed, (3.5-)4-6 mm; valves sparsely pubescent, trichomes sessile and stellate, densely pubescent inside, trichomes simple or branched; ovules 4-12 per ovary; style 2-4.5 mm. <b>Seeds</b> flattened. <b>2<i>n</i></b> = 10, 20.",general,63B2A190-5EE2-4A56-BAFF-770A909BEB78,English,2010-03-14
wfo-0001266263,"<b>Perennials;</b> caudex branched; densely pubescent, trichomes (sessile or short-stalked), 4-6 -rayed, rays distinct, usually furcate, rarely bifurcate, (finely tuberculate throughout). <b>Stems</b> few or several from base, pros-trate to decumbent, (unbranched or branched), 0.5-1.5 dm. <b>Basal leaves:</b> blades orbicular to broadly obovate, 1.5-3 cm, margins usually entire, rarely remotely dentate. <b>Cauline leaves</b> (sessile or shortly petiolate); blade elliptic to oblanceolate, 1-1.5(-2.5) cm, margins entire, (apex obtuse). <b>Racemes</b> dense, (elongated in fruit). <b>Fruiting pedicels</b> (sharply recurved), 5-10 mm, (stout). <b>Flowers:</b> sepals ovate or oblong-elliptic, 5-5.5 mm, (lateral pair not saccate); petals cuneate or broadly obovate, ca. 7 mm, (sometimes slightly narrowed to a broad claw, apex sometimes retuse). <b>Fruits</b> subglobose to broadly obovoid, strongly inflated (often slightly angustiseptate), 5-7 mm, (papery); valves sparsely pubescent; (septum fenestrate, perforate, or obsolete); ovules 4-8 per ovary; style 2-3 mm. <b>Seeds</b> somewhat flattened.",general,E893DC8C-FC12-414F-955C-410A77B87EBA,English,2010-03-14
wfo-0001266257,"<b>Plants</b> prostrate, decumbent, or erect; trichomes with large tubercles throughout, ± flat across middle. <b>Basal leaves:</b> blade margins entire. <b>Racemes</b> not or somewhat secund, usually dense and compact, sometimes slightly elongated in fruit. <b>Fruiting pedicels</b> usually sigmoid. <b>Petals</b> usually yellow, sometimes cream-yellow, cream-white, or white. <b>Fruits</b> as wide as or longer than wide, apex rounded-acute; valves glabrous inside; septum complete; ovules 8-16 per ovary; style to 7 mm.",general,514A1A9E-D01C-4727-A52B-D94600CB93F4,English,2010-03-14
