taxonID,vernacularName,identifier,source,language,,,,,,,,,,,,,,,
wfo-7000000003,Achatocarpus Family,4689092E-FFFC-4324-AEE0-94591A6B6F3F,,,,,,,,,,,,,,2004-05-21,,,2004-03-19
wfo-7000000010,Fig-marigold Family,0136F7E0-3D61-4AF3-A423-31A3D14D01D8,,,,,,,,,,,,,,2004-05-21,,,2004-03-19
wfo-7000000012,Water-plantain or Arrowhead Family,0890E1AF-787F-4D5D-A875-4148B93CAD94,,,,,,,,,,,,,,2004-05-21,,,2009-09-16
wfo-7000000017,Amaranth Family,3812B05C-FE40-4A26-9A6C-1F83CEEF4346,,,,,,,,,,,,,,2004-05-21,,,2004-03-19
wfo-7000000031,Custard-apple family,A3287B44-F941-4F76-95EC-1A790BDBD311,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000040,Aponogeton or Cape-pondweed Family,2F51D785-0EAF-4B21-B532-A762C3019A3F,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000042,Arum Family,2C5DEB27-0669-4DC0-ADCC-C4D5413F997D,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000046,Palm Family,0B05EA44-ED57-4945-9D5C-886A76FEE702,,,,,,,,,,,,,,2004-05-21,,,2004-08-19
wfo-7000000048,Dutchman's-pipe Family,707C03DD-6A28-4FAD-A717-D2A0A58AD803,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000051,Spleenwort Family,D15489DC-12CB-46FE-BA83-FF1BF49C5F7D,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000066,Madeira-vine Family,C3A53D6C-5A2B-4BF2-AC81-71240D7C1A3F,,,,,,,,,,,,,,2004-05-21,,,2004-03-19
wfo-7000000069,Barberry Family,F9C93ED9-5B5A-4BD7-B9C0-B13EF6C54CE1,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000071,Birch Family,D09857FC-8598-4F1C-94B8-629E8C57EFDA,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000077,Chain Fern Family,B403D6D5-8706-45B3-8B18-6A8A7F28B626,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000084,Bromeliad or Pineapple Family,8804CB7F-F389-4FE1-9ADC-3A9EE1C3C88F,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000091,Burmannia Family,2BA4A963-8DD0-4CDB-B65A-3BFCCC144936,,,,,,,,,,,,,,2004-05-21,,,2003-06-12
wfo-7000000093,Flowering- Rrush Family,E1AA9582-A27C-4F41-AB7F-840D8DF1BBCD,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000097,Water-shield Family,3F2F76AE-3A47-4AAA-ADE5-092C03B2C311,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000098,Cactus Family,9C0C3542-493A-49FC-9A1D-AF1E6BB2FB2F,,,,,,,,,,,,,,2004-05-21,,,2004-03-19
wfo-7000000102,Strawberry Shrub Family,5C220729-95EC-4189-A05E-8EAAE88F0326,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-7000000108,Canella or Wild-Cinnamon Family,21AFD96D-D8E5-45F4-912E-90A58ECDBA4F,,,,,,,,,,,,,,2004-05-21,,,2004-05-18
wfo-7000000109,Hemp Family,71240207-A56D-4A10-83F0-02A7613B3AC6,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000110,Canna Family,EF3F311C-1B06-417D-BB97-ACE7A9C8FF7C,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000117,Pink Family,64BF66B3-2202-439C-BC9B-15B6127AA3EA,,,,,,,,,,,,,,2005-04-06,,,2005-04-06
wfo-7000000118,She-oak or Casuarina Family,B5FE6F6F-4A9C-4828-8887-185BC5C22E80,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000127,Hornwort Family,F3F5C00C-B411-484E-84BD-5906AC8F0ED2,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000145,Spiderwort Family,79E7BE20-8EAE-4DB1-AEB2-3679DDCAF0CD,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000163,Redwood or Cypress Family,D69D6D9F-874A-461F-B26F-F172300EB16E,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000168,Manatee-grass Family,0D33EB9E-06B7-4A95-9969-740BFA349EDF,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000170,Sedge Family,E79CF9A6-85D7-4A47-886E-4B3A376AA248,,,,,,,,,,,,,,2004-05-21,,,2003-02-14
wfo-7000000192,Yam Family,F1130F76-0ACD-42B9-8981-CE9069FD9EDC,,,,,,,,,,,,,,2004-05-21,,,2003-06-12
wfo-7000000205,Wood Fern Family,028D33B4-AA86-4A0F-82BF-8A1E1050B6C4,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000215,Mormon-tea or Joint-fir Family,4CBB2FBB-3043-4FD8-8632-FB91AB4FFA8A,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000217,Horsetail Family,D929040C-B892-4084-9A30-47355E70B7C1,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
wfo-7000000219,Pipewort Family,EAF19C44-8634-42B1-8287-6C79B2D19507,,,,,,,,,,,,,,2004-05-21,,,2004-01-23
