taxonID,description
wfo-0000511062,"""30(-40) m boyunda, piramitsi ağaçlar. Gövde kabuğu gri, pürüzsüz, ilerleyen yaşlarda derin pulsu çatlaklı; dallar sık, gövdeye dik, nadiren dar açılı; sürgünler sığ oluklu, tüylü veya tüysüz; tomurcuklar reçineli veya reçinesiz. Yapraklar 1-3(-3,5) × 0,1-0,2 cm, dar dikdörtgensi, yassı, üst yüzde açık yeşil, alt yüzde belirgin iki gözenek bantlı; ucu küt, sivri veya kertikli; tabanda burkuk. Erkek kozalak sürgünlerde yan durumlu, 1-1,5 cm uzunluğunda. Dişi kozalak taçdaki dalların bir yıl önceki sürgünleri üzerinde dik durumlu, silindirik ilâ dikdörtgenimsi, bol reçineli, (7-)12-15(-25) × 4-6 cm, başlangıçta yeşil, sonraları kırmızımsı-kahverengi, olgunlukta dağılıcı; bırakte pulların arasında, kısa, ucları dışarıdan görülmez; pullar odunsu, yelpazemsi. Tohumlar tersyumurtamsı ila üçgensi, 1-1,5 × 0,5 cm."""
wfo-0000511305,"""40(-50) m boyunda, piramitsi ağaçlar. Gövde kabuğu gri, pürüzsüz, ilerleyen yaşlarda ± çatlaklı; dallar sık, gövdeye dik açılı; sürgünler tüylü veya tüysüz; tomurcuklar reçineli veya reçinesiz. Yapraklar 1-3(-3,5) × 0,1-0,2 cm, dikdörtgensi, yassı, üst yüzde koyu yeşil, alt yüzde iki gözenek bantlı; ucu küt, sivri veya kertikli; tabanda belirgin burkuk. Erkek kozalak sürgünlerde yan durumlu, 10-17 × 3-5 mm. Dişi kozalak taçtaki dalların bir yıl önceki sürgünlerinde dik durumlu, silindirik ilâ dikdörtgenimsi, reçineli, (7-)10-16 × 3-5 cm, başlangıçta yeşil, sonraları kırmızı-kahverengi, olgunlukta dağılıcı; bırakte karpellerden uzun, uçları dışarı sarkar, geriye kıvrık; pullar odunsu, yelpazemsi. Tohumlar (8-)10-12 × 7-8 mm, kamamsı, geniş kanatlı; kanatlar 12-18 × 12-15 mm."""
wfo-0000350733,"""Dallanmış, kalın, rizomlara sahip bitkiler. Rizomlar 6-21 x 1-4,5 cm, uzun silindirimsi ilâ dar konimsi-silindirimsi, kahverengi, ıtırlı. Yapraklar 22-130 x 0,4-1,2 cm, distih, kılıcına, kılıçsı, keskin kenarlı, belirgin damarlı, genellikle tabanda kırmızımsı, ıtırlı. Çiçekdurumu sapı basık üçyüzlü, yaprak benzeri, 14-115 x 0,4-1,2 cm. Sıpata 28-82 x 0,7-1 cm, dik duruşlu, dökülmez, yapraklara benzer. Koçan 3,5-7,5 × 0,7-1,2 cm düz veya kıvrık, yukarı yönlü dar açılı, dar koniksi ilâ silindirik; ucu küt, yoğun çiçekli. Çiçekler erselik, bıraktesiz, sarımsı-yeşil ilâ hafifçe kahverengi. Tepal 6 adet, dikdörtgensi, 1,5-2,5 x 1-1,2 mm. Erkek organlar 6 adet; filâmentler 1,8-2,4 x 0,4-0,6 mm, şeritsi; anterler kırem ilâ kirli beyaz, 0,3-0,4 mm. Ginokeum 2-3,2 x 1,2-1,5 mm, terskonik ilâ dikdörtgensi, açık ilâ koyu yeşil; sitigma çok küçük, sapsız."""
wfo-0001109469,"""Rizomları sürünücü, tamamen kahverengi, parlak, dar mızraksı pullarla kaplı, (5-)15-30(-45) cm boyunda bitkiler. Yaprak 2 teleksi, (5-)15-30(- 45) × (1,5-)4-6(-10) cm, çıplak; yaprak sapı (1,5- )8-12(-20) cm uzunluğunda, kahverengi veya siyah renkli, parlak, çıplak. Telek 2-7 × 1-4 cm; telek sapı 0,3-3 cm uzunluğunda. Telekçik yelpaze şeklinde, (0,7-)1-2(-3,5) × (0,7-) 1-2,4(-3) cm, tabanda kamamsı, orta damarsız, 2-8 loplu; telekçik sapı (1-)2-5(16) mm. Soruslar geriye kıvrılan telekçik loplarının ucunda, 1 × 3 mm, kahverengi."""
wfo-0000755418,"""20-90 cm boyunda su bitkileri. Yapraklar suya batık veya su dışında; suya batık yapraklar şeritsi, 20-32 × 0,3- 0,8 cm; su dışındaki yapraklarda aya 4-12 × 0,7-3 cm, dar dikdörtgensi ilâ eliptik, tabanda kaideye doğru hafifçe kademeli olarak daralıcı; ucu küt; yaprak sapı 2-25 cm uzunluğunda. Çiçekdurumu suyun dışında. Çanakyapraklar 2-3 mm uzunluğunda, yuvarlak. Taç yapraklar pembe ilâ beyaz, 2-4 mm uzunluğunda, ucu küt. Başçıklar 0,5-1 mm uzunluğunda, küremsi. Sitilus 0,5-0,7 mm uzunluğunda, hafifçe geriye doğru kıvrık. Kapçıklar 1,5-2,5 mm uzunluğunda, tersyumurtamsı. Perikarpın yanları oldukça kalınlaşmış."""
wfo-0000755439,"""20-120 cm boyunda sucul bitkiler. Yapraklar genellikle suyun dışında; aya 5-19 × 2-9 cm, mızraksı ilâ eliptik, tabanda sapa doğru daralır; yaprak sapları 7-75 cm uzunluğunda, Çanak yapraklar 1,5-3 mm uzunluğunda. Taç yapraklar pembe, açık kırmızımsı, mavi veya beyaz, 4-7 mm uzunluğunda, ucu sipsivri. Başçıklar en çok 1 mm uzunluğunda, eliptik. Sitilus 0,5-1 mm uzunluğunda, hafifçe kıvrık. Kapçık 2-3 mm uzunluğunda, eliptik biçimde; perikarp yanlarda ince, şeffaf."""
wfo-0000759386,"""Çokyıllık, rizomlu sucul bitkiler. Gövde yaklaşık 15 cm, filiz üretmez. Yapraklar almaşlı, tamamen batık, sapsız, tek damarlı, 17-31 × 0,1-0,2 mm, şeritsi ilâ mızraksı, yaprak kını yaprak tabanına yapışık, kulaksı, yaklaşık 2 mm boyunda, inatçı. Çiçekdurumu tek tek, koltuklarda. Meyve saplı, eliptik, gagalı, 1,4- 1,6 mm uzunluğunda (gaga hariç); gaga meyve boyuna eşit veya biraz uzun."""
wfo-0001107896,"""İnce yapılı, 15 cm’e kadar uzayabilen biryıllık, kısa rizomlu bitkiler. Gametofit çokyıllık, böbreksi, iki loplu, 7-10 mm. Sporofit yaprağı yeşil-sarı renkli, çıplak; genç yapraklar böbrek şeklinde ve 3-5 loplu, 0,8 × 1 cm; olgun yapraklar 2 teleksi, 5-15 × 1-1,5(- 2) cm; yaprak sapı çıplak, 2,5-7 cm, alt kısımda koyu kahverengi-siyah, üst kısımda sarı-yeşil renkli. Telek az teleksi, çıplak, 0,5-2 × 0,5-1 cm, çatallı belirgin damarlı; telek sapı 1-2 mm. Telekçikler genellikle 2 loplu. Sorus turuncu renkli şerit halinde, teleklerin loplarının alt kısmında çok sayıda bir arada bulunur. İndizyum veya yalancı indizyum bulunmaz."""
wfo-0000260389,"""15-20 m boyunda (vatanında 50 m) ağaçlar. Gövde düz; göğüs yüksekliğindeki çapı 50-80 cm (vatanında 1,5 m); kabuğu koyu gri renkli, pullu; tepesi sütun şeklinde; uzun sürgünleri yatay şekilde ya da eğik. Yapraklar iki şekilli; ilki genç ağaçlar ile yan küçük sürgünlerde seyrek dizili, aralıklı yayılmış, parlak yeşil, ana eksenden uzakta mat yeşil, biz şeklinde, genellikle yanlara doğru basık, yukarı kıvrık, 6-12 mm uzunluğunda, 3 veya 4 çizgili; ikincisi yaşlı ağaçlar ile kozalaklı küçük sürgünlerde sık dizili, bazen seyrekçe, genişçe yumurtamsı ya da üçgenimsi yumurtamsı, hafifçe kıvrımlı, 5-9 mm, tabanı geniş, ucu sivri; orta damar kabarık veya değil; tepe noktası sivri değil. Erkek kozalaklar uçta, tek. Dişi kozalaklar küremsi, 8-12 × 7-11 cm; bazen uzun değil, geniş yapıda; bırakteler üçgensi, düz, keskin, yukarı kıvrık. Tohum elipsoyit, hafifçe düz, yan taraflarında kanatlı."""
wfo-0000547548,"""Çokyıllık otsu bitkiler. Depo kök silindirik, 1,5-3 cm çapında. Gövde dallanmış, olgunlukta yarı yatık, 5,6-7,5(- 16,4) × 0,2-0,3 cm. Yapraklar 1,2-2,4 × 1,3-2,1 cm, üçgenimsi veya yumurtamsı-üçgensi, boy/en oranı 0,8±0,2, üst ve alt yüzde kısa kaba tüylü, kenarda zayıf fırfırlı, bazen küt dişli, uçta sivri, küt veya mukrolu, tabanda yüreksi; kulakçık 0,6-0,8 × 0,6-0,8 cm; yaprak sapı 0,2-0,5 mm uzunluğunda. Çiçek yaprak koltuklarında tek; çiçek sapı 0,7-1,4 cm uzunluğunda, sık kısa kaba tüylü; çiçek örtüsü 4-6(-7,5) cm uzunlukta, kızıl-kahve, seyrek kısa kaba tüylü; odacık yumurtamsı, 0,5-0,8 × 0,5-0,7 cm; tüp dik veya nadiren L şeklinde kıvrık, 1,8-2,8 cm uzunluğunda, tabanda 0,2-0,25 cm, üstte 0,4-0,7 cm genişliğinde, boğazda 0,5-0,7 cm; aya yumurtamsı, 2-3,1 × 1,3-2,7 cm, küt- derin girintili veya mukronulat, kızıl-kahve, çoğunlukla boğaza doğru bej-sarı benekli, uzun ve beyaz seyrek veya sık kısa kaba tüylü; kulakçık belirgin, yumurtamsı-dikdörtgensi, 0,7-1,2 × 0,5-1 cm, seyrek beyaz kısa kaba tüylü. Ginostemiyum 0,2 × 0,3 cm. Meyve üstten açılan perdeli kapsül, küre şeklinde, 2,8 × 3 cm."""
