taxonID,vernacularName,identifier,family,scientificName,scientificNameAuthorship
wfo-0000511062,Toros göknarı,vrn-0000511062,Pinaceae,Abies cilicica,(Antoine & Kotschy) Carrière
wfo-0000511305,Kafkas göknarı,vrn-0000511305,Pinaceae,Abies nordmanniana,(Steven) Spach
wfo-0000350733,Eğirotu,vrn-0000350733,Acoraceae,Acorus calamus,L.
wfo-0001109469,Baldırıkara,vrn-0001109469,Pteridaceae,Adiantum capillus-veneris,L.
wfo-0000755418,İnce çobandüdüğü,vrn-0000755418,Alismataceae,Alisma gramineum,Lej.
wfo-0000755439,Kurbağakaşığı,vrn-0000755439,Alismataceae,Alisma lanceolatum,With.
wfo-0000759386,Altanya,vrn-0000759386,Potamogetonaceae,Althenia orientalis,(Tzvelev) García-Mur. & Talavera
wfo-0001107896,Maydanozeğreltisi,vrn-0001107896,Pteridaceae,Anogramma leptophylla,(L.) Link
wfo-0000260389,Salon arokaryası,vrn-0000260389,Araucariaceae,Araucaria heterophylla,(Salisb.) Franco
wfo-0000547548,Keditaşağı,vrn-0000547548,Aristolochiaceae,Aristolochia auricularia,Boiss.
wfo-0000547567,Kargakeleği,vrn-0000547567,Aristolochiaceae,Aristolochia baseri,Malyer & Erken
wfo-0000547578,Kargakavunu,vrn-0000547578,Aristolochiaceae,Aristolochia billardieri,Jaub. & Spach
wfo-0000547591,Köpektaşağı,vrn-0000547591,Aristolochiaceae,Aristolochia bottae,Jaub. & Spach
wfo-0000547603,Çetükotu,vrn-0000547603,Aristolochiaceae,Aristolochia brevilabris,Bornm.
wfo-0000547663,Köpekyamşağı,vrn-0000547663,Aristolochiaceae,Aristolochia cilicica,P.H.Davis & Khan
wfo-0000547670,Lohusaotu,vrn-0000547670,Aristolochiaceae,Aristolochia clematitis,L.
wfo-0000547819,Zılındar,vrn-0000547819,Aristolochiaceae,Aristolochia geniculata,E.Nardi
wfo-0000547859,Çobandüdüğü,vrn-0000547859,Aristolochiaceae,Aristolochia guichardii,P.H.Davis & Khan
wfo-0000547879,Yılanotu,vrn-0000547879,Aristolochiaceae,Aristolochia hirta,L.
wfo-0000547902,Kocakokorot,vrn-0000547902,Aristolochiaceae,Aristolochia iberica,Fisch. & C.A.Mey. ex Boiss.
wfo-0000547906,Kargadüveleği,vrn-0000547906,Aristolochiaceae,Aristolochia incisa,Duchartre
wfo-0000547949,Kargatopalağı,vrn-0000547949,Aristolochiaceae,Aristolochia krausei,P.H.Davis
wfo-0000548018,Kargakavuğu,vrn-0000548018,Aristolochiaceae,Aristolochia lycica,P.H.Davis & Khan
wfo-0000548049,Kargabardağı,vrn-0000548049,Aristolochiaceae,Aristolochia maurorum,L.
wfo-0000548152,Kundurcınık,vrn-0000548152,Aristolochiaceae,Aristolochia paecilantha,Boiss.
wfo-0000548153,Sarıcaotu,vrn-0000548153,Aristolochiaceae,Aristolochia pallida,Willd.
wfo-0000548174,Kedikirpiği,vrn-0000548174,Aristolochiaceae,Aristolochia parvifolia,Sm.
wfo-0000548216,Dulcikdibi,vrn-0000548216,Aristolochiaceae,Aristolochia poluninii,P.H.Davis & Khan
wfo-0000548220,Gangırdak,vrn-0000548220,Aristolochiaceae,Aristolochia pontica,Lam.
wfo-0000548277,Zeraventotu,vrn-0000548277,Aristolochiaceae,Aristolochia rotunda,L.
wfo-0000548321,Sarıasma,vrn-0000548321,Aristolochiaceae,Aristolochia sempervirens,L.
wfo-0000548361,Kargakulağı,vrn-0000548361,Aristolochiaceae,Aristolochia stenosiphon,P.H.Davis & Khan
wfo-0000278225,Yılanyarpuzu,vrn-0000278225,Araceae,Arum concinnatum,Schott
wfo-0000278374,Adamancarı,vrn-0000278374,Araceae,Arum creticum,Boiss. & Heldr.
wfo-0000278549,Tirşikpancarı,vrn-0000278549,Araceae,Arum dioscoridis,Sm.
wfo-0000278949,Nivik,vrn-0000278949,Araceae,Arum euxinum,R.R.Mill
wfo-0000279256,Ayımarlı,vrn-0000279256,Araceae,Arum hygrophilum,Boiss.
wfo-0000279961,Yılanekmeği,vrn-0000279961,Araceae,Arum maculatum,L.
wfo-0000281480,Kıbrıs yılanyastığı,vrn-0000281480,Araceae,Arum sintenisii,(Engl.) P.C.Boyce
wfo-0000550828,Afşarotu,vrn-0000550828,Aristolochiaceae,Asarum europaeum,L.
wfo-0001109303,Karasaçakotu,vrn-0001109303,Aspleniaceae,Asplenium adiantum-nigrum,L.
wfo-0001115845,Karabacak,vrn-0001115845,Aspleniaceae,Asplenium haussknechtii,Godet & Reut. ex Milde
wfo-0001109353,Duvarsaçağı,vrn-0001109353,Aspleniaceae,Asplenium ruta-muraria,L.
wfo-0001042203,Tekedili,vrn-0001042203,Aspleniaceae,Asplenium sagittatum,(DC.) Bange
wfo-0001110391,Geyikdili,vrn-0001110391,Aspleniaceae,Asplenium scolopendrium,L.
wfo-0001109358,Devesakalı,vrn-0001109358,Aspleniaceae,Asplenium septentrionale,(L.) Hoffm.
wfo-0001109364,Saçakotu,vrn-0001109364,Aspleniaceae,Asplenium trichomanes,L.
wfo-0001109866,Yeşilbaldırıkara,vrn-0001109866,Aspleniaceae,Asplenium viride,Huds.
wfo-0001120024,Dağyeli,vrn-0001120024,Athyriaceae,Athyrium alpestre,(Hoppe) Clairv.
wfo-0001107233,Yeleğreltisi,vrn-0001107233,Athyriaceae,Athyrium filix-femina,(L.) Roth
wfo-0001109620,Kızıleğrelti,vrn-0001109620,Salviniaceae,Azolla filiculoides,Lam.
wfo-0000761108,Sutopuzu,vrn-0000761108,Alismataceae,Baldellia ranunculoides,(L.) Parl.
wfo-0000339004,Urfa yılanpancarı,vrn-0000339004,Araceae,Biarum aleppicum,J.Thiébaut
wfo-0000339071,Yılanpancarı,vrn-0000339071,Araceae,Biarum bovei,Blume
wfo-0000339203,Kardi,vrn-0000339203,Araceae,Biarum carduchorum,(Schott) Engler
wfo-0000339247,Eğri yılanpancarı,vrn-0000339247,Araceae,Biarum crispulum,(Schott) Engl.
wfo-0000339313,Güdük yılanpancarı,vrn-0000339313,Araceae,Biarum ditschianum,Bogner & Boyce
wfo-0000339324,Adanapancarı,vrn-0000339324,Araceae,Biarum eximium,(Schott & Kotschy) Engler
wfo-0000339505,Ağukınası,vrn-0000339505,Araceae,Biarum pyrami,(Schott) Engler
wfo-0000339611,Arapsucukotu,vrn-0000339611,Araceae,Biarum syriacum,(Spreng.) H.Riedl
wfo-0000339715,Sucukotu,vrn-0000339715,Araceae,Biarum tenuifolium ssp. zelebori,(Schott) P.C.Boyce
wfo-0001109054,Gazaldili,vrn-0001109054,Ophioglossaceae,Botrychium lunaria,(L.) Sw.
wfo-0000762573,Bataklıkgülü,vrn-0000762573,Butomaceae,Butomus umbellatus,L.
wfo-0000599456,Yalancıservi,vrn-0000599456,Cupressaceae,Chamaecyparis lawsoniana,(A.Murray bis) Parl.
wfo-0000599479,Japonservisi,vrn-0000599479,Cupressaceae,Chamaecyparis pisifera,(Sieb. &Zucc.) Endl.
wfo-0000810804,Antep mahrutu,vrn-0000810804,Colchicaceae,Colchicum antepense,K.Perss.
wfo-0000763823,Yırtıkçiğdem,vrn-0000763823,Colchicaceae,Colchicum atticum,Spruner ex Tomm.
wfo-0000763829,Uzazuza,vrn-0000763829,Colchicaceae,Colchicum balansae,Planch.
wfo-0000763830,Güzçiğdemi,vrn-0000763830,Colchicaceae,Colchicum baytopiorum,C.D.Brickell
wfo-0000763837,Öksüzoğlan,vrn-0000763837,Colchicaceae,Colchicum bivonae,Guss.
wfo-0000763839,Sürincan,vrn-0000763839,Colchicaceae,Colchicum boissieri,Orph.
wfo-0000763849,Tüylü mahrut,vrn-0000763849,Colchicaceae,Colchicum burttii,Meikle
wfo-0000805565,Yeşil sürincan,vrn-0000805565,Colchicaceae,Colchicum chlorobasis,K.Perss.
wfo-0000763867,Ayıçiğdemi,vrn-0000763867,Colchicaceae,Colchicum cilicicum,(Boiss.) Dammer
wfo-0000763880,Urfa mahrutu,vrn-0000763880,Colchicaceae,Colchicum crocifolium,Boiss.
wfo-0000763883,Ağuçiğdemi,vrn-0000763883,Colchicaceae,Colchicum davisii,C.D.Brickell
wfo-0000763884,Göçkovan,vrn-0000763884,Colchicaceae,Colchicum decaisnei,Boiss.
wfo-0000763889,Hatay mahrutu,vrn-0000763889,Colchicaceae,Colchicum dolichantherum,K.Perss.
wfo-0000810850,Yırtık sürincan,vrn-0000810850,Colchicaceae,Colchicum figlalii,(Varol) Parolly & Eren
wfo-0000763916,Çayır mahrutu,vrn-0000763916,Colchicaceae,Colchicum heldreichii,K.Perss.
wfo-0000763920,Şarşatkovan,vrn-0000763920,Colchicaceae,Colchicum hirsutum,Stef.
wfo-0000763928,İnce sürincan,vrn-0000763928,Colchicaceae,Colchicum inundatum,K.Perss.
wfo-0000763935,Acıçiğdem,vrn-0000763935,Colchicaceae,Colchicum kotschyi,Boiss.
wfo-0000763936,Yırtık mahrut,vrn-0000763936,Colchicaceae,Colchicum kurdicum,(Bornm.) Stef.
wfo-0000810859,Has mahrut,vrn-0000810859,Colchicaceae,Colchicum lagotum,K.Perss.
wfo-0000763943,İtkesen,vrn-0000763943,Colchicaceae,Colchicum leptanthum,K.Perss.
wfo-0000763954,Mahrut,vrn-0000763954,Colchicaceae,Colchicum macrophyllum,B.L.Burtt
wfo-0000810870,İtboğan,vrn-0000810870,Colchicaceae,Colchicum manissadjianii,(Azn.) K.Perss.
wfo-0000763957,Baba mahrutu,vrn-0000763957,Colchicaceae,Colchicum micaceum,K.Perss.
wfo-0000763958,Narin acıçiğdem,vrn-0000763958,Colchicaceae,Colchicum micranthum,Boiss.
wfo-0000763960,Çiçi çiçeği,vrn-0000763960,Colchicaceae,Colchicum minutum,K.Perss.
