taxonID,description,type,source,identifier,reference,license
wfo-0000513605,A soft-wooded shrub,morphology,urn:kew.org:fwta:spec:desc:1,urn:lsid:ipni.org:names:44821-1,,
wfo-0000513605,Funnel-shaped white flowers.,morphology,urn:kew.org:fwta:spec:desc:2,urn:lsid:ipni.org:names:44821-1,,
wfo-0000513837,An erect almost unbranched plant with fleshy stem up to 6 ft. high,morphology,urn:kew.org:fwta:spec:desc:3,urn:lsid:ipni.org:names:44868-1,,
wfo-0000513865,"Plant up to 6 ft. high, stems woody, sparsely branched",morphology,urn:kew.org:fwta:spec:desc:5,urn:lsid:ipni.org:names:44894-1,,
wfo-0000513865,"Leaves dark glossy green above, paler beneath, papery, scabrid bracts and calyx-lobes whitish with green veins",morphology,urn:kew.org:fwta:spec:desc:6,urn:lsid:ipni.org:names:44894-1,,
wfo-0000520469,A climbing shrub,morphology,urn:kew.org:fwta:spec:desc:8,urn:lsid:ipni.org:names:44995-1,,
wfo-0000520469,"Finely rusty-pubescent on the young parts, becoming glabrous",morphology,urn:kew.org:fwta:spec:desc:9,urn:lsid:ipni.org:names:44995-1,,
wfo-0000520469,Fairly large leaves,morphology,urn:kew.org:fwta:spec:desc:10,urn:lsid:ipni.org:names:44995-1,,
wfo-0000520469,White flowers about 3/4 in. long in interrupted spikes forming a panicle,morphology,urn:kew.org:fwta:spec:desc:11,urn:lsid:ipni.org:names:44995-1,,
wfo-0000520469,Fruits 1 in. long.,morphology,urn:kew.org:fwta:spec:desc:12,urn:lsid:ipni.org:names:44995-1,,
wfo-0000520470,"Erect, little-branched shrub up to 6 ft. high with brown-pilose stem and petioles",morphology,urn:kew.org:fwta:spec:desc:13,urn:lsid:ipni.org:names:44996-1,,
wfo-0000520470,"Leaves glabrescent above, softly hairy beneath",morphology,urn:kew.org:fwta:spec:desc:14,urn:lsid:ipni.org:names:44996-1,,
wfo-0000520470,Corolla pure white or white with crimson markings,morphology,urn:kew.org:fwta:spec:desc:15,urn:lsid:ipni.org:names:44996-1,,
wfo-0000520514,Tall herb or undershrub 3-4 ft. high,morphology,urn:kew.org:fwta:spec:desc:17,urn:lsid:ipni.org:names:45034-1,,
wfo-0000520514,Yellow-green flowers  dull purple stripes on the upper lip and purple markings on the lower lip,morphology,urn:kew.org:fwta:spec:desc:18,urn:lsid:ipni.org:names:45034-1,,
wfo-0000520534,A climbing shrub like the last (Adhatoda buchholzii),morphology,urn:kew.org:fwta:spec:desc:20,urn:lsid:ipni.org:names:45054-1,,
wfo-0000520534,"Interrupted simple spikes of flowers 1 in. long, white  purple spots.",morphology,urn:kew.org:fwta:spec:desc:21,urn:lsid:ipni.org:names:45054-1,,
wfo-0000520552,A shrub about 12 ft. high,morphology,urn:kew.org:fwta:spec:desc:22,urn:lsid:ipni.org:names:45075-1,,
wfo-0000520552,Tawny-pubescent on the young parts,morphology,urn:kew.org:fwta:spec:desc:23,urn:lsid:ipni.org:names:45075-1,,
wfo-0000520552,Rather large leaves,morphology,urn:kew.org:fwta:spec:desc:24,urn:lsid:ipni.org:names:45075-1,,
wfo-0000520552,Flowers 1/2 in. long in long close spikes with strongly-nerved bracts.,morphology,urn:kew.org:fwta:spec:desc:25,urn:lsid:ipni.org:names:45075-1,,
wfo-0000520576,A shrub or small tree up to 16 ft. high,morphology,urn:kew.org:fwta:spec:desc:26,urn:lsid:ipni.org:names:45098-1,,
wfo-0000520576,Brownish-velvety tomentose on the young parts,morphology,urn:kew.org:fwta:spec:desc:27,urn:lsid:ipni.org:names:45098-1,,
wfo-0000520576,Large shining leaves,morphology,urn:kew.org:fwta:spec:desc:28,urn:lsid:ipni.org:names:45098-1,,
