wfo_ID,Hábito,Familia,Nombre,Autor,Pub.,BibliographicCitation,url
wfo-1200030165,Hierba perenne,Acanthaceae,Dyschoriste humilis, (Nees) Lindau,"Bot. Jahrb. Syst. 19(4): 15, 1894.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/dyschoriste-humilis
wfo-0000658315,Hierba perenne,Acanthaceae,Dyschoriste hygrophiloides, (Nees) Kuntze,"Revis. Gen. Pl. 2: 486, 1891.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/dyschoriste-hygrophiloides
wfo-0000726781,Hierba perenne,Acanthaceae,Hygrophila costata, Nees & T.Nees,"Pl. Hort. Bonn. Icon. 7, t. 3, 1824.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/hygrophila-costata
wfo-0000726797,Hierba perenne,Acanthaceae,Hygrophila guianensis, Nees,"London J. Bot. 4: 634, 1845.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/hygrophila-guianensis
wfo-0001043972,Hierba perenne,Acanthaceae,Justicia axillaris, (Nees) Lindau,"Nat. Pflanzenfam. [Engler & Prantl] 4(3b): 350, 1895.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/justicia-axillaris
wfo-0000354453,Hierba perenne,Acanthaceae,Justicia comata, (L.) Lam.,"Encycl. [J. Lamarck & al.] 1(2): 632, 1785.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/justicia-comata
wfo-0000355947,Hierba perenne,Acanthaceae,Justicia laevilinguis, (Nees) Lindau,"Bot. Jahrb. Syst. 19(4): 20, 1894.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/justicia-laevilinguis
wfo-0001044021,Hierba perenne,Acanthaceae,Justicia oblonga, (Nees) Lindau,"Nat. Pflanzenfam. [Engler & Prantl] 4(3b): 350, 1895.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/justicia-oblonga
wfo-0001044033,Hierba perenne,Acanthaceae,Justicia polygaloides, (S.Moore) Lindau,"Bull. Herb. Boissier 2(3): 633, 1933.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/justicia-polygaloides
wfo-0001045381,Hierba perenne,Acanthaceae,Ruellia hygrophila, Mart.,"Flora 24(2): 65, 1841.","Marchesi, E., Mailhos, A., & Bonifacino, J. M. (2026). Flora Uruguaya: Flora Vascular del Uruguay. ISSN 3121-2050, V. 1.3. [Data set]. Zenodo. https://doi.org/10.5281/zenodo.20547117",https://florauruguaya.org/taxonomias/ruellia-hygrophila
