taxonID,description,type,language,contributor,audience,rightsHolder,creator,source,rights,license
wfo-0000000587,"répandu en Afrique tropicale et à Madagascar, y compris la République démocratique du Congo et l’Angola ; au Gabon, connu d’une seule récolte, de l’Ogooué-Maritime.",distribution,fre,,,,,ref-Gbn-0000000587,,
wfo-0000001172,"Cameroun, République du Congo, République démocratique du Congo, Tanzanie, Angola, Zambie et Zimbabwe ; au Gabon, connu du Haut-Ogooué (Parc national des Plateaux Batéké).",distribution,fre,,,,,ref-Gbn-0000001172,,
wfo-0000003652,"connu du Gabon, de la République du Congo, de la République démocratique du Congo, de la Tanzanie et de la Zambie ; au Gabon, présent au Haut-Ogooué.",distribution,fre,,,,,ref-Gbn-0000003652,,
wfo-0000009302,"répandu en Afrique tropicale et en Asie, introduit en Amérique du Sud ; au Gabon, signalé dans l’Ogooué-Maritime (voir la Note).",distribution,fre,,,,,ref-Gbn-0000009302,,
wfo-0000009712,"répandu en Afrique tropicale et subtropicale, notamment au Nigéria, au Cameroun, en République Centrafricaine, à Sao Tomé-et-Principe, en Guinée équatoriale et en République du Congo ; au Gabon, connu de l’Estuaire, de la Ngounié, de l’Ogooué-Ivindo, de l’Ogooué-Lolo et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000009712,,
wfo-0000010343,"Afrique de l’Ouest et du Centre-Ouest, y compris le Nigéria, la République Centrafricaine et la République démocratique du Congo ; également en Asie du Sud-Est ; au Gabon, connu d’un seul échantillon ancien de l’Ogooué-Ivindo.",distribution,fre,,,,,ref-Gbn-0000010343,,
wfo-0000011387,"répandu en Afrique tropicale, y compris le Nigéria, le Cameroun, la République du Congo, la République démocratique du Congo, la République Centrafricaine et en Angola ; au Gabon, connu du Haut-Ogooué, de l’Ogooué-Ivindo, de l’Ogooué-Lolo et de l’Ogooué-Maritime.",distribution,fre,,,,,ref-Gbn-0000011387,,
wfo-0000012549,"originaire des Néotropiques, largement naturalisé en Afrique, y compris le Nigéria, le Cameroun, Sao Tomé-et-Principe, la Guinée équatoriale, la République du Congo, la République démocratique du Congo, la République Centrafricaine et l’Angola ; au Gabon, connu de l’Estuaire, du Moyen-Ogooué, de la Ngounié, de la Nyanga, de l’Ogooué-Ivindo, de l’Ogooué-Maritime et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000012549,,
wfo-0000012638,"du Nigéria au Soudan et en Éthiopie et vers le nord jusqu’en Égypte, au sud en Angola, en Zambie et au Malawi ; y compris le Nigéria, le Cameroun, la République du Congo, la République démocratique du Congo et la République Centrafricaine ; au Gabon, connu du Haut-Ogooué.",distribution,fre,,,,,ref-Gbn-0000012638,,
wfo-0000012703,"en République du Congo et République démocratique du Congo ; au Gabon, connu de la Nyanga et de l’Ogooué-Ivindo.",distribution,fre,,,,,ref-Gbn-0000012703,,
wfo-0000012752,"répandu en Afrique tropicale et à Madagascar, y compris le Nigéria, le Cameroun, Sao Tomé-et-Principe, la République démocratique du Congo et l’Angola ; au Gabon, connu d’un seul échantillon ancien, sans localité précise.",distribution,fre,,,,,ref-Gbn-0000012752,,
wfo-0000014938,"pantropical ; dans la plupart des pays africains, dont le Nigéria, le Cameroun, Sao Tomé-et-Principe, la Guinée équatoriale, la République du Congo, la République démocratique du Congo, la République Centrafricaine et l’Angola ; au Gabon, connu de l’Estuaire, du Haut-Ogooué, du Moyen-Ogooué, de la Ngounié, de l’Ogooué-Ivindo, de l’Ogooué-Lolo, de l’Ogooué-Maritime et du Woleu-Ntem.",distribution,fre,,,,,ref-Gbn-0000014938,,
wfo-0000017704,"pantropicale, en Afrique de l’Ouest et du Centre-Ouest, y compris le Nigéria, Sao Tomé-et-Principe et la République démocratique du Congo ; au Gabon, connu de l’Estuaire, du Haut-Ogooué, de l’Ogooué-Lolo et de l’Ogooué-Maritime.",distribution,fre,,,,,ref-Gbn-0000017704,,
