taxonID,description,type,language,contributor,audience,rightsHolder,creator,source,rights,license
wfo-7000000534,"ENTRENOEUDS, EPINES ET CROCHETS Les entrenoeuds cylindriques ou quadrangulaires sont parfois modifiés par des myrmécodomaties ou cavités médullaires habitées par des fourmis (Rothmannia, Cuviera, Canthium, Vangueriopsis, Nauclea, Heinsia). Les noeuds ou même les entrenoeuds peuvent émettre des racines adventives, soit au niveau du sol (lianes rampantes), soit dans un terreau epiphyte souvent retenu par les stipules. Il n'y a jamais de vrilles, mais parfois des épines (Xeromphis, Gardenia, Didymosalpynx, Cuviera, Canthium, Vangueria, Plec-troniella, Rutidea) ou des crochets (Uncaria). FEUILLES, STIPULES ET GLANDES SOUS-STIPULAIRES Les feuilles sont simples et entières (le remarquable et très archaïque genre Pentagonia d'Amérique fait exception), opposées décussées, jamais subopposées, parfois verticillées (Fadogia, Temnocalyx, Adina, Pausinystalia, Schumanniophyton). Les feuilles sont parfois inégales dans une même paire (anisophyllie): des réductions unilatérales très fortes ou même totales s'observent dans le genre Pseudosabicea. Le limbe n'est jamais denté mais la marge est finement denticulée chez certains Lasianthus. La nervation du limbe est de type penné. Des domaties foliaires sont fréquentes aux aisselles de certaines nervures dans de nombreux genres; elles ne sont pas absolument constantes chez toutes les espèces d'un même genre ni dans toutes le populations d'une même espèce. Des galles d'origine bactérienne se rencontrent dans certains genres (Pavetta, Tricalysia, Psychotria). Les bactéries qu'elles contiennent sont totalement intégrées à la plante; elle sont présentes dans la graine et se perpétuent d'une génération à l'autre à travers la reproduction sexuée. Ces galles présentent des formes spécifiques et sont d'un grand intérêt pour la systématique. Le pétiole est rarement nul et présente le plus souvent un canal adaxial; les bords du canal qui sont en continuité avec les marges du limbe, sont en outre parfois connées aux stipules (Hédyotidées). Les stipules interpétiolaires sont toujours présentes, réduites ou développées, parfois caduques, uni, bi ou multidentées, parfois soudées en ochréa à l'intérieur des pétioles (Gardenia, Gaertnera, Bertiera). Les stipules, de même que les lobes calycinaux, présentent toujours vers leur base, en position interne ou latérale, des organes glandulaires qui secrètent des cérides; ces cérocystes sont généralement accompagnés de poils épidermiques. Devenus inutiles après le développement des organes qu'ils accompagnent, les cérocystes subsistent sous forme de petits denticules aigus noirs ou brunâtres. II n'existe pas de latex chez les Rubiaceae, mais les plaies peuvent exsuder certaines gommes. OXALATE DE CALCIUM L'oxalate de calcium est extrêmement fréquent, sinon même constant chez les Rubiaceae. Il se présente sous des formes cristallisées variables telles que macles, oursins ou raphides. Les raphides semblent prédominer chez les Rubiaceae herbacées (Hédyotidées, Spermacocées, Rubiées), mais des arbustes et des arbrisseaux en sont aussi pourvus (Psychotriées, Morindées, Urophyllées, Cratérispermées). La constance des raphides au niveau des tribus citées et de quelques autres a été retenue par certains auteurs pour distinguer une sous-famille des Rubioïdées, pourvue de raphides, d'une sous-famille des Cinchonoïdées dans laquelle l'oxalate n'est connu que sous forme de macles ou d'orsins (tribus des Naucléées, Cinchonées, Mussaendées, Gardéniées; Ixorées, Vanguériées etc.) Malgré l'opinion de Verdcourt ( Bull. J. R. Brux. 28 1958 ), cette division de base n'a pas été suivie, dans la présente flore. INFLORESCENCES Les inflorescences sont de types variés, terminales, subterminales ou axillaires; elles peuvent être uni, pauci ou multiflores et se présenter en cymes, panicules, grappes (généralement composées de cymes contractées, très rarement simples par appauvrissement des cymes latérales comme chez Bertiera Chevalieri), glo-mérules ou capitules; ces derniers sphériques ou non, syncarpiques ou non, avec ou sans involucre. La cauliflorie est assez rare (Slelecantha cauliflora, Ecpoma geanthum). Les bractées florales sont recaulescentes ou non, vestigielles ou protectrices (Mitragyna rubrostipulâta, Cuviera Letestui), attractives ou non. Les bractées sont parfois absentes à certaines ramifications inflorescentielles (quelques Sabicea) ou entre les fleurs de certains capitules (Burtt-davya, Breonia). L'involucre de certaines espèces est formé de pièces libres ou soudées entre elles; il se développe habituellement à partir des préfeuilles portées par le pédoncule de l'inflorescence (Sabicea, Stipularia, Cephaelis). FLEURS, PERIANTHE ET ANDROCEE Les fleurs sont hermaphrodites, très rarement unisexuées ou polygames. Elles peuvent être toutes semblables (isostylie) ou de deux types différents (hétérostylie): les fleurs à filets staminaux longs et à style court sont dites brévistyles; les fleurs à filets staminaux courts et à style long sont dites longistyles. Ces deux types floraux se présentent toujours sur des pieds différents, et la fécondation ne peut s'effectuer que par pollinisation croisée entre ces deux types de pieds. Le réceptacle est enveloppant et soudé à l'ovaire, d'où la position infère de ce dernier par rapport au périanthe. Calice gamosépale à (3)4-5(8) lobes d'aspect variable, égaux ou non, parfois très réduits à nuls, ou au contraire plus ou moins foliacés, imbriqués, contortés ou espacés. Un ou plusieurs sépales foliacés peuvent avoir un développement important et jouer un rôle attractif par leur couleur voyante (Mussaendées, plusieurs genres). Corolle gamopétale actinomorphe, très rarement ± zygo-morphe (Posoqueria en Amérique), parfois à tube i coudé (Chas-salia) ou courbé. Nombre de lobes de 3 à 10, ordinairement 4-5; préfloraison souvent contortée ou valvaire, parfois valvaire indupliquée, plus rarement quinconciale. Les lobes ou pétales sont ± réfléchis ou courbés extérieurement à l'anthèse, étalés ou parfois érigés. Le tube peut être long (jusqu'à 20 cm chez certaines Gardéniées)ou ± court, charnu ou non. Pilosité interne variable, parfois discontinue en zones annulaires ou en bandes verticales; poils ± abondants, ± fins, dressés ou rabattus, parfois fournis et saillants au dessus de la gorge. Les étamines sont en même nombre que les pétales; les filets sont soudés entre ces derniers. Les anthères sont situées à une hauteur variable, soit incluses, à un niveau ± bas dans le tube, soit exsertes, avec des filets de longueur très variable. L'anthère est introrse, basi ou dorsifixe, ± oblongue, parfois sagittée, à 2 loges bilocellées longitudinalement, rarement multilocellées tranversalement (Dictyandra et, en Amérique, Isertia). Sous l'insertion des filets et dans la partie étroite du tube, on rencontre dans certains genres, des fentes en boutonnières interpétalaires accompagnées, sur une petite longueur, d'un décollement des filets eux-mêmes. POLLEN Dans le cas général, le pollen se présente en grains simples isopolaires à 3 apertures de type colporus (sillons longitudinaux n'atteignant pas les pôles, avec un pore médian). Diverses exceptions sont à signaler: Sillons sans pores apparents: Rubia, Borreria. Pores sans sillons: Vanguériées, Psychotriées, Craterispermum, Mussaenda, Stipularia. Apertures nombreuses (leur nombre varie en fait de 2 à 25): les plus grands nombres ont été rencontrés chez des Spermacocées. Pollen en tétrades tétraédriques: Oxyanthus, Macrosphyra, Gardenia et divers genres appartenant tous à la tribu des Gardéniées. Pollen en polyades (ou massules): Massularia. Le diamètre équatorial des grains varie de (12)16 à 40 (100) µ. L'exine est ordinairement ornée de réticules, de granules ou de ponctuations. GYNECEE Disque annulaire charnu, petit ou± volumineux, rarement fendu en deux lobes (Virectaria mulliflora). Style allongé, unique, de longueur variable chez les espèces hétérostyles, généralement étroit, remarquablement épaissi à un certain niveau chez quelques Cuviera, glabre ou pubescent. Le stigmate est ± massif chez les Gardéniées, calyptréiforme chez les Vanguériées et chez Mitragyna, souvent ± lobé; les lobes peuvent être claviformes, spatulés ou effilés. Chaque lobe stigmatique correspond au sommet d'une feuille carpellaire; il y a donc en pratique autant de loges d'ovaire que de lobes, sauf dans le cas de certaines Gardéniées à ovaire non cloisonné. Les papilles stigmatiques sont ± localisées sur le stigmate, disposées en taches (Uncaria, Nauclea) ou surfaces ± nettement délimitées. La surface papillifère des lobes peut être limitée à la face interne (Bertiera) ou s'étaler ± largement sur les côtés de chaque lobe. Ovaire fondamentalement infère, très exceptionnellement supère (Gaertnera et, en Amérique, Pagamea) et jamais alors très distinctement avant la nouaison. L'ovaire est sphérique, conique ou oblong, parfois orné de côtes méridiennes. Les placentas, masses charnues porteuses d'ovules et généralement assez distinctes des cloisons ou des parois de l'ovaire, sont issus des marges des feuilles carpellaires. Ces dernières,pièces élémentaires de l'ovaire, peuvent être largement déployées et former un ensemble uniloculaire à placentation pariétale (Gardenia, Calochone, Polycoryne), ou ± enroulées et refermées sur elles-mêmes d'où une placentation axile qui est réalisée chez la majorité des genres. La masse placentaire s'individualise parfois du fait du rétrécissement de son attache; le placenta est alors pelté: le pied est souvent une mince lame verticale, parfois un stipe grêle (diverses Hédyotidées); il peut être ascendant (Oldenlandia Pl. 11 fig. 3-5 ) ou descendant (Pseudosabicea Mildbraedii Pl. 24 fig. 14 ). Dans la plupart des genres l'ovaire se compose de deux feuilles carpellaires, il est donc biloculaire. On trouve 3, 4 ou 5 loges et plus rarement jusqu'à 12 loges (Lasianthus). Il y a parfois des cloisons supplémentaires incomplètes entre les sommets de placentas bilobés ou fendus en V (Pauridiantha, Stelecantha). Les ovules sont en nombre variable dans chaque loge; ils sont le plus souvent soit solitaires soit en grand nombre. Quelques genres seulement, principalement chez des Gardéniées, ont, par loge un nombre réduit d'ovules. Un seul ovule peut se développer d'où certains fruits monospermes (certains Canthium, Crateris-permum, Rutidea). Les ovules sont anatropes et orientés de façon variable, dressés, horizontaux ou pendants; ils sont ténuinucellés, à un seul tégument, non vascularisés et à funicule très court ou nul, rarement long (Nauclea). BIOLOGIE FLORALE Le rythme de la floraison est variable; il est synchrone dans le cas où toutes le fleurs d'une même inflorescence s'épanouissent en même temps (Nauclea, Pavetta, Coffea). Le rythme est asynchrone lorsqu l'épanouissement des fleurs est échelonné dans l'inflorescence (Psychotria, Sabicea, Bertiera, Otomeria). L'allogamie est favorisée par divers mécanismes floraux. La protandrie est sans doute le plus primitif de ces mécanismes; elle favorise la dispersion du pollen avant que les parties fertiles du stigmate soient découvertes (Bertiera). Le mécanisme ixoroïde qui intéresse plusieurs tribus en particulier les Ixorées, est une forme améliorée de la protandrie qui peut être comparée au « mécanisme de piston » des Composées. L'hétérostylie est peut-être plus évoluée; c'est une structure qui favorise dans certaines fleurs l'exposition des papilles stigmatiques, et dans d'autres fleurs la dispersion du pollen. L'autostérilité a été reconnue chez certaines espèces hétérostyles (Mussaenda erythrophylla, M. elegans). La dioécie est rare, au moins en Afrique, elle se présente comme un cas extrême d'hétérostylie (Mussaenda tristigmatica, M. isertiana). La monoécie également rare existe chez Atractogyne. Les fleurs sont le plus souvent pollinisées par les insectes ailés. Certaines grosses fleurs à anthèse nocturne sont très probablement adaptées à la pollinisation par les chauves-souris (Gardé-niées). En Amérique de nombreuses corolles sont adaptées (forme, port, couleur) à la pollinisation par les colibris; des cas similaires seraient à rechercher chez les Rubiaceae gabonaises. L'attractivité des fleurs est réalisée ordinairement par la couleur de la corolle (blanc, jaune, jaune-orangé, rouge, violet, brun, vert vif, bleu) et par la dimension du limbe corollin dans sa partie exposée. Cette fonction est parfois assurée par le calice ou l''involucre. Certaines fleurs sont très odorantes {Coffea, Psilanthus, nombreuses Gardéniées). Le moment de l'anthèse varie suivant l'espèce au cours des 24 H; il est parfois du soir, parfois au contraire très matinal. INFRUTESCENCE ET FRUIT Deux tendances biologiques se distinguent parmi les infrutescences de certains genres suivant que le taux de reproduction (nombre de fruits comparé au nombre de fleurs) est bas ou élevé. Le premier cas se rapporte souvent à des plantes reconnues comme plus primitives (nombreuses Gardéniées); les taux élevés se rencontrent dans des groupes que l'on s'accorde généralement à considérer comme plus évolués. Les fruits sont simples, plus rarement composés-syncarpiques (Nauclea, Morinda). Ils peuvent être ± charnus (syncarpes, baies, cabosses, drupes mono, oligo ou polyspermes). Beaucoup de genres ont des fruits charnus, colorés, globuleux et d'environ 1 cm de diamètre (Mussaendées, Ixorées, Psychotriées, Bertiera). L'attractivité des fruits charnus est réalisée par la couleur souvent vive de l'épiderme (blanc, jaune, orangé, rouge, grenat, violet, bleu, noir); certains fruits de teinte foncée sont rehaussés à la vue par les axes d'infrutescence colorés et parfois même accrescents-succulents (quelques Psychotriées). Les plus gros fruits sont du type cabosse, ils atteignent jusqu'à 15-20 cm de diamètre chez Rothmannia. La maturation des fruits charnus est parfois lente et très progressive (cabosses, baies ± sèches); parfois au contraire elle est marquée par un accroissement remarquable des tissus charnus qui se gonflent d'eau au stade ultime (Sabicea, Bertiera, Psychotria). Les fruits secs sont le plus souvent capsulaires, à déhiscence loculicide ou septicide, parfois à bec apical s'ouvrant en clapet. Les plus petits fruits sont des capsules d'env. 2 mm (espèces herbacées). Les fruits secs sont articulés caducs ou au contraire parfois persistants après la dispersion des graines.",Morphology,fre,,,,,ref-Gbn-7000000534,,
wfo-0000254950,"Herbe grêle, dressée, très divisée ramifiée, haute de 10-45 cm. Entrenoeuds d'env. 1,5-3 cm, ornés de 4 fines arêtes caractéristiques, glabres. Stipules très courtes, paucidenticulées. Feuilles linéaires glabres, de 10-30 X 0,5-1 mm. Fleurs axillaires, 1 par aisselle. Pédicelle de 8-22 mm, très grêle. Calice à 4 lobes aigus d'env. 0,5 mm. Corolle blanche à tube de 1,5-3 mm, à 4 lobes de 1 mm ou moins. Style glabre. Fruit de 2,5-3,5 mm; fente de déhiscence à lèvres dressées et dépassant souvent les lobes sépalaires. Graines brunâtres ovées-anguleuses de 0,45 mm de long.",Morphology,fre,,,,,ref-Gbn-0000254950,,
wfo-4000039753,"Plantes ligneuses, sarmenteuses ou lianescentes, formant parfois des haies ou des buissons. Stipules bilobées ou bipartites caduques. Crochets axillaires caractéristiques sur des rameaux qui portent ou porteront des inflorescences. Ces crochets ont valeur de pédoncules d'inflorescences axillaires transformées (cf. A. Guillaumin C. R. Acad. Sc. 18 mai 1931 ). Limbe à nervures secondaires ascendantes. Inflorescences multiflores capitées sphériques. Fleurs ± pédicellées pentamères, pubescentes, à préfloraison quinconciale, à lobes subcharnus se recouvrant médiocrement les uns les autres au sommet du bouton. Étamines apiculées à 2 loges. Filet très court, basi-dorsifixe. Style long dépassant nettement la corolle; stigmate faiblement renflé à 2 taches latérales. Ovaire à 2 loges; placentas peltés entièrement couvert d'ovules imbriqués ascendants. Fruit sec déhiscent à pédicelle accrescent et calice persistant. Graine petite, très légère, munie de longues et fines ailes opposées.",Morphology,fre,,,,,ref-Gbn-4000039753,,
wfo-0000329220,"Arbrisseau grimpant de 2 m de haut ou liane. Extrémités rousses hirsutes. Entrenoeuds à 4 arêtes très saillantes, longs de 3-7 cm et creux à sec vers les extrémités florifères seules connues. Crochets axillaires arqués vers la base, parfois réduits à un ergot aigu. Stipules bipartites depuis la base, ovées-acuminées, de 9-12 X 4-6 mm, pubescentes, réfractées et tôt caduques. Pétiole de ■3-6(8) mm, roux pubescent, coudé à la base. Limbe elliptique de 7-13(14) X 3,5-6(8) cm, roux à sec, régulièrement pubescent sur les deux faces; poils effilés longs d'env. 1 mm, un peu raides sur la face supérieure; base du limbe obtuse (arrondie à cordée chez le type); sommet un peu atténué avec un acumen d'env. 1 cm. Nervures velues, env. 5-7(8) paires de secondaires. Inflorescences en capitules sphériques multiflores de 4-5 cm de diam. et disposés par 3-7 env. vers l'extrémité des rameaux; l'un des capitules est terminal, les autres sont axillaires avec un pédoncule de 2,5-6 cm de long; ces pédoncules sont disposés à angle droit, nettement élargis et comprimés vers la base, et roux pubescents; il y a un involucre de pièces stipuloïdes caduques vers le tiers supérieur de ces pédoncules. Le pédoncule qui est en position terminale présente 2-3(4) niveaux cicatriciels échelonnés. Réceptacle du capitule ochracé hirsute d'env. 4 mm de diam. Pédicelles de 2-4 mm env., pubescents. Fleurs jaunes. Ovaire ovale, roux velu, haut d'env. 2 mm. Tube du calice infundibuli-forme, haut de 2-3 mm, subtronqué, à 5 denticules très courts, roux pubescents. Corolle longue de 14-17 mm, vêtue de poils beige-ochracé dirigés vers la base, à tube étroit sur env. 11 mm, à lobes ovés-orbiculaires d'env. 2,5 mm, glabres sur la face supérieure. Anthères de 2,5-3 X 0,5 mm, oblongues apiculées. Style de 20-23 mm y compris la massue stigmatique longue de 5-6 mm et longuement atténuée vers la base. Ovaire à 2 loges; nombreux ovules ascendants. Infrutescence (Wagemans 914 Luki) atteignant 6,5-7 cm de diam. Fruit pubescent fusiforme à 10 arêtes longitudinales, long de 10-13 mm, à pédicelle velu de 12-18 mm et à calice persistant.",Morphology,fre,,,,,ref-Gbn-0000329220,,
wfo-0000329183,"Arbuste sarmenteux ou ± lianescent atteignant 5-6 (15) m de haut. Jeunes tiges ± quadrangulaires glabres; entrenoeuds longs de I3-I6 cm sur les rameaux inermes stériles orthotropes, de 3-6 cm sur les rameaux spinifères ou florifères plagiotropes. Crochets axillaires opposés, égaux ou inégaux, disposés en paires décussées; les crochets qui sont dirigés vers le sol ou ± latéralement sont en forme d'hameçons; vers le haut ils sont souvent réduits en épines ± droites; la dimension comme la forme des crochets paraît dépendre de leur orientation. Stipules parfois ± rouges, pubérulentes vers la base, soudées par paires à la base, ± persistantes aux noeuds des rameaux inermes, très tôt caduques sur les rameaux florifères; celles des rameaux inermes ont deux larges lobes acuminés, les autres, longues d'env. 1 cm, ont deux lobes sublinéaires atténués. Cicatrices stipulaires transverses, droites ou un peu arquées. Pétiole glabre de 5-10 mm de long. Toutes les feuilles d'un rameau plagiotrope s'orientent in vivo dans un même plan horizontal (F. Hall). Limbe elliptique de 6-12 X 2,5-6 cm, roussâtre à sec et glabre; base ± obtuse; sommet suatténué avec un acumen de 3-7 mm de long. 4""7 paires de nervures secondaires avec des domaties axillaires. Inflorescence en capitule sphérique multiflore de 4-6 cm de diam., souvent terminale solitaire; parfois 3-5 inflorescences en paires axillaires, plus une terminale. Pédoncule très court, 1-2 cm dans les infl. terminales, 3-4 cm dans les axillaires. Corolles déjà apparentes dans les jeunes infl. de 1,5 cm de diam. Fleurs blanches ou jaunâtres ornées à sec d'une pubescence externe dorée ou ochracée. Pédicelle 2-3 mm. Ovaire en fuseau ± renflé, long de 1,5-2,5 mm; calice brun infundibuliforme, haut de 2-3 mm à 5 courts lobes d'env. 0,5 mm. Corolle longue de II-I5 mm; tube étroit sur 6-10 mm et vêtu de poils ochracés renversés; 5 lobes oblongs de 3-4 mm à ligne axiale interne pubescente, évasés à l'anthèse. Étamines apiculées d'env. 3 X 0,8 mm, apparentes dans la gorge de la corolle. Style de 1,5-2 cm, y compris la longue massue stigmatique qui est médiocrement renflée à deux niveaux: le renflement supérieur est orné de 2 taches opposées. Infrutescence atteignant 10 cm de diam. Fruit fusiforme 10-cannelé, de 15-20 X 4-6 mm, à pédicelle de 20-25 mm et à calice persistant. Déhiscence septicide et ± loculicide en 2 valves bilobées ochracées lisses à l'intérieur. Graines brunes trigones longues de 0,4 mm de long sans les ailes, à tégument réticulé; deux longues ailes opposées effilées, rubanées, soyeuses, de 3-4 mm de long; l'une des deux est bifide et s'insère près du petit funicule de 0,2-0,4 mm.",Morphology,fre,,,,,ref-Gbn-0000329183,,
wfo-4000024425,"Arbres ou arbustes inermes, à grandes stipules ± foliacées ou membraneuses, rapidement caduques au niveau des inflorescences. Nervure médiane de la feuille souvent bifurquée avant le sommet du limbe. Nervures intersecondaires subparallèles. Inflorescences terminales ou axillaires, simples ou composées de capitules multiflores compacts, sphériques, à réceptacle hirsute; bractées nombreuses autour des fleurs sessiles; elles sont persistantes jusqu'à la fructification. Bouton à sommet ové-conique pubescent (sauf chez M. inermis); préfloraison valvaire. Calice tubuleux, tronqué ou ± lobé, généralement glabre, persistant sur le fruit. Corolle assez courte à 5 lobes charnus. Anthères apiculées. Style long, cylindrique, dépassant beaucoup la corolle, coiffé par un stigmate mitriforme ové ou oblong. Ovaires libres entre eux sur le réceptacle inflorescentiel, à 2 loges; nombreux ovules ascendants et imbriques sur le placenta pendant subpelte. Fruit sec a 2 valves endocarpiques subcoriaces ou crustacees minces, a dehiscence septicide.Graine comprimee a marge aliforme ± anguleuse.",Morphology,fre,,,,,ref-Gbn-4000024425,,
wfo-0000244944,"Grand arbre atteignant 35 m de haut et jusqu'à 1 m de diam. Grandes stipules de 4-8 X 2,5-5 cm, elliptiques, obovées ou subor-biculaires, pubescentes dans la moitié inférieure et généralement hirsutes vers la base. Pétiole de (1,5) 2-3,5 cm. Limbe de 12-45 X 8,5-26 cm, semblable à celui du M. ciliata. Inflorescences terminales ou axillaires comportant seulement 3-10 capitules, rarement plus. Une centaine de fleurs par capitule ou plus (on peut trouver parfois des capitules jumelés ou fasciés). Fleurs blanches, blanchâtres ou grisâtres, entourées de bractées cunéiformes de 4-5 mm de long, à sommet tronqué pubescent. Calice entier ou à peine ondulé, tout à fait glabre, dépassant le niveau supérieur des bractéoles dans la fleur épanouie. Corolles épanouies plus ouvertes que chez M. ciliata. Fruits secs de 8-9 mm de long à env. 10-fines côtes longitudinales saillantes à cupules calycinales hérissant le capitule sphérique. La déhiscence septicide se fait par deux fentes latérales ± arrêtées vers le haut par le calice. Petites graines ailées marginées de 2-2,5 mm. Cette espèce est très voisine de la suivante M. ciliata.",Morphology,fre,,,,,ref-Gbn-0000244944,,
wfo-0000249536,"Arbre à bois jaune vif atteignant 45 (?) cm de diam. Écorce des jeunes entrenoeuds glabre et lisse; rameaux aoûtés gris beige et plissés en long à sec. Stipules foliacées planes de 10-26 X 5-13 mm, ornées seulement au stade juvénile d'une obtuse petite carène basale. Pétiole de 12-30 (36) mm, glabre. Limbe glabre sur les deux faces et devenant souvent brun cendré terne sur la face supérieure à sec, de (6) 10-25 X (3) 5-15 cm, elliptique ou obové; base ± arrondie et brièvement aiguë jusqu'à atténuée aiguë; sommet arrondi ou obtus, à acumen souvent nul ou à peine distinct et inférieur à 5 mm. Nervure médiane fréquemment bifurquée avant l'ultime apex du limbe. 5-8(9) paires de nervures secondaires. Inflorescences terminales et solitaires, parfois situées sur de très courts rameaux secondaires; pédoncule de 12-20 mm de long, à deux niveaux cicatriciels, l'un situé près de la base, l'autre situé dans le tiers inférieur. Bouquets floraux blancs, sphériques, d'env. 2-3 cm de diam. à l'anthèse. Calices tubuleux adhérents entre eux en un réseau continu; lobes sépalaires épais, très courts et micropubérulents. Corolle d'env. 8 mm de long, à 4-5 lobes portant chacun une ligne de poils sur l'axe de la face interne, parfois 2-3 lignes ± parallèles. 4-5 étamines d'env. 1,5 mm de long. Style de IO-I3 mm; stigmate en massue acuminée, long d'env. 2 mm. Ovaire à 2 loges. Jeune fruit de 2,5 cm de diam., orné par les calices persistants qui forment un réseau continu. Fruit à plein développement non observé.",Morphology,fre,,,,,ref-Gbn-0000249536,,
wfo-0000244927,"Grand arbre de 20-35 m de haut, à diam. atteignant très rarement 0,80 à 1 m, à fut de 12-15(20) m, cylindrique, droit et sans empattement. Cime réduite, étroite, à branches peu importantes et tortueuses, à feuillage dense. Écorce fendillée écailleuse à tranche jaune rosé devenant rouge ou violacée par oxydation, très fibreuse, épaisse de 2-3 cm. Extrémités glabres à entrenoeuds subquadran-gulaires. Grandes stipules ovales de 3-8 cm de long sur 2,5-5 cm de large, un peu bossues à subcarénées à la base, souvent glabres ou pubescentes seulement près de la base, très caduques sur les axes florifères. Pétiole de 1,5-3(6) cm, glabre, parfois finement pubérulent sur la face inférieure. Limbe roux à sec, largement elliptique ou obové, de 9-32 ± 6-24 cm, glabre, parfois finement pubérulent sur la face inférieure; base arrondie à subcunée, rarement subcordée; sommet arrondi présentant une bifurcation de la nervure médiane, ± 1 cm sous l'extrémité. 5-10 paires de nervures latérales avec de petites domaties pubescentes axillaires à la face inférieure. Inflorescences terminales composées. Au niveau de la dernière paire de feuilles développées, sont ordinairement groupés 3 pédoncules glabrescents de 5-18 cm de long, supportant une paire de feuilles réduites longues de 3-6 cm, et un groupe de ramifications assez nombreuses tantôt disposées en pseudombelles, tantôt ± échelonnées sur de courts entrenoeuds. Ces ramifications sont les inflorescences élémentaires, à pédoncule grêle finement pubérulent de 2-5,5 cm, à capitule sphérique d'env. 40-70 fleurs, de 7-12 mm de diam. et env. 2,5 cm lors de l'anthèse. Fleurs jaune vert clair, nectarifères et très odorantes, insérées sur un réceptacle hirsute de 3-4 mm de diam. et entourées de très nombreuses bractées cunéiformes longues de 3-4 mm, étroites et glabres vers la base, élargies tronquées et pubescentes au sommet. Ovaire rougeâtre glabre atteignant avec le calice 3-4 mm de haut. 5 lobes calycinaux brefs et ciliés, cachés par les bractéoles. Corolle de 3-4 mm de long à tube glabre, à 5 lobes valvaires éri-gés, jaunâtres, prolongés ou non par une petite pointe, pubes-cents à l'extérieur et aussi un peu sur la face interne. 5 étamines sagittées restant masquées; à l'anthèse, tout le pollen est entraîné au dehors par le stigmate. Style blanc dépassant la corolle de 2-3 mm, à stigmate cannelé d'env. 1 X 1 mm. Ovaire à 2 loges. Fruits fusiformes atteignant 8 mm de long sur le capitule, et dépassant de 2-3 mm le sommet des bractéoles. Calice persistant avec les lobes ciliés rabattus vers l'intérieur. Nombreuses petites graines de 1,5-? mm, oblongues, inégalement entourés par une marge ailée anguleuse.",Morphology,fre,,,,,ref-Gbn-0000244927,,
wfo-4000025381,"Grands arbres ou arbustes inermes, rarement subsarmenteux. Stipules soit courtes et deltoïdes, soit amples et ovales, ± rapidement caduques. Feuilles pétiolées, moyennes ou amples, généralement très développées sur les jeunes pieds ou sur les rejets. Inflorescences solitaires terminales. Calice à ± 5 lobes, tantôt libres, caducs ou non, tantôt ± soudés entre eux autour des fleurs. Corolle longue, infundibuliforme, à 4-5 lobes imbriqués, Étamines à filet très court et anthère biloculaire. Style long et étroit, dépassant beaucoup la corolle; stigmate ± renflé cylin-drique, puis ± conique acuminé. Ovaires entièrement soudés entre eux sur toute leur longueur, chacun à deux loges multi-ovulées. Fruit syncarpique massivement sphéroïde, à surface parfois spongieuse, parfois alvéolée ou réticulée, ± charnu. Graines aptères, parfois marginées; testa réticulée, les cellules présentant au fond des perforations variables et des parois latérales pleines et non ornées. Petit embryon droit entouré d'albumen.",Morphology,fre,,,,,ref-Gbn-4000025381,,
