taxonID,description,type,language,contributor,audience,rightsHolder,creator,source,rights,license
wfo-0000000587,"Les feuilles sont très amères et sont employées comme fébrifuge, comme ichtyotoxique et comme remède contre la gale. La macération des feuilles donne un liquide savonneux.",use,fre,,,,,ref-Gbn-0000000587,,
wfo-0000010343,La plante est un fétiche pour la chasse à l’éléphant.,use,fre,,,,,ref-Gbn-0000010343,,
wfo-0000012752,Les feuilles produisent une teinture noire.,use,fre,,,,,ref-Gbn-0000012752,,
wfo-0000014938,"Les usages médicinaux les plus répandus sont en externe pour guérir les plaies et pour traiter les maladies de la peau, et en interne pour traiter la diarrhée, comme fébrifuge et comme agent anti-allergène. Elle est aussi appliquée contre les maladies sexuellement transmissibles, comme fébrifuge et comme tonique pour les enfants et contre les menstruations douloureuses. La plante donne un insecticide. L’espèce est parfois plantée comme couvre-sol dans les plantations.",use,fre,,,,,ref-Gbn-0000014938,,
wfo-0000018279,"La plante est utilisée comme engrais vert, pour le contrôle de l’érosion, comme plante de haie impénétrable, et comme plante ornementale. Les capitules sont utilisés en médecine pour les plaies, les ecchymoses et le traitement de la rougeole.",use,fre,,,,,ref-Gbn-0000018279,,
wfo-0000021260,"Les feuilles sont consommées comme légume, utilisées comme remède contre la gale et, en mélange avec des graines pulvérisées de Monodora myristica, contre les maux de tête. La plante est labourée pour engrais vert et mangée par le bétail.",use,fre,,,,,ref-Gbn-0000021260,,
wfo-0000021577,La plante est utilisée pour traiter les abcès ou contre les maux de dos ; aussi pour des grossesses saines.,use,fre,,,,,ref-Gbn-0000021577,,
wfo-0000023147,"Les feuilles sont mangées comme légume. La plante est utilisée pour soigner les inflammations oculaires, les blessures, les plaies et la sinusite. Une décoction des racines ou des feuilles est utilisée pour traiter la syphilis. Au Gabon, la plante est utilisée pour donner de l’appétit aux nouveau-nés. E. coccinea est largement cultivé comme plante ornementale dans les régions tropicales, subtropicales et tempérées.",use,fre,,,,,ref-Gbn-0000023147,,
wfo-0000031399,La plante est ichtyotoxique et elle est utilisée dans le traitement de la diarrhée infantile.,use,fre,,,,,ref-Gbn-0000031399,,
wfo-0000043626,La plante est utilisée contre les maux de ventre et comme plante ichtyotoxique.,use,fre,,,,,ref-Gbn-0000043626,,
wfo-0000043646,"Mangé tout en consommant des boissons alcoolisées, les rend « plus froides ».",use,fre,,,,,ref-Gbn-0000043646,,
wfo-0000043751,La plante est employée dans les bains rituels dans l’espoir de faire fortune.,use,fre,,,,,ref-Gbn-0000043751,,
wfo-0000045675,Toutes les parties herbacées de la plante sont consommées comme légume. Les plantes étaient localement cultivées dans ce but. Elles sont aussi appliquées pour traiter la folie et dans les problèmes juridiques et pour faciliter l’accouchement.,use,fre,,,,,ref-Gbn-0000045675,,
wfo-0000052590,"Les feuilles sont utilisées dans des affections oculaires et aussi, avec d’autres ingrédients, pour faciliter l’accouchement.",use,fre,,,,,ref-Gbn-0000052590,,
wfo-0000067484,"C. odorata est utilisé dans le traitement des plaies et aussi une plante ichtyotoxique. L’espèce est l’une des mauvaises herbes les plus nuisibles en agriculture, mais elle est également utilisée comme engrais vert et paillis. Elle est recommandée pour la lutte contre Imperata cylindrica (L.) Raeuschel.",use,fre,,,,,ref-Gbn-0000067484,,
wfo-0000069777,"Les feuilles sont aromatiques avec une odeur désagréable ; la décoction de feuilles est considérée comme toxique, mais elle est prise contre diverses fièvres dans de nombreuses régions d’Afrique, ainsi que contre les inflammations et comme vermifuge (en raison de son action purgative). Les racines sont utilisées contre les troubles oculaires.",use,fre,,,,,ref-Gbn-0000069777,,
wfo-0000072251,Les feuilles sont utilisées en médecine comme fébrifuge et dans les traitements oculaires et auriculaires.,use,fre,,,,,ref-Gbn-0000072251,,
wfo-0000072744,"Un légume très apprécié en Afrique de l’Ouest et centrale ; utilisé comme quinine (Walker) ; pour augmenter la lactation (Quiroz) ; vermifuge et purgatif (Towns, Quiroz) ; pour traiter la rougeole, le paludisme et les maux d’estomac (Towns).",use,fre,,,,,ref-Gbn-0000072744,,
