WFO_ID,AssessmentID,TaxonID,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0000825462,761305,158109,Begonia schliebenii,BEGONIACEAE,Begonia,schliebenii,,,,Irmsch.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158109a761305.en,"(2007). Begonia schliebenii: Beentje, H.J., Gereau, R.E., Hilton-Taylor, C., Howard, G., Kindeketa, W., Luke, W.R.Q., Maunder, M., Mwachala, G., Mwangoka, M., Ndangalasi, H., Njau, E.-F., Schatz, G.E., Siro Masinde, P. & Wilkins, V.L. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158109a761305.en"
wfo-0001101759,763329,158156,Oxygonum leptopus,POLYGONACEAE,Oxygonum,leptopus,,,,Mildbr.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158156a763329.en,"(2008). Oxygonum leptopus: Gereau, R.E., Kabuye, C., Kalema, J., Kamau, P., Kindeketa, W., Luke, W.R.Q., Lyaruu, H.V.M., Malombe, I., Mboya, E.I., Mollel, N., Njau, E.-F., Schatz, G.E., Sitoni, D., Ssegawa, P. & Wabuyele, E. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158156a763329.en"
wfo-0001277663,764255,158179,Ochna monantha,OCHNACEAE,Ochna,monantha,,,,Gilg,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158179a764255.en,"(2008). Ochna monantha: Gereau, R.E., Kabuye, C., Kalema, J., Kamau, P., Kindeketa, W., Luke, W.R.Q., Lyaruu, H.V.M., Malombe, I., Mboya, E.I., Mollel, N., Njau, E.-F., Schatz, G.E., Sitoni, D., Ssegawa, P. & Wabuyele, E. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158179a764255.en"
wfo-0001101760,770849,158289,Oxygonum hirtum,POLYGONACEAE,Oxygonum,hirtum,,,,Peter,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158289a770849.en,"(2008). Oxygonum hirtum: Gereau, R.E., Kabuye, C., Kalema, J., Kamau, P., Kindeketa, W., Luke, W.R.Q., Lyaruu, H.V.M., Malombe, I., Mboya, E.I., Mollel, N., Njau, E.-F., Schatz, G.E., Sitoni, D., Ssegawa, P. & Wabuyele, E. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158289a770849.en"
wfo-0000326562,771078,158297,Tragia acalyphoides,EUPHORBIACEAE,Tragia,acalyphoides,,,,Radcl.-Sm.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158297a771078.en,"(2007). Tragia acalyphoides: Beentje, H.J., Gereau, R.E., Hilton-Taylor, C., Howard, G., Kindeketa, W., Luke, W.R.Q., Maunder, M., Mwachala, G., Mwangoka, M., Ndangalasi, H., Njau, E.-F., Schatz, G.E., Siro Masinde, P. & Wilkins, V.L. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158297a771078.en"
wfo-0000458669,1082726,165446,Tamarix palaestina,TAMARICACEAE,Tamarix,palaestina,,,,Bertol,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2021-1.rlts.t165446a1082726.en,"(2020). Tamarix palaestina: Crowley, D. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-1.rlts.t165446a1082726.en"
wfo-0000194567,1313512,170427,Vigna benuensis,FABACEAE,Vigna,benuensis,,,,Pasquet & Maréchal,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2019-2.rlts.t170427a1313512.en,"(2017). Vigna benuensis: Maxted, N. & McFarlane, D. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2019-2.rlts.t170427a1313512.en"
wfo-0000188345,1313900,170440,Vigna hosei,FABACEAE,Vigna,hosei,,,,Backer ex K.Heyne,Data Deficient,,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2016-3.rlts.t170440a1313900.en,"(2013). Vigna hosei: Rhodes, L. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2016-3.rlts.t170440a1313900.en"
wfo-0000188429,1313986,170442,Vigna juruana,FABACEAE,Vigna,juruana,,,,(Harms) Verdc.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2019-3.rlts.t170442a1313986.en,"(2019). Vigna juruana: McFarlane, D. & Maxted, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2019-3.rlts.t170442a1313986.en"
wfo-0000189212,1314758,170472,Vigna richardsiae,FABACEAE,Vigna,richardsiae,,,,Verdc.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2019-3.rlts.t170472a1314758.en,"(2019). Vigna richardsiae: McFarlane, D. & Maxted, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2019-3.rlts.t170472a1314758.en"
wfo-0000189233,1314776,170475,Vigna somaliensis,FABACEAE,Vigna,somaliensis,,,,Baker f.,Data Deficient,,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2019-3.rlts.t170475a1314776.en,"(2019). Vigna somaliensis: McFarlane, D. & Maxted, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2019-3.rlts.t170475a1314776.en"
wfo-0000649814,1382524,173386,Diospyros sumatrana,EBENACEAE,Diospyros,sumatrana,,,,Miq.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2021-1.rlts.t173386a1382524.en,"(2019). Diospyros sumatrana: Oldfield, S. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-1.rlts.t173386a1382524.en"
wfo-0000649779,1385122,173438,Diospyros sprucei,EBENACEAE,Diospyros,sprucei,,,,Hiern,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2024-1.rlts.t173438a1385122.en,"(2021). Diospyros sprucei: Schmidt, H. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2024-1.rlts.t173438a1385122.en"
wfo-0000648465,1387909,173505,Diospyros adiensis,EBENACEAE,Diospyros,adiensis,,,,Kosterm.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2025-2.rlts.t173505a1387909.en,"(2021). Diospyros adiensis: Puglisi, C. & Schmidt, H. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2025-2.rlts.t173505a1387909.en"
wfo-0000648734,1389823,173553,Diospyros crebripilis,EBENACEAE,Diospyros,crebripilis,,,,Kosterm.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2023-1.rlts.t173553a1389823.en,"(2022). Diospyros crebripilis: Jimbo, T. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2023-1.rlts.t173553a1389823.en"
wfo-0000648580,1397974,173752,Diospyros blepharophylla,EBENACEAE,Diospyros,blepharophylla,,,,Standl.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2023-1.rlts.t173752a1397974.en,"(2021). Diospyros blepharophylla: Schmidt, H. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2023-1.rlts.t173752a1397974.en"
wfo-0000648726,1400098,173801,Diospyros coursiana,EBENACEAE,Diospyros,coursiana,,,,H.Perrier,Data Deficient,,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2019-1.rlts.t173801a1400098.en,"(2016). Diospyros coursiana: Faranirina, L., Rakotonirina, N. & Schatz, G.E. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2019-1.rlts.t173801a1400098.en"
wfo-0000648717,1401136,173829,Diospyros cordata,EBENACEAE,Diospyros,cordata,,,,(Hiern) Bakh.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2021-2.rlts.t173829a1401136.en,"(2020). Diospyros cordata: Julia, S. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-2.rlts.t173829a1401136.en"
wfo-0000649055,1401688,173844,Diospyros hazomainty,EBENACEAE,Diospyros,hazomainty,,,,H.Perrier,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2019-1.rlts.t173844a1401688.en,"(2016). Diospyros hazomainty: Faranirina, L., Rakotonirina, N. & Schatz, G.E. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2019-1.rlts.t173844a1401688.en"
wfo-0000649535,1402842,173872,Diospyros phuketensis,EBENACEAE,Diospyros,phuketensis,,,,Phengklai,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2025-2.rlts.t173872a1402842.en,"(2022). Diospyros phuketensis: Puglisi, C. & Schmidt, H. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2025-2.rlts.t173872a1402842.en"
wfo-0000648479,1408817,173997,Diospyros alpina,EBENACEAE,Diospyros,alpina,,,,Kosterm.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2023-1.rlts.t173997a1408817.en,"(2021). Diospyros alpina: Puglisi, C. & Schmidt, H. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2023-1.rlts.t173997a1408817.en"
wfo-0000649771,1409759,174023,Diospyros sparsirama,EBENACEAE,Diospyros,sparsirama,,,,Hiern ex Greves,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2021-3.rlts.t174023a1409759.en,"(2021). Diospyros sparsirama: Timberlake, J.R. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2021-3.rlts.t174023a1409759.en"
wfo-0000187512,1431444,176102,Vicia aintabensis,FABACEAE,Vicia,aintabensis,,,,Boiss. & Hausskn. ex Boiss.,Data Deficient,,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2019-2.rlts.t176102a1431444.en,"(2017). Vicia aintabensis: McFarlane, D., Magos Brehm, J. & Maxted, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2019-2.rlts.t176102a1431444.en"
wfo-0000187516,1432021,176109,Vicia assyriaca,FABACEAE,Vicia,assyriaca,,,,Boiss.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2016-3.rlts.t176109a1432021.en,"(2013). Vicia assyriaca: Rhodes, L. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2016-3.rlts.t176109a1432021.en"
wfo-1000080751,1433409,176119,Vicia michauxii,FABACEAE,Vicia,michauxii,,,,Spreng.,Data Deficient,,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2019-2.rlts.t176119a1433409.en,"(2017). Vicia michauxii: McFarlane, D., Magos Brehm, J. & Maxted, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2019-2.rlts.t176119a1433409.en"
wfo-0000186087,1434075,176125,Vicia hyrcanica,FABACEAE,Vicia,hyrcanica,,,,Fisch. & C.A.Mey.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2016-3.rlts.t176125a1434075.en,"(2014). Vicia hyrcanica: Rhodes, L. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2016-3.rlts.t176125a1434075.en"
wfo-0000732368,1441100,176387,Isatis arnoldiana,BRASSICACEAE,Isatis,arnoldiana,,,,N.Busch,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2014-1.rlts.t176387a1441100.en,"(2006). Isatis arnoldiana: Changyan, N. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2014-1.rlts.t176387a1441100.en"
wfo-0000454838,1572116,179241,Kyllinga oblonga,CYPERACEAE,Kyllinga,oblonga,,,,C.B.Clarke,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2013-2.rlts.t179241a1572116.en,"(2012). Kyllinga oblonga: IUCN SSC East African Plants Red List Authority, IUCN SSC East African Plants Red List Authority, IUCN SSC East African Plants Red List Authority, IUCN SSC East African Plants Red List Authority. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2013-2.rlts.t179241a1572116.en"
wfo-0000885527,1572192,179242,Clerodendrum polyanthum,LAMIACEAE,Clerodendrum,polyanthum,,,,Gürke,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2022-2.rlts.t179242a1572192.en,"(2022). Clerodendrum polyanthum: Harvey-Brown, Y. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2022-2.rlts.t179242a1572192.en"
wfo-0000954035,1573007,179261,Erythrococca sanjensis,EUPHORBIACEAE,Erythrococca,sanjensis,,,,Radcl.-Sm.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t179261a1573007.en,"(2009). Erythrococca sanjensis: Mwangoka, M., Ndangalasi, H., Kindeketa, W., Kabuye, C., Minani, V., Kelbessa, E., Gereau, R.E., Malombe, I., Luke, W.R.Q. & Kalema, J. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t179261a1573007.en"
wfo-0001083939,1576783,179381,Tinospora mossambicensis,MENISPERMACEAE,Tinospora,mossambicensis,,,,Engl.,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2013-2.rlts.t179381a1576783.en,"(2012). Tinospora mossambicensis: IUCN SSC East African Plants Red List Authority. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2013-2.rlts.t179381a1576783.en"
wfo-0000766231,1578946,179449,Drimiopsis perfoliata,ASPARAGACEAE,Drimiopsis,perfoliata,,,,Baker,Data Deficient,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2019-3.rlts.t179449a1578946.en,"(2011). Drimiopsis perfoliata: IUCN SSC East African Plants Red List Authority. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2019-3.rlts.t179449a1578946.en"
