WFO_ID,AssessmentID,TaxonID,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0000833628,754210,157940,Hirtella zanzibarica,CHRYSOBALANACEAE,Hirtella,zanzibarica,,,,Oliv.,Least Concern,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157940a754210.en,"(2007). Hirtella zanzibarica: Beentje, H.J., Gereau, R.E., Hilton-Taylor, C., Howard, G., Kindeketa, W., Luke, W.R.Q., Maunder, M., Mwachala, G., Mwangoka, M., Ndangalasi, H., Njau, E.-F., Schatz, G.E., Siro Masinde, P. & Wilkins, V.L. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157940a754210.en"
wfo-0000612918,754267,157949,Coccinia grandiflora,CUCURBITACEAE,Coccinia,grandiflora,,,,Cogn. ex Engl.,Least Concern,,3.1,Stable,Global,https://doi.org/10.2305/iucn.uk.2020-2.rlts.t157949a754267.en,"(2006). Coccinia grandiflora: Howard, G., Kamau, P., Kindeketa, W., Luke, W.R.Q., Lyaruu, H.V.M., Malombe, I., Maunder, M., Mwachala, G., Njau, E.-F., Peres, Q., Schatz, G.E., Siro Masinde, P., Ssegawa, P., Wabuyele, E. & Wilkins, V.L. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-2.rlts.t157949a754267.en"
wfo-0001065016,754347,157950,Streptocarpus hirsutissimus,GESNERIACEAE,Streptocarpus,hirsutissimus,,,,E.A.Bruce,Least Concern,,3.1,Stable,Global,https://doi.org/10.2305/iucn.uk.2014-1.rlts.t157950a754347.en,"(2008). Streptocarpus hirsutissimus: IUCN SSC East African Plants Red List Authority. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2014-1.rlts.t157950a754347.en"
wfo-0000628012,754394,157953,Cryptocarya liebertiana,LAURACEAE,Cryptocarya,liebertiana,,,,Engl.,Least Concern,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157953a754394.en,"(2008). Cryptocarya liebertiana: Gereau, R.E., Kabuye, C., Kalema, J., Kamau, P., Kindeketa, W., Luke, W.R.Q., Lyaruu, H.V.M., Malombe, I., Mboya, E.I., Mollel, N., Njau, E.-F., Schatz, G.E., Sitoni, D., Ssegawa, P. & Wabuyele, E. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157953a754394.en"
wfo-0001297734,754432,157954,Ipomoea lapathifolia,CONVOLVULACEAE,Ipomoea,lapathifolia,,,,Hallier f.,Least Concern,,3.1,Stable,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157954a754432.en,"(2007). Ipomoea lapathifolia: Beentje, H.J., Gereau, R.E., Hilton-Taylor, C., Howard, G., Kindeketa, W., Luke, W.R.Q., Maunder, M., Mwachala, G., Mwangoka, M., Ndangalasi, H., Njau, E.-F., Schatz, G.E., Siro Masinde, P. & Wilkins, V.L. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157954a754432.en"
wfo-0000730775,754743,157962,Impatiens nana,BALSAMINACEAE,Impatiens,nana,,,,Engl.,Least Concern,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2019-3.rlts.t157962a754743.en,"(2008). Impatiens nana: IUCN SSC East African Plants Red List Authority. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2019-3.rlts.t157962a754743.en"
wfo-0000880344,754937,157967,Clerodendrum cephalanthum,LAMIACEAE,Clerodendrum,cephalanthum,,,,Oliv.,Least Concern,,3.1,Stable,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157967a754937.en,"(2007). Clerodendrum cephalanthum: Beentje, H.J., Gereau, R.E., Hilton-Taylor, C., Howard, G., Kindeketa, W., Luke, W.R.Q., Maunder, M., Mwachala, G., Mwangoka, M., Ndangalasi, H., Njau, E.-F., Schatz, G.E., Siro Masinde, P. & Wilkins, V.L. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157967a754937.en"
wfo-0001338020,755344,157972,Rotheca microphylla,LAMIACEAE,Rotheca,microphylla,,,,(Blume) Callm. & Phillipson,Least Concern,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157972a755344.en,"(2007). Rotheca microphylla: Beentje, H.J., Gereau, R.E., Hilton-Taylor, C., Howard, G., Kindeketa, W., Luke, W.R.Q., Maunder, M., Mwachala, G., Mwangoka, M., Ndangalasi, H., Njau, E.-F., Schatz, G.E., Siro Masinde, P. & Wilkins, V.L. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157972a755344.en"
wfo-0000824730,755370,157973,Cavacoa aurea,EUPHORBIACEAE,Cavacoa,aurea,,,,(Cavaco) J.Léonard,Least Concern,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157973a755370.en,"(2007). Cavacoa aurea: Beentje, H.J., Gereau, R.E., Hilton-Taylor, C., Howard, G., Kindeketa, W., Luke, W.R.Q., Maunder, M., Mwachala, G., Mwangoka, M., Ndangalasi, H., Njau, E.-F., Schatz, G.E., Siro Masinde, P. & Wilkins, V.L. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157973a755370.en"
wfo-0001045864,755396,157974,Tetracera boiviniana,DILLENIACEAE,Tetracera,boiviniana,,,,Baill.,Least Concern,,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157974a755396.en,"(2007). Tetracera boiviniana: Beentje, H.J., Gereau, R.E., Hilton-Taylor, C., Howard, G., Kindeketa, W., Luke, W.R.Q., Maunder, M., Mwachala, G., Mwangoka, M., Ndangalasi, H., Njau, E.-F., Schatz, G.E., Siro Masinde, P. & Wilkins, V.L. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157974a755396.en"
