WFO_ID,AssessmentID,TaxonID,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0000620474,754782,157963,Cordia fissistyla,CORDIACEAE,Cordia,fissistyla,,,,Vollesen,Vulnerable,D2,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157963a754782.en,"(2007). Cordia fissistyla: Beentje, H.J., Gereau, R.E., Hilton-Taylor, C., Howard, G., Kindeketa, W., Luke, W.R.Q., Maunder, M., Mwachala, G., Mwangoka, M., Ndangalasi, H., Njau, E.-F., Schatz, G.E., Siro Masinde, P. & Wilkins, V.L. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157963a754782.en"
wfo-0000025725,754876,157966,Blepharispermum xerothamnum,ASTERACEAE,Blepharispermum,xerothamnum,,,,Mattf.,Vulnerable,B2ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2020-2.rlts.t157966a754876.en,"(2006). Blepharispermum xerothamnum: Howard, G., Kamau, P., Kindeketa, W., Luke, W.R.Q., Lyaruu, H.V.M., Malombe, I., Maunder, M., Mwachala, G., Njau, E.-F., Peres, Q., Schatz, G.E., Siro Masinde, P., Ssegawa, P., Wabuyele, E. & Wilkins, V.L. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-2.rlts.t157966a754876.en"
wfo-0000115704,756193,157992,Vernonia luhomeroensis,ASTERACEAE,Vernonia,luhomeroensis,,,,Q.Luke & Beentje,Vulnerable,D1,3.1,Stable,Global,https://doi.org/10.2305/iucn.uk.2020-2.rlts.t157992a756193.en,"(2006). Vernonia luhomeroensis: Howard, G., Kamau, P., Kindeketa, W., Luke, W.R.Q., Lyaruu, H.V.M., Malombe, I., Maunder, M., Mwachala, G., Njau, E.-F., Peres, Q., Schatz, G.E., Siro Masinde, P., Ssegawa, P., Wabuyele, E. & Wilkins, V.L. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-2.rlts.t157992a756193.en"
wfo-0000282604,756882,158012,Premna discolor,LAMIACEAE,Premna,discolor,,,,Verdc.,Vulnerable,B1ab(iii)+2ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158012a756882.en,"(2007). Premna discolor: Beentje, H.J., Gereau, R.E., Hilton-Taylor, C., Howard, G., Kindeketa, W., Luke, W.R.Q., Maunder, M., Mwachala, G., Mwangoka, M., Ndangalasi, H., Njau, E.-F., Schatz, G.E., Siro Masinde, P. & Wilkins, V.L. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158012a756882.en"
wfo-0000271030,758402,158043,Phyllanthus frazieri,PHYLLANTHACEAE,Phyllanthus,frazieri,,,,Radcl.-Sm.,Vulnerable,D2,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158043a758402.en,"(2006). Phyllanthus frazieri: Beentje, H.J., Gereau, R.E., Hilton-Taylor, C., Howard, G., Kindeketa, W., Luke, W.R.Q., Maunder, M., Mwachala, G., Mwangoka, M., Ndangalasi, H., Njau, E.-F., Schatz, G.E., Siro Masinde, P. & Wilkins, V.L. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158043a758402.en"
wfo-0001238968,759247,158062,Streptocarpus schliebenii,GESNERIACEAE,Streptocarpus,schliebenii,,,,Mansf.,Vulnerable,B1ab(iii)+2ab(iii),3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2014-1.rlts.t158062a759247.en,"(2008). Streptocarpus schliebenii: IUCN SSC East African Plants Red List Authority. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2014-1.rlts.t158062a759247.en"
wfo-0000599403,759530,158069,Chamaecrista mwangokae,FABACEAE,Chamaecrista,mwangokae,,,,Gereau & G.M.Walters,Vulnerable,D2,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158069a759530.en,"(2008). Chamaecrista mwangokae: Gereau, R.E., Kabuye, C., Kalema, J., Kamau, P., Kindeketa, W., Luke, W.R.Q., Lyaruu, H.V.M., Malombe, I., Mboya, E.I., Mollel, N., Njau, E.-F., Schatz, G.E., Sitoni, D., Ssegawa, P. & Wabuyele, E. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158069a759530.en"
wfo-0000730609,759642,158071,Impatiens kentrodonta,BALSAMINACEAE,Impatiens,kentrodonta,,,,Gilg,Vulnerable,B1ab(iii)+2ab(iii),3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2019-3.rlts.t158071a759642.en,"(2008). Impatiens kentrodonta: IUCN SSC East African Plants Red List Authority. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2019-3.rlts.t158071a759642.en"
wfo-0001268082,759739,158074,Swertia schliebenii,GENTIANACEAE,Swertia,schliebenii,,,,Mildbr.,Vulnerable,D2,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158074a759739.en,"(2008). Swertia schliebenii: Gereau, R.E., Kabuye, C., Kalema, J., Kamau, P., Kindeketa, W., Luke, W.R.Q., Lyaruu, H.V.M., Malombe, I., Mboya, E.I., Mollel, N., Njau, E.-F., Schatz, G.E., Sitoni, D., Ssegawa, P. & Wabuyele, E. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158074a759739.en"
wfo-0000884511,759915,158078,Clerodendrum myrianthum,LAMIACEAE,Clerodendrum,myrianthum,,,,Mildbr.,Vulnerable,D2,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158078a759915.en,"(2006). Clerodendrum myrianthum: Beentje, H.J., Gereau, R.E., Hilton-Taylor, C., Howard, G., Kindeketa, W., Luke, W.R.Q., Maunder, M., Mwachala, G., Mwangoka, M., Ndangalasi, H., Njau, E.-F., Schatz, G.E., Siro Masinde, P. & Wilkins, V.L. IUCN Red List of Threatened Species, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158078a759915.en"
