WFO_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000508621,512509,133722,Calocedrus rupestris,CUPRESSACEAE,Calocedrus,rupestris,,,,"Aver., Hiep & L.K.Phan",Endangered,A2cd,3.1,Decreasing,Global
wfo-0001289792,547980,151198,Turbinicarpus subterraneus,CACTACEAE,Turbinicarpus,subterraneus,,,,(Backeb.) A.D.Zimmerman,Endangered,B1ab(v),3.1,Decreasing,Global
wfo-0000676067,550981,151697,Eriosyce esmeraldana,CACTACEAE,Eriosyce,esmeraldana,,,,(F.Ritter) Katt.,Endangered,B1ab(v),3.1,Unknown,Global
wfo-0001287025,551964,151705,Mammillaria melaleuca,CACTACEAE,Mammillaria,melaleuca,,,,Karw. ex Salm-Dyck,Endangered,B1ab(iii),3.1,Decreasing,Global
wfo-0000621932,552377,151708,Corryocactus tarijensis,CACTACEAE,Corryocactus,tarijensis,,,,Cárdenas,Endangered,B1ab(iii),3.1,Decreasing,Global
wfo-0000398451,552754,151711,Parodia stockingeri,CACTACEAE,Parodia,stockingeri,,,,(Prestlé) Hofacker & P.J.Braun,Endangered,"B1ab(i,iii,v); C1",3.1,Decreasing,Global
wfo-0000686283,553855,151720,Ferocactus flavovirens,CACTACEAE,Ferocactus,flavovirens,,,,(Scheidw.) Britton & Rose,Endangered,B1ab(v),3.1,Decreasing,Global
wfo-0000369343,556540,151742,Melocactus andinus,CACTACEAE,Melocactus,andinus,,,,R.Gruber ex N.P.Taylor,Endangered,"B2ab(iii,v)",3.1,Decreasing,Global
wfo-0001256051,556878,151745,Parodia nigrispina,CACTACEAE,Parodia,nigrispina,,,,(K.Schum.) F.H.Brandt ,Endangered,B1ab(v),3.1,Decreasing,Global
wfo-0000676040,557247,151748,Eriosyce crispa,CACTACEAE,Eriosyce,crispa,,,,(F.Ritter) Katt.,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0000358063,557859,151753,Leptocereus arboreus,CACTACEAE,Leptocereus,arboreus,,,,Britton & Rose,Endangered,B1ab(iii),3.1,Unknown,Global
wfo-0000609388,558142,151756,Cleistocactus winteri,CACTACEAE,Cleistocactus,winteri,,,,D.R.Hunt,Endangered,B1ab(v),3.1,Decreasing,Global
wfo-0000661163,558601,151760,Echinocereus barthelowanus,CACTACEAE,Echinocereus,barthelowanus,,,,Britton & Rose,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0000712597,561045,151783,Gymnocalycium oenanthemum,CACTACEAE,Gymnocalycium,oenanthemum,,,,Backeb.,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0000662240,564164,151811,Echinopsis pampana,CACTACEAE,Echinopsis,pampana,,,,(Britton & Rose) D.R.Hunt,Endangered,A2acd,3.1,Decreasing,Global
wfo-0000676028,564478,151813,Eriosyce calderana,CACTACEAE,Eriosyce,calderana,,,,(F.Ritter) Ferryman,Endangered,C2a(i),3.1,Decreasing,Global
wfo-0000399824,564735,151816,Rebutia krugerae,CACTACEAE,Rebutia,krugerae,,,,(Cárdenas) Backeb.,Endangered,B1ab(iii),3.1,Decreasing,Global
wfo-0000570827,566581,151834,Brasilicereus phaeacanthus,CACTACEAE,Brasilicereus,phaeacanthus,,,,(Gürke) Backeb.,Endangered,A2ac,3.1,Decreasing,Global
wfo-0001288159,568005,151846,Rebutia glomeriseta,CACTACEAE,Rebutia,glomeriseta,,,,Cárdenas,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0000686253,569326,151857,Ferocactus chrysacanthus,CACTACEAE,Ferocactus,chrysacanthus,,,,(Orcutt) Britton & Rose,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0000652228,569762,151860,Disocactus macdougallii,CACTACEAE,Disocactus,macdougallii,,,,(Alexander) Barthlott,Endangered,B1ab(iii),3.1,Decreasing,Global
wfo-0000609371,569955,151862,Cleistocactus sulcifer,CACTACEAE,Cleistocactus,sulcifer,,,,(Rauh & Backeb.) Leuenb.,Endangered,B1ab(iii),3.1,Stable,Global
wfo-0000619509,571255,151874,Consolea spinosissima,CACTACEAE,Consolea,spinosissima,,,,(Mill.) Lem.,Endangered,B1ab(iii),3.1,Unknown,Global
wfo-0001256050,571378,151875,Parodia muricata,CACTACEAE,Parodia,muricata,,,,(Otto ex Pfeiff.) Hofacker ,Endangered,A4ac,3.1,Decreasing,Global
