WFO_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000924605,2381395,195373,Acalypha dikuluwensis,EUPHORBIACEAE,Acalypha,dikuluwensis,,,,P.A. Duvign. & Dewit,Extinct,,3.1,,Global
wfo-0000561004,2381622,195376,Basananthe cupricola,PASSIFLORACEAE,Basananthe,cupricola,,,,Robyns ex G.A. Levin,Extinct,,3.1,,Global
wfo-0000254800,2612719,199821,Acalypha wilderi,EUPHORBIACEAE,Acalypha,wilderi,,,,Merr.,Extinct,,3.1,,Global
wfo-0000648495,2793597,30521,Diospyros angulata,EBENACEAE,Diospyros,angulata,,,,Poir.,Extinct,,3.1,,Global
wfo-0000142635,2989932,43920,Dryopteris ascensionis,DRYOPTERIDACEAE,Dryopteris,ascensionis,,,,(Hook.) Kuntze,Extinct,,3.1,,Global
wfo-0000254688,2990410,43923,Oldenlandia adscensionis,RUBIACEAE,Oldenlandia,adscensionis,,,,(DC.) Cronk,Extinct,,3.1,,Global
wfo-0000901106,2990995,43927,Sporobolus durus,POACEAE,Sporobolus,durus,,,,Brongn.,Extinct,,3.1,,Global
wfo-0001034504,5571714,162307,Euphrasia mendoncae,OROBANCHACEAE,Euphrasia,mendoncae,,,,Samp.,Extinct,,3.1,,Global & Europe
wfo-0000510610,5990668,165210,Viola cryana,VIOLACEAE,Viola,cryana,,,,Gillot,Extinct,,3.1,,Global & Europe
wfo-0000133627,5994236,165235,Centaurea pseudoleucolepis,ASTERACEAE,Centaurea,pseudoleucolepis,,,,Kleopow,Extinct,,3.1,,Global & Europe
wfo-0000061375,8844089,191546,Vernonia sechellensis,ASTERACEAE,Vernonia,sechellensis,,,,Baker,Extinct,,3.1,,Global
wfo-0000254524,8860728,193438,Oeceoclades seychellarum,ORCHIDACEAE,Oeceoclades,seychellarum,,,,(Rolfe ex Summerh.) Garay & P.Taylor,Extinct,,3.1,,Global
