WFO_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000833628,754210,157940,Hirtella zanzibarica,CHRYSOBALANACEAE,Hirtella,zanzibarica,,,,Oliv.,Least Concern,,3.1,Unknown,Global
wfo-0000612918,754267,157949,Coccinia grandiflora,CUCURBITACEAE,Coccinia,grandiflora,,,,Cogn. ex Engl.,Least Concern,,3.1,Stable,Global
wfo-0001065016,754347,157950,Streptocarpus hirsutissimus,GESNERIACEAE,Streptocarpus,hirsutissimus,,,,E.A.Bruce,Least Concern,,3.1,Stable,Global
wfo-0000628012,754394,157953,Cryptocarya liebertiana,LAURACEAE,Cryptocarya,liebertiana,,,,Engl.,Least Concern,,3.1,Unknown,Global
wfo-0001297734,754432,157954,Ipomoea lapathifolia,CONVOLVULACEAE,Ipomoea,lapathifolia,,,,Hallier f.,Least Concern,,3.1,Stable,Global
wfo-0000730775,754743,157962,Impatiens nana,BALSAMINACEAE,Impatiens,nana,,,,Engl.,Least Concern,,3.1,Unknown,Global
wfo-0000880344,754937,157967,Clerodendrum cephalanthum,LAMIACEAE,Clerodendrum,cephalanthum,,,,Oliv.,Least Concern,,3.1,Stable,Global
wfo-0001338020,755344,157972,Rotheca microphylla,LAMIACEAE,Rotheca,microphylla,,,,(Blume) Callm. & Phillipson,Least Concern,,3.1,Unknown,Global
wfo-0000824730,755370,157973,Cavacoa aurea,EUPHORBIACEAE,Cavacoa,aurea,,,,(Cavaco) J.Léonard,Least Concern,,3.1,Unknown,Global
wfo-0001045864,755396,157974,Tetracera boiviniana,DILLENIACEAE,Tetracera,boiviniana,,,,Baill.,Least Concern,,3.1,Unknown,Global
wfo-0000962862,755458,157976,Euphorbia kilwana,EUPHORBIACEAE,Euphorbia,kilwana,,,,N.E.Br.,Least Concern,,3.1,Unknown,Global
wfo-0000320774,755484,157977,Tannodia tenuifolia,EUPHORBIACEAE,Tannodia,tenuifolia,,,,(Pax) Prain,Least Concern,,3.1,Unknown,Global
wfo-0000612675,755510,157978,Cnestis confertiflora,CONNARACEAE,Cnestis,confertiflora,,,,Gilg,Least Concern,,3.1,Unknown,Global
wfo-0001046252,755894,157985,Psilotrichum cyathuloides,AMARANTHACEAE,Psilotrichum,cyathuloides,,,,Suess. & Launert,Least Concern,,3.1,Stable,Global
wfo-0000360288,756078,157990,Lannea greenwayi,ANACARDIACEAE,Lannea,greenwayi,,,,Kokwaro,Least Concern,,3.1,Unknown,Global
wfo-0000964674,756356,157999,Euphorbia selousiana,EUPHORBIACEAE,Euphorbia,selousiana,,,,S.Carter,Least Concern,,3.1,Unknown,Global
wfo-0001239042,756588,158005,Streptocarpus pallidiflorus,GESNERIACEAE,Streptocarpus,pallidiflorus,,,,C.B.Clarke,Least Concern,,3.1,Stable,Global
wfo-0001073422,756680,158007,Nectaropetalum kaessneri,ERYTHROXYLACEAE,Nectaropetalum,kaessneri,,,,Engl.,Least Concern,,3.1,Unknown,Global
wfo-0000954044,756740,158008,Erythrococca usambarica,EUPHORBIACEAE,Erythrococca,usambarica,,,,Prain,Least Concern,,3.1,Unknown,Global
wfo-0000016101,756766,158009,Microglossa hildebrandtii,ASTERACEAE,Microglossa,hildebrandtii,,,,O.Hoffm.,Least Concern,,3.1,Decreasing,Global
wfo-0001101758,756941,158014,Oxygonum schliebenii,POLYGONACEAE,Oxygonum,schliebenii,,,,Mildbr.,Least Concern,,3.1,Unknown,Global
wfo-0000885910,756991,158015,Clerodendrum robustum,LAMIACEAE,Clerodendrum,robustum,,,,Klotzsch,Least Concern,,3.1,Unknown,Global
wfo-0001336845,757111,158017,Vachellia etbaica,FABACEAE,Vachellia,etbaica,,,,(Schweinf.) Kyal. & Boatwr.,Least Concern,,3.1,Unknown,Global
wfo-0000214576,757511,158023,Cassia abbreviata,FABACEAE,Cassia,abbreviata,,,,Oliv.,Least Concern,,3.1,Stable,Global
wfo-0001130985,757902,158031,Lasiodiscus pervillei,RHAMNACEAE,Lasiodiscus,pervillei,,,,Baill.,Least Concern,,3.1,Decreasing,Global
wfo-0000133738,757988,158033,Kleinia implexa,ASTERACEAE,Kleinia,implexa,,,,(P.R.O.Bally) C.Jeffrey,Least Concern,,3.1,Stable,Global
wfo-0000648500,758054,158034,Diospyros anitae,EBENACEAE,Diospyros,anitae,,,,F.White,Least Concern,,3.1,Unknown,Global
wfo-0000620557,758119,158035,Cordia guineensis,CORDIACEAE,Cordia,guineensis,,,,Thonn.,Least Concern,,3.1,Unknown,Global
