wfo_id,AssessmentID,TaxonID,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0000614641,551450,151700,Coleocephalocereus braunii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Coleocephalocereus,braunii,,,,Diers & Esteves,Critically Endangered,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151700a551450.en,"(2010). Coleocephalocereus braunii: Braun, P. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151700a551450.en"
wfo-0001287901,557301,151749,Matucana aureiflora,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Matucana,aureiflora,,,,F.Ritter ,Critically Endangered,B1ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151749a557301.en,"(2011). Matucana aureiflora: Roque, J. &amp; Ostalaza, C. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151749a557301.en"
wfo-0000398423,560137,151776,Peniocereus occidentalis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Peniocereus,occidentalis,,,,Bravo,Critically Endangered,B1ab(iii)+2ab(iii); D,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151776a560137.en,"(2009). Peniocereus occidentalis: Arias, S., Gómez-Hinostrosa, C. &amp; Terrazas, T. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151776a560137.en"
wfo-0000614649,560931,151782,Coleocephalocereus diersianus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Coleocephalocereus,diersianus,,,,P.J.Braun & Esteves,Critically Endangered,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151782a560931.en,"(2010). Coleocephalocereus diersianus: Taylor, N.P., Braun, P. &amp; Machado, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151782a560931.en"
wfo-0001289923,566195,151831,Peniocereus maculatus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Peniocereus,maculatus,,,,(Weing.) Cutak,Critically Endangered,C2a(i); D,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151831a566195.en,"(2009). Peniocereus maculatus: Terrazas, T., Cházaro, M. &amp; Arreola, H. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151831a566195.en"
wfo-0000676037,576839,151924,Eriosyce chilensis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Eriosyce,chilensis,,,,(Hildm. ex K.Schum.) Katt.,Critically Endangered,B1ab(v),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151924a576839.en,"(2011). Eriosyce chilensis: Faundez, L., Guerrero, P., Saldivia, P. &amp; Walter, H.E. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151924a576839.en"
wfo-0001289501,577173,151927,Pereskia quisqueyana,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Pereskia,quisqueyana,,,,Alain,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151927a577173.en,"(2011). Pereskia quisqueyana: Gann, G.D. &amp; Griffith, P. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151927a577173.en"
wfo-0000398474,578426,151937,Parodia rechensis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Parodia,rechensis,,,,(Buining) F.H.Brandt ,Critically Endangered,"B1ab(iii,v)+2ab(iii,v); C2a(ii)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151937a578426.en,"(2010). Parodia rechensis: Larocca, J. &amp; Machado, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151937a578426.en"
wfo-0001256196,583004,151976,Hylocereus escuintlensis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Hylocereus,escuintlensis,,,,Kimnach,Critically Endangered,A2ac,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151976a583004.en,"(2009). Hylocereus escuintlensis: Véliz, M. &amp; Arias, S. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151976a583004.en"
wfo-0000609300,584956,151993,Cleistocactus hoffmannii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Cleistocactus,hoffmannii,,,,G.J.Charles,Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151993a584956.en,"(2011). Cleistocactus hoffmannii: Ostalaza, C. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151993a584956.en"
