wfo_id,AssessmentID,TaxonID,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0000508621,512509,133722,Calocedrus rupestris,PLANTAE,TRACHEOPHYTA,PINALES,PINOPSIDA,CUPRESSACEAE,Calocedrus,rupestris,,,,"Aver., Hiep & L.K.Phan",Endangered,A2cd,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t133722a512509.en,"(2012). Calocedrus rupestris: Thomas, P., Nguyen, T.H., Phan, K.L. &amp; Nguyen, Q.H. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t133722a512509.en"
wfo-0001289792,547980,151198,Turbinicarpus subterraneus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Turbinicarpus,subterraneus,,,,(Backeb.) A.D.Zimmerman,Endangered,B1ab(v),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151198a547980.en,"(2010). Turbinicarpus subterraneus: Smith, M., Fitz Maurice, W.A., Hernández, H.M., Fitz Maurice, B &amp; Sotomayor, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151198a547980.en"
wfo-0000676067,550981,151697,Eriosyce esmeraldana,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Eriosyce,esmeraldana,,,,(F.Ritter) Katt.,Endangered,B1ab(v),3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151697a550981.en,"(2011). Eriosyce esmeraldana: Faundez, L. &amp; Saldivia, P. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151697a550981.en"
wfo-0001287025,551964,151705,Mammillaria melaleuca,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Mammillaria,melaleuca,,,,Karw. ex Salm-Dyck,Endangered,B1ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151705a551964.en,"(2009). Mammillaria melaleuca: Smith, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151705a551964.en"
wfo-0000621932,552377,151708,Corryocactus tarijensis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Corryocactus,tarijensis,,,,Cárdenas,Endangered,B1ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151708a552377.en,"(2010). Corryocactus tarijensis: Lowry, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151708a552377.en"
wfo-0000398451,552754,151711,Parodia stockingeri,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Parodia,stockingeri,,,,(Prestlé) Hofacker & P.J.Braun,Endangered,"B1ab(i,iii,v); C1",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151711a552754.en,"(2010). Parodia stockingeri: Larocca, J. &amp; Machado, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151711a552754.en"
wfo-0000686283,553855,151720,Ferocactus flavovirens,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Ferocactus,flavovirens,,,,(Scheidw.) Britton & Rose,Endangered,B1ab(v),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151720a553855.en,"(2009). Ferocactus flavovirens: Arias, S., Hernández, C., Valverde, T. &amp; Zavala-Hurtado, A. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151720a553855.en"
wfo-0000369343,556540,151742,Melocactus andinus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Melocactus,andinus,,,,R.Gruber ex N.P.Taylor,Endangered,"B2ab(iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151742a556540.en,"(2011). Melocactus andinus: Nassar, J. &amp; Taylor, N.P. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151742a556540.en"
wfo-0001256051,556878,151745,Parodia nigrispina,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Parodia,nigrispina,,,,(K.Schum.) F.H.Brandt ,Endangered,B1ab(v),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151745a556878.en,"(2010). Parodia nigrispina: Pin, A. &amp; Kiesling, R. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151745a556878.en"
wfo-0000676040,557247,151748,Eriosyce crispa,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Eriosyce,crispa,,,,(F.Ritter) Katt.,Endangered,"B1ab(iii,v)",3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151748a557247.en,"(2011). Eriosyce crispa: Faundez, L., Guerrero, P., Saldivia, P. &amp; Walter, H.E. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2013-1.rlts.t151748a557247.en"
