wfo_id,AssessmentID,TaxonID,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0000924605,2381395,195373,Acalypha dikuluwensis,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,EUPHORBIACEAE,Acalypha,dikuluwensis,,,,P.A. Duvign. & Dewit,Extinct,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2012-1.rlts.t195373a2381395.en,"(2009). Acalypha dikuluwensis: Meersseman, A., Faucon, M.-P., Meerts, P., Mahy, G., Malaisse, F. &amp; Ngongo Luhembwe, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2012-1.rlts.t195373a2381395.en"
wfo-0000561004,2381622,195376,Basananthe cupricola,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,PASSIFLORACEAE,Basananthe,cupricola,,,,Robyns ex G.A. Levin,Extinct,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2012-1.rlts.t195376a2381622.en,"(2009). Basananthe cupricola: Meersseman, A., Faucon, M.-P., Meerts, P., Mahy, G., Malaisse, F. &amp; Ngongo Luhembwe, M. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2012-1.rlts.t195376a2381622.en"
wfo-0000254800,2612719,199821,Acalypha wilderi,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,EUPHORBIACEAE,Acalypha,wilderi,,,,Merr.,Extinct,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2014-1.rlts.t199821a2612719.en,"(2011). Acalypha wilderi: de Lange, P., Martin, T. &amp; McCormack, G. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2014-1.rlts.t199821a2612719.en"
wfo-0000648495,2793597,30521,Diospyros angulata,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,EBENACEAE,Diospyros,angulata,,,,Poir.,Extinct,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2025-2.rlts.t30521a2793597.en,"(2022). Diospyros angulata: Tatayah, V., Baider, C., Florens, F.B.V. &amp; Schmidt, H. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2025-2.rlts.t30521a2793597.en"
wfo-0001181979,2887512,39158,Flabellidium spinosum,PLANTAE,BRYOPHYTA,HYPNALES,BRYOPSIDA,BRACHYTHECIACEAE,Flabellidium,spinosum,,,,Herzog,Extinct,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2012-1.rlts.t39158a2887512.en,"(2010). Flabellidium spinosum: IUCN SSC Bryophyte Specialist Group,. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2012-1.rlts.t39158a2887512.en"
wfo-0000142635,2989932,43920,Dryopteris ascensionis,PLANTAE,TRACHEOPHYTA,POLYPODIALES,POLYPODIOPSIDA,DRYOPTERIDACEAE,Dryopteris,ascensionis,,,,(Hook.) Kuntze,Extinct,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2012-1.rlts.t43920a2989932.en,"(2010). Dryopteris ascensionis: Lambdon, P.W., Stroud, S., Gray, A., Niissalo, M. &amp; Renshaw, O. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2012-1.rlts.t43920a2989932.en"
wfo-0000254688,2990410,43923,Oldenlandia adscensionis,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,RUBIACEAE,Oldenlandia,adscensionis,,,,(DC.) Cronk,Extinct,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2012-1.rlts.t43923a2990410.en,"(2010). Oldenlandia adscensionis: Lambdon, P.W., Stroud, S., Gray, A., Niissalo, M. &amp; Renshaw, O. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2012-1.rlts.t43923a2990410.en"
wfo-0000901106,2990995,43927,Sporobolus durus,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,POACEAE,Sporobolus,durus,,,,Brongn.,Extinct,,3.1,,Global,https://doi.org/10.2305/iucn.uk.2012-1.rlts.t43927a2990995.en,"(2010). Sporobolus durus: Lambdon, P.W., Stroud, S., Gray, A., Niissalo, M. &amp; Renshaw, O. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2012-1.rlts.t43927a2990995.en"
wfo-0001034504,5571714,162307,Euphrasia mendoncae,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,OROBANCHACEAE,Euphrasia,mendoncae,,,,Samp.,Extinct,,3.1,,Global & Europe,https://doi.org/10.2305/iucn.uk.2011-1.rlts.t162307a5571714.en,"(2011). Euphrasia mendoncae: Caldas, F.B. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2011-1.rlts.t162307a5571714.en"
wfo-0000510610,5990668,165210,Viola cryana,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,VIOLACEAE,Viola,cryana,,,,Gillot,Extinct,,3.1,,Global & Europe,https://doi.org/10.2305/iucn.uk.2011-1.rlts.t165210a5990668.en,"(2010). Viola cryana: Juillet, N. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2011-1.rlts.t165210a5990668.en"
