wfo_id,AssessmentID,TaxonID,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes,url,citation
wfo-0001268081,754695,157961,Urogentias ulugurensis,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,GENTIANACEAE,Urogentias,ulugurensis,,,,Gilg & Gilg-Ben.,Near Threatened,B1a+2a,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157961a754695.en,"(2008). Urogentias ulugurensis: Gereau, R.E., Kabuye, C., Kalema, J., Kamau, P., Kindeketa, W., Luke, W.R.Q., Lyaruu, H.V.M., Malombe, I., Mboya, E.I., Mollel, N., Njau, E.-F., Schatz, G.E., Sitoni, D., Ssegawa, P. &amp; Wabuyele, E. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157961a754695.en"
wfo-0000648611,755006,157968,Diospyros bussei,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,EBENACEAE,Diospyros,bussei,,,,Gürke,Near Threatened,B2ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157968a755006.en,"(2007). Diospyros bussei: Beentje, H.J., Gereau, R.E., Hilton-Taylor, C., Howard, G., Kindeketa, W., Luke, W.R.Q., Maunder, M., Mwachala, G., Mwangoka, M., Ndangalasi, H., Njau, E.-F., Schatz, G.E., Siro Masinde, P. &amp; Wilkins, V.L. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157968a755006.en"
wfo-0000730444,755097,157969,Impatiens engleri,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,BALSAMINACEAE,Impatiens,engleri,,,,Gilg,Near Threatened,B2ab(iii),3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157969a755097.en,"(2007). Impatiens engleri: Beentje, H.J., Gereau, R.E., Hilton-Taylor, C., Howard, G., Kindeketa, W., Luke, W.R.Q., Maunder, M., Mwachala, G., Mwangoka, M., Ndangalasi, H., Njau, E.-F., Schatz, G.E., Siro Masinde, P. &amp; Wilkins, V.L. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t157969a755097.en"
wfo-0000038685,759682,158073,Helichrysum kalandanum,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Helichrysum,kalandanum,,,,Lisowski,Near Threatened,B2a,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2020-2.rlts.t158073a759682.en,"(2006). Helichrysum kalandanum: Howard, G., Kamau, P., Kindeketa, W., Luke, W.R.Q., Lyaruu, H.V.M., Malombe, I., Maunder, M., Mwachala, G., Njau, E.-F., Peres, Q., Schatz, G.E., Siro Masinde, P., Ssegawa, P., Wabuyele, E. &amp; Wilkins, V.L. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2020-2.rlts.t158073a759682.en"
wfo-0001101763,759966,158079,Oxygonum lobatum,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,POLYGONACEAE,Oxygonum,lobatum,,,,R.A.Graham,Near Threatened,B1a+2a,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158079a759966.en,"(2008). Oxygonum lobatum: Gereau, R.E., Kabuye, C., Kalema, J., Kamau, P., Kindeketa, W., Luke, W.R.Q., Lyaruu, H.V.M., Malombe, I., Mboya, E.I., Mollel, N., Njau, E.-F., Schatz, G.E., Sitoni, D., Ssegawa, P. &amp; Wabuyele, E. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158079a759966.en"
wfo-0000094284,760134,158084,Sphaeranthus spathulatus,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Sphaeranthus,spathulatus,,,,Peter,Near Threatened,B2a,3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-2.rlts.t158084a760134.en,"(2006). Sphaeranthus spathulatus: Howard, G., Kamau, P., Kindeketa, W., Luke, W.R.Q., Lyaruu, H.V.M., Malombe, I., Maunder, M., Mwachala, G., Njau, E.-F., Peres, Q., Schatz, G.E., Siro Masinde, P., Ssegawa, P., Wabuyele, E. &amp; Wilkins, V.L. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2020-2.rlts.t158084a760134.en"
wfo-0000702069,760292,158087,Gerrardanthus grandiflorus,PLANTAE,TRACHEOPHYTA,CUCURBITALES,MAGNOLIOPSIDA,CUCURBITACEAE,Gerrardanthus,grandiflorus,,,,Gilg ex Cogn.,Near Threatened,B2ab(iii),3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2020-2.rlts.t158087a760292.en,"(2006). Gerrardanthus grandiflorus: Howard, G., Kamau, P., Kindeketa, W., Luke, W.R.Q., Lyaruu, H.V.M., Malombe, I., Maunder, M., Mwachala, G., Njau, E.-F., Peres, Q., Schatz, G.E., Siro Masinde, P., Ssegawa, P., Wabuyele, E. &amp; Wilkins, V.L. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2020-2.rlts.t158087a760292.en"
wfo-0000620468,762518,158140,Cordia faulknerae,PLANTAE,TRACHEOPHYTA,BORAGINALES,MAGNOLIOPSIDA,CORDIACEAE,Cordia,faulknerae,,,,Verdc.,Near Threatened,B2b(iii),3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158140a762518.en,"(2007). Cordia faulknerae: Beentje, H.J., Gereau, R.E., Hilton-Taylor, C., Howard, G., Kindeketa, W., Luke, W.R.Q., Maunder, M., Mwachala, G., Mwangoka, M., Ndangalasi, H., Njau, E.-F., Schatz, G.E., Siro Masinde, P. &amp; Wilkins, V.L. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158140a762518.en"
wfo-0000497241,763135,158153,Saintpaulia ionantha,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,GESNERIACEAE,Saintpaulia,ionantha,,,,I.Darbysh. & Pócs,Near Threatened,,3.1,Decreasing,Global,https://doi.org/10.2305/iucn.uk.2014-1.rlts.t158153a763135.en,"(2008). Saintpaulia ionantha: IUCN SSC East African Plants Red List Authority. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2014-1.rlts.t158153a763135.en"
wfo-0001074160,766810,158211,Mostuea microphylla,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,GELSEMIACEAE,Mostuea,microphylla,,,,Engl.,Near Threatened,B2ab(iii),3.1,Unknown,Global,https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158211a766810.en,"(2008). Mostuea microphylla: Gereau, R.E., Kabuye, C., Kalema, J., Kamau, P., Kindeketa, W., Luke, W.R.Q., Lyaruu, H.V.M., Malombe, I., Mboya, E.I., Mollel, N., Njau, E.-F., Schatz, G.E., Sitoni, D., Ssegawa, P. &amp; Wabuyele, E. *IUCN Red List of Threatened Species*, https://doi.org/10.2305/iucn.uk.2020-3.rlts.t158211a766810.en"
