wfo_id,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000614641,551450,151700,Coleocephalocereus braunii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Coleocephalocereus,braunii,,,,Diers & Esteves,Critically Endangered,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,Global
wfo-0001287901,557301,151749,Matucana aureiflora,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Matucana,aureiflora,,,,F.Ritter ,Critically Endangered,B1ab(iii),3.1,Decreasing,Global
wfo-0000398423,560137,151776,Peniocereus occidentalis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Peniocereus,occidentalis,,,,Bravo,Critically Endangered,B1ab(iii)+2ab(iii); D,3.1,Unknown,Global
wfo-0000614649,560931,151782,Coleocephalocereus diersianus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Coleocephalocereus,diersianus,,,,P.J.Braun & Esteves,Critically Endangered,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,Global
wfo-0001289923,566195,151831,Peniocereus maculatus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Peniocereus,maculatus,,,,(Weing.) Cutak,Critically Endangered,C2a(i); D,3.1,Decreasing,Global
wfo-0000676037,576839,151924,Eriosyce chilensis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Eriosyce,chilensis,,,,(Hildm. ex K.Schum.) Katt.,Critically Endangered,B1ab(v),3.1,Decreasing,Global
wfo-0001289501,577173,151927,Pereskia quisqueyana,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Pereskia,quisqueyana,,,,Alain,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0000398474,578426,151937,Parodia rechensis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Parodia,rechensis,,,,(Buining) F.H.Brandt ,Critically Endangered,"B1ab(iii,v)+2ab(iii,v); C2a(ii)",3.1,Decreasing,Global
wfo-0001256196,583004,151976,Hylocereus escuintlensis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Hylocereus,escuintlensis,,,,Kimnach,Critically Endangered,A2ac,3.1,Unknown,Global
wfo-0000609300,584956,151993,Cleistocactus hoffmannii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Cleistocactus,hoffmannii,,,,G.J.Charles,Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0000398244,586833,152010,Parodia nothorauschii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Parodia,nothorauschii,,,,D.R.Hunt,Critically Endangered,A2ac,3.1,Decreasing,Global
wfo-0000676082,593293,152065,Eriosyce laui,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Eriosyce,laui,,,,Lüthy,Critically Endangered,B1ab(v); C2a(i),3.1,Decreasing,Global
wfo-0000358078,596656,152095,Leptocereus grantianus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Leptocereus,grantianus,,,,Britton,Critically Endangered,D,3.1,Unknown,Global
wfo-0001256090,597427,152102,Parodia werdermanniana,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Parodia,werdermanniana,,,,(Herter) N.P.Taylor,Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0001289949,602139,152143,Peniocereus zopilotensis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Peniocereus,zopilotensis,,,,(J.Meyrán) Buxb.,Critically Endangered,C2a(i); D,3.1,Decreasing,Global
wfo-0000358071,604654,152163,Leptocereus leonii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Leptocereus,leonii,,,,Britton & Rose,Critically Endangered,B2ab(iii),3.1,Unknown,Global
wfo-0000378399,608927,152199,Melocactus braunii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Melocactus,braunii,,,,Esteves,Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0001225353,616751,152266,Mammillaria carmenae,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Mammillaria,carmenae,,,,Castañeda,Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0001256052,617119,152270,Parodia nivosa,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Parodia,nivosa,,,,(Fric) Backeb.,Critically Endangered,B1ab(v),3.1,Decreasing,Global
wfo-0001287895,621484,152304,Matucana ritteri,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Matucana,ritteri,,,,Buining,Critically Endangered,B1ab(v),3.1,Decreasing,Global
wfo-0001256466,627112,152352,Pilosocereus diersianus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Pilosocereus,diersianus,,,,(Esteves) P.J.Braun,Critically Endangered,D,3.1,Unknown,Global
wfo-0001287647,627212,152353,Haageocereus pacalaensis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Haageocereus,pacalaensis,,,,Backeb.,Critically Endangered,A4ac,3.1,Decreasing,Global
wfo-0001287051,628721,152365,Rhipsalis pentaptera,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Rhipsalis,pentaptera,,,,Pfeiff. ex A.Dietr.,Critically Endangered,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,Global
wfo-0001287066,631492,152391,Myrtillocactus eichlamii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Myrtillocactus,eichlamii,,,,Britton & Rose,Critically Endangered,C2a(i),3.1,Decreasing,Global
wfo-0001287925,632099,152396,Matucana madisoniorum,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Matucana,madisoniorum,,,,(Hutchison) G.D.Rowley,Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0000632388,634682,152417,Cylindropuntia hystrix,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Cylindropuntia,hystrix,,,,(Griseb.) Areces,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0000623162,635050,152421,Corynopuntia reflexispina,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Corynopuntia,reflexispina,,,,(Wiggins & Rollins) Backeb.,Critically Endangered,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)",3.1,Decreasing,Global
wfo-0000358070,635644,152426,Leptocereus wrightii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Leptocereus,wrightii,,,,León,Critically Endangered,"B2ab(ii,iii,v); C2a(i,ii); D",3.1,Unknown,Global
wfo-0001287050,637316,152443,Rhipsalis mesembryanthemoides,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Rhipsalis,mesembryanthemoides,,,,Haw.,Critically Endangered,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,Global
wfo-0000712640,644230,152503,Gymnocalycium ragonesei,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Gymnocalycium,ragonesei,,,,A.Cast.,Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0001287698,646914,152527,Pygmaeocereus bylesianus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Pygmaeocereus,bylesianus,,,,Andreae & Backeb.,Critically Endangered,A2c,3.1,Decreasing,Global
wfo-0001256027,647147,152529,Parodia herteri,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Parodia,herteri,,,,(Werderm.) N.P.Taylor ,Critically Endangered,A4ac,3.1,Decreasing,Global
wfo-0000661371,648530,152539,Echinocereus nivosus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Echinocereus,nivosus,,,,Glass & R.A.Foster,Critically Endangered,B1ab(v),3.1,Decreasing,Global
wfo-0000427548,648657,152540,Weberocereus frohningiorum,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Weberocereus,frohningiorum,,,,Ralf Bauer ,Critically Endangered,D,3.1,Unknown,Global
wfo-0001249085,649466,152546,Mammillaria theresae,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Mammillaria,theresae,,,,Cutak,Critically Endangered,B1ab(v),3.1,Decreasing,Global
wfo-0000712579,650339,152553,Gymnocalycium neuhuberi,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Gymnocalycium,neuhuberi,,,,H.Till & W.Till,Critically Endangered,B1ab(v),3.1,Decreasing,Global
wfo-0000662411,654963,152593,Echinopsis walteri,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Echinopsis,walteri,,,,(R.Kiesling) H.Friedrich & Glaetzle,Critically Endangered,"B1ab(i,ii,iii,v)+2ab(i,ii,iii,v)",3.1,Decreasing,Global
wfo-0001256508,655570,152598,Stenocereus chacalapensis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Stenocereus,chacalapensis,,,,(Bravo & T.MacDoug.) Buxb.,Critically Endangered,C2a(i); D,3.1,Decreasing,Global
wfo-0000597632,656368,152604,Cereus saddianus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Cereus,saddianus,,,,(Rizzini & A.Mattos) P.J.Braun,Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0001289637,657591,152615,Melocactus brederooianus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Melocactus,brederooianus,,,,Buining,Critically Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
wfo-0001287914,660586,152641,Matucana huagalensis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Matucana,huagalensis,,,,(Donald & A.B.Lau) Bregman,Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0000358066,668478,152707,Leptocereus scopulophilus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Leptocereus,scopulophilus,,,,Areces,Critically Endangered,"B1ab(i,ii,iii,iv,v)+2ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
wfo-0000398326,669100,152712,Parodia arnostiana,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Parodia,arnostiana,,,,(Lisal & Kolarik) Hofacker,Critically Endangered,A4ac,3.1,Decreasing,Global
wfo-0000398247,669833,152718,Parodia neohorstii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Parodia,neohorstii,,,,(S.Theun.) N.P.Taylor,Critically Endangered,A4ac,3.1,Decreasing,Global
wfo-0000623350,670183,152720,Coryphantha potosiana,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Coryphantha,potosiana,,,,(Jacobi) Glass & R.A.Foster ex G.D.Rowley,Critically Endangered,"A3c; B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,Global
wfo-0000555052,673052,152743,Astrophytum caput-medusae,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Astrophytum,caput-medusae,,,,(Velazco & Nevárez) D.R.Hunt,Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0000609390,675407,152762,Cleistocactus xylorhizus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Cleistocactus,xylorhizus,,,,(F.Ritter) Ostolaza,Critically Endangered,"B1ab(iii,v); C2a(ii)",3.1,Decreasing,Global
wfo-0000549692,677736,152782,Arrojadoa marylaniae,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Arrojadoa,marylaniae,,,,Soares Filho & M.Machado,Critically Endangered,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,Global
wfo-0000651961,680849,152807,Discocactus hartmannii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Discocactus,hartmannii,,,,(K.Schum.) Britton & Rose,Critically Endangered,A2ac,3.1,Decreasing,Global
wfo-0001256017,684478,152836,Parodia crassigibba,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Parodia,crassigibba,,,,(F.Ritter) N.P.Taylor ,Critically Endangered,A2ac,3.1,Decreasing,Global
wfo-0000358077,687773,152862,Leptocereus carinatus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Leptocereus,carinatus,,,,Areces,Critically Endangered,"B1ab(ii,iii)+2ab(ii,iii); C2a(ii)",3.1,Unknown,Global
wfo-0001256242,687987,152864,Mammillaria laui,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Mammillaria,laui,,,,D.R.Hunt,Critically Endangered,B1ab(v),3.1,Decreasing,Global
wfo-0000712347,688953,152872,Gymnocalycium albiareolatum,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Gymnocalycium,albiareolatum,,,,Rausch,Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0001287859,690499,152883,Haageocereus tenuis,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Haageocereus,tenuis,,,,F.Ritter,Critically Endangered,"B1ab(iii,v)+2ab(iii,v)",3.1,Decreasing,Global
wfo-0001288822,691543,152892,Mammillaria humboldtii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Mammillaria,humboldtii,,,,Ehrenb.,Critically Endangered,"B1ab(iii,v)",3.1,Decreasing,Global
wfo-0001256006,698169,152944,Parodia buiningii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,CACTACEAE,Parodia,buiningii,,,,(Buxb.) N.P.Taylor ,Critically Endangered,A4ac,3.1,Decreasing,Global
wfo-0001101757,754465,157955,Oxygonum subfastigiatum,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,POLYGONACEAE,Oxygonum,subfastigiatum,,,,R.A.Graham,Critically Endangered,B2ab(iii),3.1,Unknown,Global
wfo-0000926248,754511,157956,Homalium elegantulum,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,SALICACEAE,Homalium,elegantulum,,,,Sleumer,Critically Endangered,B2ab(iii),3.1,Unknown,Global
wfo-0001064695,756145,157991,Streptocarpus thysanotus,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,GESNERIACEAE,Streptocarpus,thysanotus,,,,Hilliard & B.L.Burtt,Critically Endangered,B2ab(iii),3.1,Unknown,Global
wfo-0000593147,756253,157997,Celosia patentiloba,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,AMARANTHACEAE,Celosia,patentiloba,,,,C.C.Towns.,Critically Endangered,B2ab(iii); D,3.1,Unknown,Global
wfo-0000621055,756416,158002,Cordia trichocladophylla,PLANTAE,TRACHEOPHYTA,BORAGINALES,MAGNOLIOPSIDA,CORDIACEAE,Cordia,trichocladophylla,,,,Verdc.,Critically Endangered,D,3.1,Unknown,Global
wfo-0001095263,756495,158003,Plumbago ciliata,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,PLUMBAGINACEAE,Plumbago,ciliata,,,,Engl. ex Wilmot-Dear,Critically Endangered,B2ab(iii),3.1,Unknown,Global
wfo-0001220889,756531,158004,Saintpaulia teitensis,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,GESNERIACEAE,Saintpaulia,teitensis,,,,B.L.Burtt,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
wfo-0000708379,756638,158006,Gouania ulugurica,PLANTAE,TRACHEOPHYTA,ROSALES,MAGNOLIOPSIDA,RHAMNACEAE,Gouania,ulugurica,,,,Gilli,Critically Endangered,"B2ab(ii,iii,iv)",3.1,Unknown,Global
wfo-0000227853,757164,158018,Lingelsheimia sylvestris,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,PHYLLANTHACEAE,Lingelsheimia,sylvestris,,,,(Radcl.-Sm.) Radcl.-Sm,Critically Endangered,B1ab(iii),3.1,Unknown,Global
wfo-0000326858,757412,158021,Tragia pogostemonoides,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,EUPHORBIACEAE,Tragia,pogostemonoides,,,,Radcl.-Sm.,Critically Endangered,D,3.1,Unknown,Global
wfo-0000631173,758766,158052,Cyathula braunii,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,AMARANTHACEAE,Cyathula,braunii,,,,Gilg ex Schinz,Critically Endangered,D,3.1,Unknown,Global
wfo-0001277659,758841,158053,Ochna polyarthra,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,OCHNACEAE,Ochna,polyarthra,,,,Verdc.,Critically Endangered,B2ab(iii),3.1,Unknown,Global
