wfo_id,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000825462,761305,158109,Begonia schliebenii,PLANTAE,TRACHEOPHYTA,CUCURBITALES,MAGNOLIOPSIDA,BEGONIACEAE,Begonia,schliebenii,,,,Irmsch.,Data Deficient,,3.1,Unknown,Global
wfo-0001101759,763329,158156,Oxygonum leptopus,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,POLYGONACEAE,Oxygonum,leptopus,,,,Mildbr.,Data Deficient,,3.1,Unknown,Global
wfo-0001277663,764255,158179,Ochna monantha,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,OCHNACEAE,Ochna,monantha,,,,Gilg,Data Deficient,,3.1,Unknown,Global
wfo-0001101760,770849,158289,Oxygonum hirtum,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,POLYGONACEAE,Oxygonum,hirtum,,,,Peter,Data Deficient,,3.1,Unknown,Global
wfo-0000326562,771078,158297,Tragia acalyphoides,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,EUPHORBIACEAE,Tragia,acalyphoides,,,,Radcl.-Sm.,Data Deficient,,3.1,Unknown,Global
wfo-0000458669,1082726,165446,Tamarix palaestina,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,TAMARICACEAE,Tamarix,palaestina,,,,Bertol,Data Deficient,,3.1,Unknown,Global
wfo-0000194567,1313512,170427,Vigna benuensis,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Vigna,benuensis,,,,Pasquet & Maréchal,Data Deficient,,3.1,Unknown,Global
wfo-0000188345,1313900,170440,Vigna hosei,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Vigna,hosei,,,,Backer ex K.Heyne,Data Deficient,,3.1,Decreasing,Global
wfo-0000188429,1313986,170442,Vigna juruana,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Vigna,juruana,,,,(Harms) Verdc.,Data Deficient,,3.1,Unknown,Global
wfo-0000189212,1314758,170472,Vigna richardsiae,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Vigna,richardsiae,,,,Verdc.,Data Deficient,,3.1,Unknown,Global
wfo-0000189233,1314776,170475,Vigna somaliensis,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Vigna,somaliensis,,,,Baker f.,Data Deficient,,3.1,Decreasing,Global
wfo-0000649814,1382524,173386,Diospyros sumatrana,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,EBENACEAE,Diospyros,sumatrana,,,,Miq.,Data Deficient,,3.1,Unknown,Global
wfo-0000649779,1385122,173438,Diospyros sprucei,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,EBENACEAE,Diospyros,sprucei,,,,Hiern,Data Deficient,,3.1,Unknown,Global
wfo-0000648465,1387909,173505,Diospyros adiensis,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,EBENACEAE,Diospyros,adiensis,,,,Kosterm.,Data Deficient,,3.1,Unknown,Global
wfo-0000648734,1389823,173553,Diospyros crebripilis,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,EBENACEAE,Diospyros,crebripilis,,,,Kosterm.,Data Deficient,,3.1,Unknown,Global
wfo-0000648580,1397974,173752,Diospyros blepharophylla,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,EBENACEAE,Diospyros,blepharophylla,,,,Standl.,Data Deficient,,3.1,Unknown,Global
wfo-0000648726,1400098,173801,Diospyros coursiana,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,EBENACEAE,Diospyros,coursiana,,,,H.Perrier,Data Deficient,,3.1,Decreasing,Global
wfo-0000648717,1401136,173829,Diospyros cordata,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,EBENACEAE,Diospyros,cordata,,,,(Hiern) Bakh.,Data Deficient,,3.1,Unknown,Global
