wfo_id,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
wfo-0000620474,754782,157963,Cordia fissistyla,PLANTAE,TRACHEOPHYTA,BORAGINALES,MAGNOLIOPSIDA,CORDIACEAE,Cordia,fissistyla,,,,Vollesen,Vulnerable,D2,3.1,Unknown,Global
wfo-0000025725,754876,157966,Blepharispermum xerothamnum,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Blepharispermum,xerothamnum,,,,Mattf.,Vulnerable,B2ab(iii),3.1,Decreasing,Global
wfo-0000115704,756193,157992,Vernonia luhomeroensis,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Vernonia,luhomeroensis,,,,Q.Luke & Beentje,Vulnerable,D1,3.1,Stable,Global
wfo-0000282604,756882,158012,Premna discolor,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,LAMIACEAE,Premna,discolor,,,,Verdc.,Vulnerable,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
wfo-0000271030,758402,158043,Phyllanthus frazieri,PLANTAE,TRACHEOPHYTA,MALPIGHIALES,MAGNOLIOPSIDA,PHYLLANTHACEAE,Phyllanthus,frazieri,,,,Radcl.-Sm.,Vulnerable,D2,3.1,Unknown,Global
wfo-0001238968,759247,158062,Streptocarpus schliebenii,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,GESNERIACEAE,Streptocarpus,schliebenii,,,,Mansf.,Vulnerable,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0000599403,759530,158069,Chamaecrista mwangokae,PLANTAE,TRACHEOPHYTA,FABALES,MAGNOLIOPSIDA,FABACEAE,Chamaecrista,mwangokae,,,,Gereau & G.M.Walters,Vulnerable,D2,3.1,Unknown,Global
wfo-0000730609,759642,158071,Impatiens kentrodonta,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,BALSAMINACEAE,Impatiens,kentrodonta,,,,Gilg,Vulnerable,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0001268082,759739,158074,Swertia schliebenii,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,GENTIANACEAE,Swertia,schliebenii,,,,Mildbr.,Vulnerable,D2,3.1,Unknown,Global
wfo-0000884511,759915,158078,Clerodendrum myrianthum,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,LAMIACEAE,Clerodendrum,myrianthum,,,,Mildbr.,Vulnerable,D2,3.1,Unknown,Global
wfo-0000730820,760083,158083,Impatiens palliderosea,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,BALSAMINACEAE,Impatiens,palliderosea,,,,Gilg,Vulnerable,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0000730579,760242,158086,Impatiens ioides,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,BALSAMINACEAE,Impatiens,ioides,,,,G.M.Schulze,Vulnerable,B2ab(iii),3.1,Unknown,Global
wfo-0001046265,760356,158088,Psilotrichum fallax,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,AMARANTHACEAE,Psilotrichum,fallax,,,,C.C.Towns.,Vulnerable,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
wfo-0000912262,760948,158101,Coffea schliebenii,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,RUBIACEAE,Coffea,schliebenii,,,,Bridson,Vulnerable,"B1ab(i,ii,iii)+2ab(i,ii,iii)",3.1,Decreasing,Global
wfo-0000649440,761419,158113,Diospyros occulta,PLANTAE,TRACHEOPHYTA,ERICALES,MAGNOLIOPSIDA,EBENACEAE,Diospyros,occulta,,,,F.White,Vulnerable,B2ab(iii),3.1,Unknown,Global
wfo-0000090814,761632,158117,Emilia bellioides,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Emilia,bellioides,,,,(Chiov.) C.Jeffrey,Vulnerable,B1ab(iii),3.1,Unknown,Global
wfo-0000075095,761746,158119,Ethulia angustifolia,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Ethulia,angustifolia,,,,Bojer ex DC.,Vulnerable,B2ab(iii),3.1,Unknown,Global
wfo-0000631178,762079,158127,Cyathula coriacea,PLANTAE,TRACHEOPHYTA,CARYOPHYLLALES,MAGNOLIOPSIDA,AMARANTHACEAE,Cyathula,coriacea,,,,Schinz,Vulnerable,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
wfo-0000317288,762279,158133,Strophanthus hypoleucos,PLANTAE,TRACHEOPHYTA,GENTIANALES,MAGNOLIOPSIDA,APOCYNACEAE,Strophanthus,hypoleucos,,,,Stapf,Vulnerable,B2ab(iii),3.1,Stable,Global
wfo-0001283738,762338,158134,Streptocarpus kungwensis,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,GESNERIACEAE,Streptocarpus,kungwensis,,,,Hilliard & B.L.Burtt,Vulnerable,D2,3.1,Unknown,Global
wfo-0001107105,762446,158136,Protea rubrobracteata,PLANTAE,TRACHEOPHYTA,PROTEALES,MAGNOLIOPSIDA,PROTEACEAE,Protea,rubrobracteata,,,,Engl.,Vulnerable,B1ab(iii)+2ab(iii),3.1,Unknown,Global
wfo-0001283727,762577,158141,Streptocarpus compressus,PLANTAE,TRACHEOPHYTA,LAMIALES,MAGNOLIOPSIDA,GESNERIACEAE,Streptocarpus,compressus,,,,B.L.Burtt,Vulnerable,D2,3.1,Unknown,Global
wfo-0000018946,762731,158145,Gutenbergia pembensis,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,ASTERACEAE,Gutenbergia,pembensis,,,,S.Moore,Vulnerable,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
