wfo_ID,assessmentId,internalTaxonId,scientificName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
NULL,3001217,45413,Pseuderanthemum dispersum,ACANTHACEAE,Pseuderanthemum,dispersum,,,,Milne-Redh.,Vulnerable,B2ab(iii),3.1,Decreasing,Global
NULL,7333795,176932,Rostellularia quinqueangularis,ACANTHACEAE,Rostellularia,quinqueangularis,,,,(J.Koenig ex Roxb.) Nees,Least Concern,,3.1,Unknown,Global
NULL,7416126,177334,Hygrophila difformis,ACANTHACEAE,Hygrophila,difformis,,,,Blume,Least Concern,,3.1,Unknown,Global
NULL,11047827,46381,Eranthemum austrosinensis,ACANTHACEAE,Eranthemum,austrosinensis,,,,H.S.Lo,Vulnerable,A2c,3.1,,Global
NULL,48154989,48154051,Mimulopsis marronia,ACANTHACEAE,Mimulopsis,marronia,,,,(Vollesen) E.Tripp,Least Concern,,3.1,Stable,Global
NULL,66176732,65611961,Barleria decaisniana,ACANTHACEAE,Barleria,decaisniana,,,,Nees,Endangered,"B2ab(ii,iii,v)",3.1,Decreasing,Global
Unpublished,758548,158047,Strombosiopsis sp. nov. 'pentamera',STROMBOSIACEAE,Strombosiopsis,sp. nov. 'pentamera',,,,"Q.Luke, ined.",Vulnerable,D1,3.1,Stable,Global
NULL,153890436,153874166,Hydnocarpus cauliflorus,ACHARIACEAE,Hydnocarpus,cauliflorus,,,,Merr.,Critically Endangered,B1ab(iii)+2ab(iii),3.1,Decreasing,Global
NULL,11076481,46781,Delosperma klinghardtianum,AIZOACEAE,Delosperma,klinghardtianum,,,,Dinter & Schwantes,Least Concern,,3.1,Stable,Global
NULL,11081542,46774,Antimima quartzitica,AIZOACEAE,Antimima,quartzitica,,,,(Dinter) H.E.K.Hartmann,Least Concern,,3.1,Stable,Global
NULL,61481431,39070,Sesuvium edmondstonii,AIZOACEAE,Sesuvium,edmondstonii,,,,Hook.f.,Least Concern,,3.1,Stable,Global
NULL,120980143,120942044,Trianthema mozambiquensis,AIZOACEAE,Trianthema,mozambiquensis,,,,H.E.K.Hartmann & Liede,Data Deficient,,3.1,Unknown,Global
NULL,202850160,202850152,Conophytum loeschianum,AIZOACEAE,Conophytum,loeschianum,,,,Tischer,Endangered,A3d+4c,3.1,Unknown,Global
NULL,202850404,202850398,Conophytum smorenskaduense,AIZOACEAE,Conophytum,smorenskaduense,,,,de Boer,Critically Endangered,A3d; B1ab(iii)+2ab(iii),3.1,Unknown,Global
NULL,1587000,179686,Celosia fadeniorum,AMARANTHACEAE,Celosia,fadeniorum,,,,C.C.Towns.,Endangered,B2ab(iii),3.1,Unknown,Global
NULL,10864007,44145,Achyranthes splendens,AMARANTHACEAE,Achyranthes,splendens,,,,Mart. ex Moq.,Vulnerable,B1ab(iii),3.1,Decreasing,Global
NULL,120121409,168966,Centrostachys aquatica,AMARANTHACEAE,Centrostachys,aquatica,,,,(R.Br.) Moq.,Least Concern,,3.1,Stable,Global
Unpublished,1574028,179289,Cleistanthus sp. nov. 'beentjei',PHYLLANTHACEAE,Cleistanthus,sp. nov. 'beentjei',,,,"Q.Luke, ined.",Vulnerable,B1ab(iii)+2ab(iii),3.1,Unknown,Global
NULL,5178659,157971,Cyrtanthus sanguineus,AMARYLLIDACEAE,Cyrtanthus,sanguineus,,,,(Lindl.) Walp.,Least Concern,,3.1,Unknown,Global
Unpublished,1578011,179420,Argomuellera sp. nov. 'mjikendae',EUPHORBIACEAE,Argomuellera,sp. nov. 'mjikendae',,,,"Q.Luke, ined.",Endangered,B1ab(iii)+2ab(iii),3.1,Unknown,Global
NULL,11077287,46716,Strumaria barbarae,AMARYLLIDACEAE,Strumaria,barbarae,,,,Oberm.,Least Concern,,3.1,Stable,Global
NULL,20694791,20666644,Allium weschniakowii,AMARYLLIDACEAE,Allium,weschniakowii,,,,Regel,Data Deficient,,3.1,Unknown,Global
NULL,20695021,20666581,Allium semenowii,AMARYLLIDACEAE,Allium,semenowii,,,,Regel,Least Concern,,3.1,Stable,Global
NULL,135303932,135303925,Allium noeanum,AMARYLLIDACEAE,Allium,noeanum,,,,Reut. ex Regel,Endangered,"B2ab(ii,iii,v)",3.1,Unknown,Global
NULL,9712672,32520,Campnosperma zeylanica,ANACARDIACEAE,Campnosperma,zeylanica,,,,Thwaites,Vulnerable,A1c,2.3,,Global
