WFOID,identifier,taxon,vernacularName,preferredName,source,language,countryCode,uri
wfo-0000619241,1078,Conopodium majus,Harnothes,1,,yo,IE,
wfo-0000925259,1105,Corylus avellana,Hawlse,1,,yo,IE,
wfo-0000783754,1998,Iris pseudacorus,Levers,1,,yo,IE,
wfo-0000481006,2690,Papaver rhoeas,Copprouse,1,,yo,IE,
wfo-0000405193,3284,Ribes uva-crispa,Kraanberry,1,,yo,IE,
wfo-0001004881,3368,Rubus fruticosus,Brimel,0,,yo,IE,
wfo-0001004881,3369,Rubus fruticosus,Brimelès,0,,yo,IE,
wfo-0000439308,3565,Sambucus nigra,Ellena ghou,0,,yo,IE,
wfo-0000075977,3769,Senecio jacobaea,Boouchelawn,1,,yo,IE,
wfo-0001031908,3868,Solanum tuberosum,Bidaades,1,,yo,IE,
wfo-0000213062,4184,Trifolium repens,Meelough,1,,yo,IE,
wfo-0000213062,4185,Trifolium repens,Milagh,1,,yo,IE,
wfo-0000213410,4265,Ulex europaeus,Wyddeer,1,,yo,IE,
wfo-0000213410,4266,Ulex europaeus,Goss,1,,yo,IE,
wfo-0000421932,4366,Vaccinium oxycoccos,Kraanberry,1,,yo,IE,
